Product , Fast (500 keV) 
Product ,  
Product , Yield 
V66 ,1.78916E-18
V67 ,  
Cr66 ,5.44982E-14
Cr67 ,0
Cr68 ,0
Cr69 ,  
Cr70 ,0
Mn66 ,2.23E-11
Mn67 ,6.36E-12
Mn68 ,3.03E-12
Mn69 ,0
Mn70 ,9.76E-14
Mn71 ,0
Mn72 ,1.58234E-16
Mn73 ,1.81496E-17
Fe66 ,5.56E-10
Fe67 ,4.47E-10
Fe68 ,6.21E-10
Fe69 ,4.21E-12
Fe70 ,1.83E-10
Fe71 ,3.75E-11
Fe72 ,4.81984E-12
Fe73 ,4.04982E-13
Fe74 ,1.62E-14
Fe75 ,1.27454E-15
Fe76 ,0
Co66 ,0.0000000011
Co67 ,0.00000000225
Co68 ,0.00000000821
Co69 ,1.53E-10
Co70 ,0.000000019
Co71 ,0.0000000115
Co72 ,0.00000000446
Co73 ,0.00000000115
Co74 ,1.43E-10
Co75 ,1.27987E-11
Co76 ,1.71E-12
Co77 ,3.38792E-14
Co78 ,2.22578E-15
Ni66 ,1.9E-10
Ni67 ,9.95E-10
Ni68 ,0.00000000909
Ni69 ,4.25E-10
Ni70 ,0.000000136
Ni71 ,0.00000022
Ni72 ,0.000000238
Ni73 ,0.000000178
Ni74 ,0.0000000657
Ni75 ,0.0000000179
Ni76 ,0.00000000737
Ni77 ,7.55966E-10
Ni78 ,6.77978E-11
Ni79 ,2.54909E-12
Ni80 ,1.24E-13
Ni81 ,  
Ni82 ,0
Cu66 ,2.32E-12
Cu67 ,3.44E-11
Cu68 ,2.31E-10
Cu68m ,6.25E-10
Cu69 ,1.04E-10
Cu70 ,0.0000000186
Cu70m ,0.0000000659
Cu71 ,0.000000341
Cu72 ,0.000000931
Cu73 ,0.00000181
Cu74 ,0.00000182
Cu75 ,0.00000141
Cu76 ,0.0000017
Cu77 ,0.000000522
Cu78 ,0.000000143
Cu79 ,0.0000000255975
Cu80 ,0.00000000253
Cu81 ,1.33E-10
Cu82 ,2.99E-12
Cu83 ,6.00505E-14
Zn66 ,0
Zn67 ,7.15E-14
Zn68 ,5.31E-12
Zn69 ,3.19E-13
Zn69m ,1.56E-12
Zn70 ,0.00000000425
Zn71 ,0.00000000781
Zn71m ,0.0000000381
Zn72 ,0.000000323
Zn73 ,0.00000158
Zn74 ,0.00000397
Zn75 ,0.0000078
Zn76 ,0.00002489
Zn77 ,0.00002117
Zn78 ,0.00001665
Zn79 ,0.0000088
Zn80 ,0.00000263
Zn81 ,0.000000466
Zn82 ,0.0000000356
Zn83 ,0.00000000133994
Zn84 ,3.38E-11
Zn85 ,1.16501E-12
Zn86 ,0
Ga66 ,0
Ga67 ,0
Ga68 ,0
Ga69 ,0
Ga70 ,1.33E-11
Ga71 ,4.23E-10
Ga72 ,0.00000000426
Ga72m ,0.00000000426
Ga73 ,0.000000115
Ga74 ,0.0000003805
Ga74m ,0.0000003805
Ga75 ,0.00000381
Ga76 ,0.00003034
Ga77 ,0.00006477
Ga78 ,0.00013155
Ga79 ,0.00018707
Ga80 ,0.00015689
Ga81 ,0.00008779
Ga82 ,0.00002188
Ga83 ,0.00000283
Ga84 ,0.000000249
Ga85 ,0.0000000116988
Ga86 ,3.65E-10
Ga87 ,4.97433E-12
Ga88 ,1.35582E-13
Ge66 ,0
Ge67 ,0
Ge68 ,0
Ge69 ,0
Ge70 ,0
Ge71 ,1.08E-13
Ge71m ,1.08E-13
Ge72 ,1.33E-11
Ge73 ,4.44E-10
Ge73m ,9.09E-11
Ge74 ,0.0000000104
Ge75 ,0.0000000176
Ge75m ,0.000000129
Ge76 ,0.00000317
Ge77 ,0.00001548
Ge77m ,0.00000211
Ge78 ,0.00009004
Ge79 ,0.00015969
Ge79m ,0.00015969
Ge80 ,0.00067804
Ge81 ,0.00107252
Ge82 ,0.00079571
Ge83 ,0.00032896
Ge84 ,0.00009635
Ge85 ,0.0000154
Ge86 ,0.00000157
Ge87 ,0.000000110995
Ge88 ,0.00000000412986
Ge89 ,6.85068E-11
Ge90 ,4.80384E-12
Ge91 ,  
As69 ,0
As71 ,0
As72 ,0
As73 ,1.34E-13
As74 ,2.16E-12
As74m ,5.83E-12
As75 ,3.43E-10
As76 ,0.000000022
As77 ,0.000000353
As78 ,0.00000503
As79 ,0.00004762
As80 ,0.00025953
As81 ,0.00110562
As82 ,0.00110365
As82m ,0.00110377
As83 ,0.00259777
As84 ,0.00113829
As84m ,0.00113829
As85 ,0.00114453
As86 ,0.00036179
As87 ,0.00008144
As88 ,0.00000981
As89 ,0.000000687932
As90 ,0.0000000353374
As91 ,2.30343E-10
As92 ,9.45463E-12
As93 ,2.03763E-12
Se72 ,0
Se73 ,0
Se73m ,0
Se74 ,0
Se75 ,4.18E-14
Se76 ,8.33E-12
Se77 ,4.92E-11
Se77m ,3.61E-10
Se78 ,0.0000000176
Se79 ,0.000000432
Se79m ,0.0000000589
Se80 ,0.00000763
Se81 ,0.00001157
Se81m ,0.00008482
Se82 ,0.00054297
Se83 ,0.00149015
Se83m ,0.00030244
Se84 ,0.0039795
Se85 ,0.00301921
Se85m ,0.0030041
Se86 ,0.00530253
Se87 ,0.00348773
Se88 ,0.00127779
Se89 ,0.00028143
Se90 ,0.0000552247
Se91 ,0.00000513977
Se92 ,0.000000287991
Se93 ,0.0000000454669
Se94 ,1.77E-10
Se95 ,6.74692E-12
Se96 ,1.38E-14
Br75 ,0
Br77 ,0
Br77m ,1.92E-14
Br78 ,3.26E-12
Br79 ,5.91E-11
