Product ; Thermal (0.0253 eV) ; Thermal (0.0253 eV) ; Fast (500 keV) ; Fast (500 keV) ; High (14 MeV) ; High (14 MeV)
Product ;  ;  ;  ;  ;  ; 
Product ; Yield ; Error ; Yield ; Error ; Yield ; Error
V66 ;  ;  ; 1.78916E-18 ; 1.14506E-18 ; 3.42528E-13 ; 2.19218E-13
V67 ;  ;  ;  ;  ; 2.65823E-14 ; 1.70127E-14
Cr66 ; 0.0 ; 0.0 ; 5.44982E-14 ; 3.48789E-14 ; 2.59039E-9 ; 1.65785E-9
Cr67 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 2.0103E-10 ; 1.28659E-10
Cr68 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 1.14032E-11 ; 7.29805E-12
Cr69 ; 3.55711E-18 ; 2.27655E-18 ;  ;  ; 4.56332E-13 ; 2.92052E-13
Cr70 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Mn66 ; 5.05E-12 ; 3.232E-12 ; 2.23E-11 ; 1.4272E-11 ; 6.81191E-7 ; 4.35963E-7
Mn67 ; 1.25E-12 ; 8.0E-13 ; 6.36E-12 ; 4.0704E-12 ; 1.48042E-7 ; 9.47466E-8
Mn68 ; 4.96E-13 ; 3.1744E-13 ; 3.03E-12 ; 1.9392E-12 ; 2.26064E-8 ; 1.44681E-8
Mn69 ; 1.12996E-13 ; 7.23177E-14 ; 0.0 ; 0.0 ; 2.31019E-9 ; 1.47852E-9
Mn70 ; 0.0 ; 0.0 ; 9.76E-14 ; 6.2464E-14 ; 1.50042E-10 ; 9.6027E-11
Mn71 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 7.04198E-12 ; 4.50687E-12
Mn72 ; 1.04732E-17 ; 6.70284E-18 ; 1.58234E-16 ; 1.0127E-16 ; 2.23503E-13 ; 1.43042E-13
Mn73 ; 7.88123E-19 ; 5.04399E-19 ; 1.81496E-17 ; 1.16157E-17 ; 1.33573E-14 ; 8.54866E-15
Fe66 ; 1.66E-10 ; 1.0624E-10 ; 5.56E-10 ; 3.5584E-10 ; 1.4204E-5 ; 9.09055E-6
Fe67 ; 1.01E-10 ; 6.464E-11 ; 4.47E-10 ; 2.8608E-10 ; 8.12228E-6 ; 5.19826E-6
Fe68 ; 1.66E-10 ; 1.0624E-10 ; 6.21E-10 ; 3.9744E-10 ; 3.18089E-6 ; 2.03577E-6
Fe69 ; 9.96E-11 ; 6.3744E-11 ; 4.21E-12 ; 2.6944E-12 ; 8.76246E-7 ; 5.60798E-7
Fe70 ; 3.7E-11 ; 2.368E-11 ; 1.83E-10 ; 1.1712E-10 ; 1.56044E-7 ; 9.98681E-8
Fe71 ; 5.57E-12 ; 3.5648E-12 ; 3.75E-11 ; 2.4E-11 ; 2.04057E-8 ; 1.30597E-8
Fe72 ; 4.9699E-13 ; 3.18073E-13 ; 4.81984E-12 ; 3.0847E-12 ; 1.69025E-9 ; 1.08176E-9
Fe73 ; 3.73992E-14 ; 2.39355E-14 ; 4.04982E-13 ; 2.59188E-13 ; 1.01015E-10 ; 6.46496E-11
Fe74 ; 0.0 ; 0.0 ; 1.62E-14 ; 1.0368E-14 ; 4.00112E-12 ; 2.56072E-12
Fe75 ; 7.08274E-17 ; 4.53295E-17 ; 1.27454E-15 ; 8.15709E-16 ; 2.37056E-13 ; 1.51716E-13
Fe76 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Co66 ; 2.75E-10 ; 1.76E-10 ; 1.1E-9 ; 7.04E-10 ; 2.88081E-5 ; 1.84372E-5
Co67 ; 5.8E-10 ; 3.712E-10 ; 2.25E-9 ; 1.44E-9 ; 3.99212E-5 ; 2.55496E-5
Co68 ; 2.14E-9 ; 1.3696E-9 ; 8.21E-9 ; 5.2544E-9 ; 3.71905E-5 ; 2.38019E-5
Co69 ; 4.95E-9 ; 3.168E-9 ; 1.53E-10 ; 9.792E-11 ; 2.57572E-5 ; 1.64846E-5
Co70 ; 4.45E-9 ; 2.848E-9 ; 1.9E-8 ; 1.216E-8 ; 1.19133E-5 ; 7.62454E-6
