Product , Thermal (0.0253 eV) 
Product ,  
Product , Yield 
V66 ,  
V67 ,  
Cr66 ,0
Cr67 ,0
Cr68 ,0
Cr69 ,3.55711E-18
Cr70 ,0
Mn66 ,5.05E-12
Mn67 ,1.25E-12
Mn68 ,4.96E-13
Mn69 ,1.12996E-13
Mn70 ,0
Mn71 ,0
Mn72 ,1.04732E-17
Mn73 ,7.88123E-19
Fe66 ,1.66E-10
Fe67 ,1.01E-10
Fe68 ,1.66E-10
Fe69 ,9.96E-11
Fe70 ,3.7E-11
Fe71 ,5.57E-12
Fe72 ,4.9699E-13
Fe73 ,3.73992E-14
Fe74 ,0
Fe75 ,7.08274E-17
Fe76 ,0
Co66 ,2.75E-10
Co67 ,5.8E-10
Co68 ,0.00000000214
Co69 ,0.00000000495
Co70 ,0.00000000445
Co71 ,0.00000000281
Co72 ,6.9E-10
Co73 ,2.2E-10
Co74 ,3.28E-11
Co75 ,2.24993E-12
Co76 ,1.83E-13
Co77 ,3.49809E-15
Co78 ,3.20307E-16
Ni66 ,4.17E-11
Ni67 ,1.92E-10
Ni68 ,0.00000000242
Ni69 ,0.0000000118
Ni70 ,0.0000000365
Ni71 ,0.0000000528
Ni72 ,0.0000000523
Ni73 ,0.000000041
Ni74 ,0.0000000259
Ni75 ,0.00000000476
Ni76 ,0.00000000171
Ni77 ,1.65997E-10
Ni78 ,1.51997E-11
Ni79 ,2.44905E-13
Ni80 ,0
Ni81 ,8.6252E-16
Ni82 ,0
Cu66 ,2.65E-13
Cu67 ,4.92E-12
Cu68 ,4.43E-11
Cu68m ,1.03E-10
Cu69 ,0.00000000262
Cu70 ,0.00000000424
Cu70m ,0.0000000127
Cu71 ,0.0000000834
Cu72 ,0.000000181
Cu73 ,0.000000494
Cu74 ,0.000000731
Cu75 ,0.000000536
Cu76 ,0.000000493
Cu77 ,0.000000205
Cu78 ,0.0000000524
Cu79 ,0.00000000777976
Cu80 ,3.2E-10
Cu81 ,2.73991E-11
Cu82 ,3.86E-13
Cu83 ,9.10346E-15
Zn66 ,0
Zn67 ,0
Zn68 ,5.64E-13
Zn69 ,4.87E-12
Zn69m ,2.08E-11
Zn70 ,6.39E-10
Zn71 ,0.00000000139
Zn71m ,0.00000000594
Zn72 ,0.0000000583
Zn73 ,0.00000033
Zn74 ,0.00000166
Zn75 ,0.00000263
Zn76 ,0.00000884
Zn77 ,0.00000876
Zn78 ,0.00000936
Zn79 ,0.00000362
Zn80 ,0.000000664
Zn81 ,0.00000016
Zn82 ,0.0000000111
Zn83 ,4.31991E-10
Zn84 ,8.56E-12
Zn85 ,2.54034E-13
Zn86 ,0
Ga66 ,0
Ga67 ,0
Ga68 ,0
Ga69 ,1.34E-14
Ga70 ,8.68E-13
Ga71 ,4.21E-11
Ga72 ,4.36E-10
Ga72m ,4.36E-10
Ga73 ,0.0000000187
Ga74 ,0.0000001075
Ga74m ,0.0000001075
Ga75 ,0.0000012
Ga76 ,0.00000849
Ga77 ,0.00002876
Ga78 ,0.00006916
Ga79 ,0.00009994
Ga80 ,0.00004603
Ga81 ,0.00004704
Ga82 ,0.00000946
Ga83 ,0.00000178
Ga84 ,0.000000107
Ga85 ,0.00000000806975
Ga86 ,1.49E-10
Ga87 ,1.62471E-12
Ga88 ,6.38506E-14
Ge66 ,0
Ge67 ,0
Ge68 ,0
Ge69 ,0
Ge70 ,0
Ge71 ,0
Ge71m ,0
Ge72 ,7.19E-13
Ge73 ,3.21E-11
Ge73m ,7.54E-12
Ge74 ,0.00000000191
Ge75 ,0.00000000343
Ge75m ,0.000000023
Ge76 ,0.000000717
Ge77 ,0.00000474
Ge77m ,0.000000708
Ge78 ,0.00004656
Ge79 ,0.00007071
Ge79m ,0.00007071
Ge80 ,0.00023122
Ge81 ,0.00054357
Ge82 ,0.00045698
Ge83 ,0.00023471
Ge84 ,0.00006503
Ge85 ,0.00001405
Ge86 ,0.00000126
Ge87 ,0.0000000770984
Ge88 ,0.00000000302994
Ge89 ,2.48368E-11
Ge90 ,1.13099E-12
Ge91 ,7.64017E-14
As69 ,0
As71 ,0
As72 ,0
As73 ,0
As74 ,1.65E-13
As74m ,3.84E-13
As75 ,3.31E-11
As76 ,0.00000000237
As77 ,0.0000000742
As78 ,0.0000016
As79 ,0.00001817
As80 ,0.00006705
As81 ,0.00055369
As82 ,0.00053081
As82m ,0.00053081
As83 ,0.00208586
As84 ,0.00072642
As84m ,0.00072642
As85 ,0.00131612
As86 ,0.00033129
As87 ,0.00009225
As88 ,0.00001011
As89 ,0.000000788975
As90 ,0.0000000359276
As91 ,0.00000000242701
As92 ,5.0364E-12
As93 ,4.33707E-13
Se72 ,0
Se73 ,0
Se73m ,0
Se74 ,0
Se75 ,0
Se76 ,3.94E-13
Se77 ,4.38E-12
Se77m ,2.93E-11
Se78 ,0.00000000324
Se79 ,0.0000000834
Se79m ,0.0000000125
Se80 ,0.00000148
Se81 ,0.00000392
Se81m ,0.00002622
Se82 ,0.00022944
Se83 ,0.00084955
Se83m ,0.00019928
Se84 ,0.00258639
Se85 ,0.00274308
Se85m ,0.00272771
Se86 ,0.00543984
Se87 ,0.00383144
Se88 ,0.00175213
Se89 ,0.00037854
Se90 ,0.0000639141
Se91 ,0.00000431757
Se92 ,0.000000238995
Se93 ,0.0000000205809
Se94 ,1.1E-10
Se95 ,1.68384E-12
Se96 ,0
Br75 ,0
Br77 ,0
Br77m ,0
Br78 ,1.99E-13
Br79 ,6.01E-12
Br79m ,2.01E-11
