Product ;  ; 
Product ;  ; 
Product ; Yield ; Error
V66 ; 7.58793E-20 ; 4.85627E-20
Cr66 ; 1.17999E-14 ; 7.55195E-15
Cr67 ; 0.0 ; 0.0
Cr68 ; 0.0 ; 0.0
Cr69 ; 3.92061E-18 ; 2.50919E-18
Cr70 ; 0.0 ; 0.0
Mn66 ; 1.13E-11 ; 7.232E-12
Mn67 ; 5.25E-12 ; 3.36E-12
Mn68 ; 1.48E-12 ; 9.472E-13
Mn69 ; 2.00996E-13 ; 1.28637E-13
Mn70 ; 1.15E-14 ; 7.36E-15
Mn71 ; 0.0 ; 0.0
Mn72 ; 8.03806E-18 ; 5.14436E-18
Mn73 ; 4.27498E-19 ; 2.73599E-19
Fe66 ; 4.03E-10 ; 2.5792E-10
Fe67 ; 6.32E-10 ; 4.0448E-10
Fe68 ; 6.28E-10 ; 4.0192E-10
Fe69 ; 3.01E-10 ; 1.9264E-10
Fe70 ; 6.41E-11 ; 4.1024E-11
Fe71 ; 1.0E-11 ; 6.4E-12
Fe72 ; 1.24999E-12 ; 7.99995E-13
Fe73 ; 4.86996E-14 ; 3.11677E-14
Fe74 ; 0.0 ; 0.0
Fe75 ; 1.2464E-16 ; 7.97698E-17
Fe76 ; 0.0 ; 0.0
Co66 ; 7.83E-10 ; 5.0112E-10
Co67 ; 3.54E-9 ; 2.2656E-9
Co68 ; 1.07E-8 ; 6.848E-9
Co69 ; 1.62E-8 ; 1.0368E-8
Co70 ; 1.18E-8 ; 7.552E-9
Co71 ; 6.61E-9 ; 4.2304E-9
Co72 ; 3.04E-9 ; 1.9456E-9
Co73 ; 4.44E-10 ; 2.8416E-10
Co74 ; 4.95E-11 ; 3.168E-11
Co75 ; 6.38988E-12 ; 4.08952E-12
Co76 ; 2.01E-13 ; 1.2864E-13
Co77 ; 2.79146E-15 ; 1.78654E-15
Co78 ; 1.02887E-16 ; 6.58478E-17
Ni66 ; 9.62E-11 ; 6.1568E-11
Ni67 ; 1.27E-9 ; 8.128E-10
Ni68 ; 1.09E-8 ; 6.976E-9
Ni69 ; 4.5E-8 ; 2.88E-8
Ni70 ; 9.64E-8 ; 6.1696E-8
Ni71 ; 1.68E-7 ; 1.0752E-7
Ni72 ; 2.56E-7 ; 1.6384E-7
Ni73 ; 1.3E-7 ; 8.32E-8
Ni74 ; 5.09E-8 ; 3.2576E-8
Ni75 ; 2.43E-8 ; 1.5552E-8
Ni76 ; 2.89E-9 ; 1.8496E-9
Ni77 ; 3.17997E-10 ; 2.03518E-10
Ni78 ; 1.59999E-11 ; 1.02399E-11
Ni79 ; 2.18462E-13 ; 1.39816E-13
Ni80 ; 0.0 ; 0.0
Ni81 ; 3.8816E-16 ; 2.48422E-16
Ni82 ; 0.0 ; 0.0
Cu66 ; 5.22E-13 ; 3.3408E-13
Cu67 ; 2.37E-11 ; 1.5168E-11
Cu68 ; 1.77E-10 ; 1.1328E-10
Cu68m ; 4.79E-10 ; 3.0656E-10
Cu69 ; 8.05E-9 ; 5.152E-9
Cu70 ; 1.09E-8 ; 6.976E-9
Cu70m ; 3.87E-8 ; 2.4768E-8
Cu71 ; 2.42E-7 ; 1.5488E-7
Cu72 ; 1.05E-6 ; 6.72E-7
Cu73 ; 1.6E-6 ; 1.024E-6
Cu74 ; 1.93E-6 ; 1.2352E-6
Cu75 ; 3.13E-6 ; 2.0032E-6
Cu76 ; 1.31E-6 ; 8.384E-7
Cu77 ; 5.27E-7 ; 3.3728E-7
Cu78 ; 9.93E-8 ; 6.3552E-8
Cu79 ; 1.11998E-8 ; 7.16786E-9
Cu80 ; 6.37E-10 ; 4.0768E-10
Cu81 ; 1.98996E-11 ; 1.27358E-11
Cu82 ; 2.61E-13 ; 1.6704E-13
Cu83 ; 3.34449E-15 ; 2.14047E-15
Zn66 ; 0.0 ; 0.0
Zn67 ; 1.59E-14 ; 1.0176E-14
Zn68 ; 1.6E-12 ; 1.024E-12
Zn69 ; 1.14E-11 ; 7.296E-12
Zn69m ; 5.56E-11 ; 3.5584E-11
Zn70 ; 1.39E-9 ; 8.896E-10
Zn71 ; 3.66E-9 ; 2.3424E-9
Zn71m ; 1.79E-8 ; 1.1456E-8
Zn72 ; 2.79E-7 ; 1.7856E-7
Zn73 ; 1.21E-6 ; 7.744E-7
Zn74 ; 3.97E-6 ; 2.5408E-6
Zn75 ; 1.855E-5 ; 1.1872E-5
Zn76 ; 2.384E-5 ; 1.52576E-5
Zn77 ; 3.121E-5 ; 1.99744E-5
Zn78 ; 2.023E-5 ; 1.29472E-5
Zn79 ; 7.9E-6 ; 5.056E-6
Zn80 ; 1.66E-6 ; 1.0624E-6
Zn81 ; 2.02E-7 ; 1.2928E-7
Zn82 ; 1.08E-8 ; 6.912E-9
Zn83 ; 3.80997E-10 ; 2.43838E-10
Zn84 ; 6.85E-12 ; 4.384E-12
Zn85 ; 8.77748E-14 ; 5.61759E-14
Zn86 ; 0.0 ; 0.0
Ga66 ; 0.0 ; 0.0
Ga67 ; 0.0 ; 0.0
Ga68 ; 0.0 ; 0.0
Ga69 ; 1.88E-14 ; 1.2032E-14
Ga70 ; 1.45E-12 ; 9.28E-13
Ga71 ; 8.11E-11 ; 5.1904E-11
Ga72 ; 1.825E-9 ; 1.168E-9
