Product ;  ; 
Product ;  ; 
Product ; Yield ; Error
V66 ; 3.30602E-16 ; 2.11585E-16
V67 ; 2.12419E-17 ; 1.35948E-17
Cr66 ; 8.55967E-12 ; 5.47819E-12
Cr67 ; 5.49979E-13 ; 3.51986E-13
Cr68 ; 2.41E-14 ; 1.5424E-14
Cr69 ; 7.14501E-16 ; 4.57281E-16
Cr70 ; 0.0 ; 0.0
Mn66 ; 6.39E-9 ; 4.0896E-9
Mn67 ; 1.34E-9 ; 8.576E-10
Mn68 ; 1.94E-10 ; 1.2416E-10
Mn69 ; 1.84993E-11 ; 1.18395E-11
Mn70 ; 9.4E-13 ; 6.016E-13
Mn71 ; 3.4E-14 ; 2.176E-14
Mn72 ; 1.22045E-15 ; 7.81085E-16
Fe66 ; 2.41E-7 ; 1.5424E-7
Fe67 ; 1.53E-7 ; 9.792E-8
Fe68 ; 6.96E-8 ; 4.4544E-8
Fe69 ; 2.13E-8 ; 1.3632E-8
Fe70 ; 3.66E-9 ; 2.3424E-9
Fe71 ; 4.41E-10 ; 2.8224E-10
Fe72 ; 3.15988E-11 ; 2.02232E-11
Fe73 ; 1.6E-12 ; 1.024E-12
Fe74 ; 4.76E-14 ; 3.0464E-14
Fe75 ; 2.13964E-15 ; 1.36937E-15
Fe76 ; 0.0 ; 0.0
Co66 ; 6.13E-7 ; 3.9232E-7
Co67 ; 1.04E-6 ; 6.656E-7
Co68 ; 1.33E-6 ; 8.512E-7
Co69 ; 1.2E-6 ; 7.68E-7
Co70 ; 6.54E-7 ; 4.1856E-7
Co71 ; 2.49E-7 ; 1.5936E-7
Co72 ; 5.8E-8 ; 3.712E-8
Co73 ; 9.67E-9 ; 6.1888E-9
Co74 ; 9.63E-10 ; 6.1632E-10
Co75 ; 5.53979E-11 ; 3.54546E-11
Co76 ; 1.76E-12 ; 1.1264E-12
Co77 ; 4.67322E-14 ; 2.99086E-14
Ni66 ; 1.24E-7 ; 7.936E-8
Ni67 ; 5.56E-7 ; 3.5584E-7
Ni68 ; 1.85E-6 ; 1.184E-6
Ni69 ; 4.38E-6 ; 2.8032E-6
Ni70 ; 6.66E-6 ; 4.2624E-6
Ni71 ; 7.27E-6 ; 4.6528E-6
Ni72 ; 5.07E-6 ; 3.2448E-6
Ni73 ; 2.63E-6 ; 1.6832E-6
Ni74 ; 8.39E-7 ; 5.3696E-7
Ni75 ; 1.63E-7 ; 1.0432E-7
Ni76 ; 1.82E-8 ; 1.1648E-8
Ni77 ; 1.20995E-9 ; 7.7437E-10
Ni78 ; 4.8E-11 ; 3.072E-11
Ni79 ; 9.57818E-13 ; 6.13003E-13
Ni80 ; 1.96E-14 ; 1.2544E-14
Ni82 ; 0.0 ; 0.0
Cu66 ; 1.55E-9 ; 9.92E-10
Cu67 ; 2.08E-8 ; 1.3312E-8
Cu68 ; 5.32E-8 ; 3.4048E-8
Cu68m ; 1.44E-7 ; 9.216E-8
Cu69 ; 1.27E-6 ; 8.128E-7
Cu70 ; 1.14E-6 ; 7.296E-7
Cu70m ; 4.05E-6 ; 2.592E-6
Cu71 ; 1.473E-5 ; 9.4272E-6
Cu72 ; 2.726E-5 ; 1.74464E-5
Cu73 ; 3.926E-5 ; 2.51264E-5
Cu74 ; 3.649E-5 ; 2.33536E-5
Cu75 ; 2.219E-5 ; 1.42016E-5
Cu76 ; 8.33E-6 ; 5.3312E-6
Cu77 ; 1.84E-6 ; 1.1776E-6
Cu78 ; 2.65E-7 ; 1.696E-7
Cu79 ; 2.4799E-8 ; 1.58714E-8
Cu80 ; 1.33E-9 ; 8.512E-10
Cu81 ; 3.28E-11 ; 2.0992E-11
Cu82 ; 5.75E-13 ; 3.68E-13
Zn66 ; 9.3E-13 ; 5.952E-13
Zn67 ; 4.05E-11 ; 2.592E-11
Zn68 ; 1.21E-9 ; 7.744E-10
Zn69 ; 4.07E-9 ; 2.6048E-9
Zn69m ; 1.99E-8 ; 1.2736E-8
Zn70 ; 2.96E-7 ; 1.8944E-7
Zn71 ; 3.99E-7 ; 2.5536E-7
Zn71m ; 1.95E-6 ; 1.248E-6
Zn72 ; 1.16E-5 ; 7.424E-6
Zn73 ; 4.347E-5 ; 2.78208E-5
Zn74 ; 1.055E-4 ; 6.752E-5
Zn75 ; 1.7754E-4 ; 1.13626E-4
Zn76 ; 1.9938E-4 ; 1.27603E-4
Zn77 ; 1.3488E-4 ; 8.63232E-5
Zn78 ; 6.572E-5 ; 4.20608E-5
Zn79 ; 2.096E-5 ; 1.34144E-5
Zn80 ; 3.79E-6 ; 2.4256E-6
Zn81 ; 3.3E-7 ; 2.112E-7
Zn82 ; 2.07E-8 ; 1.3248E-8
Zn83 ; 5.06E-10 ; 3.2384E-10
Zn84 ; 9.08E-12 ; 5.8112E-12
Zn85 ; 1.93495E-13 ; 1.23837E-13
Zn86 ; 0.0 ; 0.0
Ga66 ; 0.0 ; 0.0
Ga67 ; 0.0 ; 0.0
Ga68 ; 3.44E-13 ; 2.2016E-13
Ga69 ; 2.22E-11 ; 1.4208E-11
Ga70 ; 9.09E-10 ; 5.8176E-10
Ga71 ; 2.26E-8 ; 1.4464E-8
Ga72 ; 1.685E-7 ; 1.0784E-7
Ga72m ; 1.685E-7 ; 1.0784E-7
Ga73 ; 3.64E-6 ; 2.3296E-6
Ga74 ; 1.212E-5 ; 7.7568E-6
Ga74m ; 1.212E-5 ; 7.7568E-6
Ga75 ; 1.1035E-4 ; 7.0624E-5
Ga76 ; 3.3841E-4 ; 2.16582E-4
Ga77 ; 6.2046E-4 ; 3.97094E-4
Ga78 ; 9.0325E-4 ; 5.7808E-4
Ga79 ; 8.8523E-4 ; 5.66547E-4
Ga80 ; 5.0182E-4 ; 3.21165E-4
