Product ;  ; 
Product ;  ; 
Product ; Yield ; Error
V66 ; 8.64479E-18 ; 5.53266E-18
V67 ; 5.95371E-19 ; 3.81037E-19
Cr66 ; 1.83991E-13 ; 1.17754E-13
Cr67 ; 1.04994E-14 ; 6.71962E-15
Cr68 ; 0.0 ; 0.0
Cr69 ; 5.10836E-17 ; 3.26935E-17
Cr70 ; 0.0 ; 0.0
Mn66 ; 6.88E-11 ; 4.4032E-11
Mn67 ; 1.45E-11 ; 9.28E-12
Mn68 ; 3.09E-12 ; 1.9776E-12
Mn69 ; 6.07949E-13 ; 3.89087E-13
Mn70 ; 6.91E-14 ; 4.4224E-14
Mn71 ; 0.0 ; 0.0
Mn72 ; 2.52296E-16 ; 1.6147E-16
Fe66 ; 3.62E-9 ; 2.3168E-9
Fe67 ; 1.89E-9 ; 1.2096E-9
Fe68 ; 1.4E-9 ; 8.96E-10
Fe69 ; 6.99E-10 ; 4.4736E-10
Fe70 ; 2.86E-10 ; 1.8304E-10
Fe71 ; 4.66E-11 ; 2.9824E-11
Fe72 ; 5.36975E-12 ; 3.43664E-12
Fe73 ; 1.51E-13 ; 9.664E-14
Fe74 ; 0.0 ; 0.0
Fe75 ; 4.99074E-16 ; 3.19407E-16
Fe76 ; 0.0 ; 0.0
Co66 ; 6.26E-9 ; 4.0064E-9
Co67 ; 1.01E-8 ; 6.464E-9
Co68 ; 1.69E-8 ; 1.0816E-8
Co69 ; 2.77E-8 ; 1.7728E-8
Co70 ; 2.78E-8 ; 1.7792E-8
Co71 ; 1.63E-8 ; 1.0432E-8
Co72 ; 4.82E-9 ; 3.0848E-9
Co73 ; 4.92E-10 ; 3.1488E-10
Co74 ; 6.98E-11 ; 4.4672E-11
Co75 ; 5.9395E-12 ; 3.80128E-12
Co76 ; 4.17E-13 ; 2.6688E-13
Co77 ; 3.02222E-14 ; 1.93422E-14
Co78 ; 1.45646E-15 ; 9.32134E-16
Ni66 ; 2.27E-9 ; 1.4528E-9
Ni67 ; 8.04E-9 ; 5.1456E-9
Ni68 ; 3.94E-8 ; 2.5216E-8
Ni69 ; 1.38E-7 ; 8.832E-8
Ni70 ; 4.23E-7 ; 2.7072E-7
Ni71 ; 5.85E-7 ; 3.744E-7
Ni72 ; 5.76E-7 ; 3.6864E-7
Ni73 ; 1.45E-7 ; 9.28E-8
Ni74 ; 7.28E-8 ; 4.6592E-8
Ni75 ; 1.6E-8 ; 1.024E-8
Ni76 ; 4.22E-9 ; 2.7008E-9
Ni77 ; 5.3297E-10 ; 3.41101E-10
Ni78 ; 3.09985E-11 ; 1.98391E-11
Ni79 ; 6.5871E-13 ; 4.21574E-13
Ni80 ; 2.36E-14 ; 1.5104E-14
Ni82 ; 0.0 ; 0.0
Cu66 ; 2.56E-11 ; 1.6384E-11
Cu67 ; 3.08E-10 ; 1.9712E-10
Cu68 ; 9.23E-10 ; 5.9072E-10
Cu68m ; 2.5E-9 ; 1.6E-9
Cu69 ; 3.63E-8 ; 2.3232E-8
Cu70 ; 5.2E-8 ; 3.328E-8
Cu70m ; 1.84E-7 ; 1.1776E-7
Cu71 ; 9.829999E-7 ; 6.2912E-7
Cu72 ; 2.09E-6 ; 1.3376E-6
Cu73 ; 1.64E-6 ; 1.0496E-6
Cu74 ; 1.92E-6 ; 1.2288E-6
Cu75 ; 1.42E-6 ; 9.088E-7
Cu76 ; 9.63E-7 ; 6.1632E-7
Cu77 ; 4.33E-7 ; 2.7712E-7
Cu78 ; 6.54E-8 ; 4.1856E-8
Cu79 ; 7.83934E-9 ; 5.01718E-9
Cu80 ; 4.96E-10 ; 3.1744E-10
Cu81 ; 2.14E-11 ; 1.3696E-11
Cu82 ; 3.78E-13 ; 2.4192E-13
Cu83 ; 1.87684E-14 ; 1.20118E-14
Zn66 ; 3.94E-14 ; 2.5216E-14
Zn67 ; 1.24E-12 ; 7.936E-13
Zn68 ; 4.79E-11 ; 3.0656E-11
Zn69 ; 2.09E-10 ; 1.3376E-10
Zn69m ; 1.02E-9 ; 6.528E-10
Zn70 ; 2.6E-8 ; 1.664E-8
Zn71 ; 4.21E-8 ; 2.6944E-8
Zn71m ; 2.05E-7 ; 1.312E-7
Zn72 ; 1.57E-6 ; 1.0048E-6
Zn73 ; 2.61E-6 ; 1.6704E-6
Zn74 ; 9.02E-6 ; 5.7728E-6
Zn75 ; 1.458E-5 ; 9.3312E-6
Zn76 ; 3.208E-5 ; 2.05312E-5
Zn77 ; 3.419E-5 ; 2.18816E-5
Zn78 ; 1.764E-5 ; 1.12896E-5
Zn79 ; 5.5E-6 ; 3.52E-6
Zn80 ; 1.25E-6 ; 8.0E-7
Zn81 ; 1.48E-7 ; 9.472E-8
Zn82 ; 1.05E-8 ; 6.72E-9
Zn83 ; 3.30981E-10 ; 2.11828E-10
Zn84 ; 7.39E-12 ; 4.7296E-12
Zn85 ; 1.96605E-13 ; 1.25827E-13
Zn86 ; 0.0 ; 0.0
Ga66 ; 0.0 ; 0.0
Ga67 ; 0.0 ; 0.0
Ga68 ; 1.6E-14 ; 1.024E-14
Ga69 ; 1.47E-12 ; 9.408E-13
Ga70 ; 7.87E-11 ; 5.0368E-11
Ga71 ; 2.65E-9 ; 1.696E-9
Ga72 ; 2.01E-8 ; 1.2864E-8
Ga72m ; 2.01E-8 ; 1.2864E-8
Ga73 ; 2.12E-7 ; 1.3568E-7
Ga74 ; 8.05E-7 ; 5.152E-7
Ga74m ; 8.05E-7 ; 5.152E-7
Ga75 ; 7.74E-6 ; 4.9536E-6
Ga76 ; 3.68E-5 ; 2.3552E-5
Ga77 ; 1.1682E-4 ; 7.47648E-5
Ga78 ; 1.3369E-4 ; 8.55616E-5
Ga79 ; 1.375E-4 ; 8.8E-5
Ga80 ; 7.496E-5 ; 4.79744E-5
Ga81 ; 3.27E-5 ; 2.0928E-5
Ga82 ; 6.46E-6 ; 4.1344E-6
Ga83 ; 7.99E-7 ; 5.1136E-7
Ga84 ; 5.29E-8 ; 3.3856E-8
Ga85 ; 2.3398E-9 ; 1.49747E-9
Ga86 ; 6.01E-11 ; 3.8464E-11
Ga87 ; 1.43456E-12 ; 9.18119E-13
Ge66 ; 0.0 ; 0.0
Ge67 ; 0.0 ; 0.0
Ge68 ; 0.0 ; 0.0
Ge69 ; 0.0 ; 0.0
Ge70 ; 3.03E-14 ; 1.9392E-14
Ge71 ; 1.37E-12 ; 8.768E-13
Ge71m ; 1.37E-12 ; 8.768E-13
Ge72 ; 1.48E-10 ; 9.472E-11
Ge73 ; 1.63E-9 ; 1.0432E-9
Ge73m ; 3.33E-10 ; 2.1312E-10
Ge74 ; 5.05E-8 ; 3.232E-8
Ge75 ; 6.84E-8 ; 4.3776E-8
Ge75m ; 5.01E-7 ; 3.2064E-7
Ge76 ; 8.72E-6 ; 5.5808E-6
Ge77 ; 5.281E-5 ; 3.37984E-5
Ge77m ; 7.2E-6 ; 4.608E-6
Ge78 ; 2.0219E-4 ; 1.29402E-4
Ge79 ; 2.2546E-4 ; 1.44294E-4
Ge79m ; 2.2546E-4 ; 1.44294E-4
Ge80 ; 7.4123E-4 ; 4.74387E-4
Ge81 ; 7.6799E-4 ; 4.91514E-4
Ge82 ; 5.3902E-4 ; 3.44973E-4
Ge83 ; 1.7761E-4 ; 1.1367E-4
Ge84 ; 4.629E-5 ; 2.96256E-5
Ge85 ; 5.78E-6 ; 3.6992E-6
Ge86 ; 5.89E-7 ; 3.7696E-7
Ge87 ; 2.52986E-8 ; 1.61911E-8
Ge88 ; 9.15E-10 ; 5.856E-10
Ge89 ; 1.50394E-11 ; 9.62523E-12
Ge90 ; 1.77804E-12 ; 1.13794E-12
As69 ; 0.0 ; 0.0
As71 ; 0.0 ; 0.0
As72 ; 1.22E-14 ; 7.808E-15
As73 ; 5.91E-13 ; 3.7824E-13
As74 ; 1.07E-11 ; 6.848E-12
As74m ; 2.88E-11 ; 1.8432E-11
As75 ; 1.58E-9 ; 1.0112E-9
As76 ; 6.16E-8 ; 3.9424E-8
As77 ; 1.42E-6 ; 9.088E-7
As78 ; 1.107E-5 ; 7.0848E-6
As79 ; 7.81E-5 ; 4.9984E-5
As80 ; 2.7512E-4 ; 1.76077E-4
As81 ; 8.7767E-4 ; 5.61709E-4
As82 ; 7.0743E-4 ; 4.52755E-4
As82m ; 7.0743E-4 ; 4.52755E-4
As83 ; 0.00154585 ; 9.89344E-4
As84 ; 5.18195E-4 ; 3.31645E-4
As84m ; 5.18195E-4 ; 3.31645E-4
As85 ; 4.717E-4 ; 3.01888E-4
As86 ; 1.3075E-4 ; 8.368E-5
As87 ; 2.179E-5 ; 1.39456E-5
As88 ; 2.17E-6 ; 1.3888E-6
As89 ; 1.78985E-7 ; 1.1455E-7
As90 ; 1.75331E-8 ; 1.12212E-8
As91 ; 8.90222E-11 ; 5.69742E-11
As92 ; 4.07808E-12 ; 2.60997E-12
Se72 ; 0.0 ; 0.0
Se73 ; 0.0 ; 0.0
Se73m ; 0.0 ; 0.0
Se74 ; 0.0 ; 0.0
Se75 ; 3.93E-13 ; 2.5152E-13
Se76 ; 5.75E-11 ; 3.68E-11
Se77 ; 4.09E-10 ; 2.6176E-10
Se77m ; 3.0E-9 ; 1.92E-9
Se78 ; 9.34E-8 ; 5.9776E-8
Se79 ; 1.47E-6 ; 9.408E-7
Se79m ; 2.0E-7 ; 1.28E-7
Se80 ; 1.934E-5 ; 1.23776E-5
Se81 ; 1.773E-5 ; 1.13472E-5
Se81m ; 1.3001E-4 ; 8.32064E-5
Se82 ; 7.7759E-4 ; 4.97658E-4
Se83 ; 0.00160722 ; 0.00102862
Se83m ; 3.292E-4 ; 2.10688E-4
Se84 ; 0.00414822 ; 0.00265486
Se85 ; 0.00224366 ; 0.00143594
Se85m ; 0.00223811 ; 0.00143239
Se86 ; 0.00424041 ; 0.00271386
Se87 ; 0.00181954 ; 0.00116451
Se88 ; 6.5684E-4 ; 4.20378E-4
Se89 ; 1.4104E-4 ; 9.02656E-5
Se90 ; 1.93525E-5 ; 1.23856E-5
Se91 ; 1.56991E-6 ; 1.00474E-6
Se92 ; 8.67959E-8 ; 5.55494E-8
Se93 ; 5.89814E-10 ; 3.77481E-10
