Product ; Thermal (0.0253 eV) ; Thermal (0.0253 eV) ; Fast (500 keV) ; Fast (500 keV) ; (E=2 MeV) ; (E=2 MeV) ; High (14 MeV) ; High (14 MeV)
Product ;  ;  ;  ;  ;  ;  ;  ; 
Product ; Yield ; Error ; Yield ; Error ; Yield ; Error ; Yield ; Error
V66 ;  ;  ; 3.59707E-18 ; 2.30212E-18 ; 3.59683E-18 ; 2.30197E-18 ; 5.81838E-14 ; 3.72376E-14
V67 ;  ;  ;  ;  ;  ;  ; 9.26705E-15 ; 5.93091E-15
Cr66 ; 0.0 ; 0.0 ; 8.91902E-14 ; 5.70817E-14 ; 8.91852E-14 ; 5.70779E-14 ; 8.72471E-11 ; 5.58381E-11
Cr67 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 1.28209E-11 ; 8.20536E-12
Cr68 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 1.93455E-12 ; 1.23811E-12
Cr69 ; 1.90141E-18 ; 1.2169E-18 ; 4.84993E-17 ; 3.10395E-17 ; 4.8496E-17 ; 3.10374E-17 ; 2.06182E-13 ; 1.31956E-13
Cr70 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 1.0625E-14 ; 6.79998E-15
Mn66 ; 3.68995E-12 ; 2.36157E-12 ; 4.03952E-11 ; 2.58536E-11 ; 4.06096E-11 ; 2.58519E-11 ; 1.032458E-8 ; 6.605701E-9
Mn67 ; 7.57991E-13 ; 4.85114E-13 ; 1.57989E-11 ; 1.01113E-11 ; 1.58082E-11 ; 1.01106E-11 ; 3.408017E-9 ; 2.181094E-9
Mn68 ; 1.57998E-13 ; 1.01119E-13 ; 3.08979E-12 ; 1.97747E-12 ; 3.08969E-12 ; 1.97734E-12 ; 1.162729E-9 ; 7.44149E-10
Mn69 ; 2.66978E-14 ; 1.70866E-14 ; 6.29908E-13 ; 4.03141E-13 ; 6.29866E-13 ; 4.03114E-13 ; 2.24321E-10 ; 1.43565E-10
Mn70 ; 0.0 ; 0.0 ; 5.25964E-14 ; 3.36617E-14 ; 5.25929E-14 ; 3.36594E-14 ; 3.36792E-11 ; 2.15547E-11
Mn71 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 3.36792E-12 ; 2.15547E-12
Mn72 ; 9.07935E-18 ; 5.81079E-18 ; 1.83483E-16 ; 1.17429E-16 ; 1.8347E-16 ; 1.17421E-16 ; 3.4269E-13 ; 2.19322E-13
Fe65 ;  ;  ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Fe66 ; 3.62996E-10 ; 2.32317E-10 ; 2.352303E-9 ; 1.358636E-9 ; 3.183134E-9 ; 1.358545E-9 ; 1.564069E-7 ; 9.170979E-8
Fe67 ; 1.81998E-10 ; 1.16479E-10 ; 2.330466E-9 ; 1.479436E-9 ; 2.555715E-9 ; 1.479336E-9 ; 1.112671E-7 ; 7.005334E-8
Fe68 ; 1.34998E-10 ; 8.63989E-11 ; 1.609745E-9 ; 1.029951E-9 ; 1.637707E-9 ; 1.029883E-9 ; 8.327304E-8 ; 5.320801E-8
Fe69 ; 5.86993E-11 ; 3.75675E-11 ; 8.49926E-10 ; 5.43958E-10 ; 8.51859E-10 ; 5.43922E-10 ; 3.578471E-8 ; 2.289913E-8
Fe70 ; 1.83998E-11 ; 1.17759E-11 ; 2.60981E-10 ; 1.67028E-10 ; 2.61042E-10 ; 1.67017E-10 ; 1.212841E-8 ; 7.762205E-9
Fe71 ; 1.82998E-12 ; 1.17119E-12 ; 3.84973E-11 ; 2.46383E-11 ; 3.84955E-11 ; 2.46367E-11 ; 2.806597E-9 ; 1.796222E-9
Fe72 ; 2.27988E-13 ; 1.45912E-13 ; 4.54951E-12 ; 2.91168E-12 ; 4.5492E-12 ; 2.91148E-12 ; 5.13866E-10 ; 3.28874E-10
Fe73 ; 0.0 ; 0.0 ; 1.50989E-13 ; 9.66332E-14 ; 1.50979E-13 ; 9.66267E-14 ; 6.48524E-11 ; 4.15056E-11
Fe74 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 5.42275E-12 ; 3.47056E-12
Fe75 ;  ;  ; 3.04852E-16 ; 1.95106E-16 ; 3.04832E-16 ; 1.95093E-16 ; 8.76273E-13 ; 5.60815E-13
Fe76 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 1.66391E-14 ; 1.0649E-14
Co65 ;  ;  ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Co66 ; 1.14999E-9 ; 7.35991E-10 ; 4.521675E-9 ; 1.570699E-9 ; 7.610217E-9 ; 1.570608E-9 ; 3.399802E-7 ; 1.073162E-7
Co67 ; 1.85998E-9 ; 1.19039E-9 ; 1.412533E-8 ; 5.829596E-9 ; 2.213427E-8 ; 5.829232E-9 ; 4.992755E-7 ; 1.857873E-7
Co68 ; 3.07996E-9 ; 1.97118E-9 ; 2.227129E-8 ; 1.323433E-8 ; 2.7655E-8 ; 1.323345E-8 ; 7.808062E-7 ; 4.084561E-7
Co69 ; 4.65994E-9 ; 2.98236E-9 ; 3.936544E-8 ; 2.481389E-8 ; 4.363755E-8 ; 2.481222E-8 ; 7.179085E-7 ; 4.369626E-7
Co70 ; 3.60996E-9 ; 2.31037E-9 ; 3.009439E-8 ; 1.923466E-8 ; 3.11376E-8 ; 1.923336E-8 ; 5.260464E-7 ; 3.337742E-7
Co71 ; 1.28998E-9 ; 8.2559E-10 ; 1.579913E-8 ; 1.011055E-8 ; 1.592185E-8 ; 1.010987E-8 ; 2.756429E-7 ; 1.762999E-7
Co72 ; 4.12995E-10 ; 2.64317E-10 ; 4.879648E-9 ; 3.122988E-9 ; 4.884434E-9 ; 3.122778E-9 ; 1.132639E-7 ; 7.248831E-8
Co73 ; 6.79992E-11 ; 4.35195E-11 ; 5.95959E-10 ; 3.81413E-10 ; 5.95964E-10 ; 3.81388E-10 ; 3.217548E-8 ; 2.059238E-8
Co74 ; 7.25991E-12 ; 4.64634E-12 ; 7.1495E-11 ; 4.57568E-11 ; 7.14905E-11 ; 4.57537E-11 ; 6.144435E-9 ; 3.932443E-9
Co75 ; 5.49993E-13 ; 3.51996E-13 ; 3.95943E-12 ; 2.53403E-12 ; 3.95916E-12 ; 2.53386E-12 ; 9.53367E-10 ; 6.10155E-10
Co76 ; 2.14997E-14 ; 1.37598E-14 ; 1.98986E-13 ; 1.27351E-13 ; 1.98972E-13 ; 1.27343E-13 ; 9.99349E-11 ; 6.39583E-11
Co77 ; 1.65807E-15 ; 1.06116E-15 ; 9.83801E-15 ; 6.29633E-15 ; 9.83735E-15 ; 6.2959E-15 ; 7.60188E-12 ; 4.86519E-12
Co78 ;  ;  ;  ;  ;  ;  ; 9.75295E-13 ; 6.24189E-13
Ni65 ;  ;  ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Ni66 ; 6.77992E-10 ; 4.33915E-10 ; 1.705926E-9 ; 1.038084E-9 ; 2.142091E-9 ; 1.038015E-9 ; 1.122832E-7 ; 6.881862E-8
Ni67 ; 2.28997E-9 ; 1.46558E-9 ; 1.171729E-8 ; 5.794192E-9 ; 1.723168E-8 ; 5.793813E-9 ; 3.378362E-7 ; 1.8048E-7
Ni68 ; 1.12999E-8 ; 7.231909E-9 ; 5.493035E-8 ; 1.343937E-8 ; 8.780432E-8 ; 1.343868E-8 ; 1.078608E-6 ; 4.149464E-7
Ni69 ; 3.66995E-8 ; 2.34877E-8 ; 2.090811E-7 ; 4.352749E-8 ; 3.305077E-7 ; 4.352551E-8 ; 2.036398E-6 ; 6.333396E-7
Ni70 ; 9.269889E-8 ; 5.93273E-8 ; 4.969931E-7 ; 1.436726E-7 ; 7.830798E-7 ; 1.436645E-7 ; 3.090294E-6 ; 1.225231E-6
Ni71 ; 7.489909E-8 ; 4.79354E-8 ; 6.123608E-7 ; 3.447823E-7 ; 7.914522E-7 ; 3.447593E-7 ; 3.487284E-6 ; 1.972748E-6
Ni72 ; 8.499899E-8 ; 5.43993E-8 ; 6.39712E-7 ; 4.016593E-7 ; 7.135692E-7 ; 4.016321E-7 ; 3.065638E-6 ; 1.912962E-6
Ni73 ; 3.48996E-8 ; 2.23357E-8 ; 1.969388E-7 ; 1.259636E-7 ; 2.011691E-7 ; 1.259551E-7 ; 1.914446E-6 ; 1.221172E-6
Ni74 ; 1.34998E-8 ; 8.639889E-9 ; 8.449058E-8 ; 5.407507E-8 ; 8.474199E-8 ; 5.407143E-8 ; 8.087848E-7 ; 5.175677E-7
Ni75 ; 2.63997E-9 ; 1.68958E-9 ; 1.269914E-8 ; 8.127438E-9 ; 1.270265E-8 ; 8.126889E-9 ; 2.826731E-7 ; 1.809036E-7
Ni76 ; 3.93995E-10 ; 2.52157E-10 ; 2.369837E-9 ; 1.516691E-9 ; 2.369753E-9 ; 1.51659E-9 ; 6.715818E-8 ; 4.298102E-8
Ni77 ; 3.44979E-11 ; 2.20787E-11 ; 2.06976E-10 ; 1.32464E-10 ; 2.06963E-10 ; 1.32455E-10 ; 1.051712E-8 ; 6.730964E-9
Ni78 ; 2.37997E-12 ; 1.52318E-12 ; 1.16992E-11 ; 7.48749E-12 ; 1.16984E-11 ; 7.48698E-12 ; 1.462468E-9 ; 9.35976E-10
Ni79 ; 8.04716E-14 ; 5.15018E-14 ; 3.80296E-13 ; 2.43389E-13 ; 3.80271E-13 ; 2.43373E-13 ; 1.48193E-10 ; 9.48436E-11
Ni80 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 1.35318E-11 ; 8.66036E-12
Ni82 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 1.88443E-14 ; 1.20603E-14
Cu65 ;  ;  ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Cu66 ; 1.37998E-11 ; 8.83189E-12 ; 2.0498E-11 ; 1.3119E-11 ; 2.05593E-11 ; 1.31182E-11 ; 5.192245E-9 ; 3.322717E-9
Cu67 ; 1.55998E-10 ; 9.98388E-11 ; 4.78998E-10 ; 3.06436E-10 ; 4.88209E-10 ; 3.06415E-10 ; 3.337883E-8 ; 2.133058E-8
Cu68 ; 4.96994E-10 ; 3.18076E-10 ; 1.389802E-9 ; 8.89296E-10 ; 1.410632E-9 ; 8.89237E-10 ; 4.048961E-8 ; 2.590529E-8
Cu68m ; 1.15999E-9 ; 7.42391E-10 ; 3.758964E-9 ; 2.401441E-9 ; 3.911811E-9 ; 2.401279E-9 ; 1.843179E-7 ; 1.169338E-7
Cu69 ; 1.65998E-8 ; 1.06239E-8 ; 6.002178E-8 ; 3.702464E-8 ; 6.996436E-8 ; 3.702215E-8 ; 8.743219E-7 ; 5.184973E-7
Cu70 ; 2.18997E-8 ; 1.40158E-8 ; 6.717766E-8 ; 4.269191E-8 ; 7.238315E-8 ; 4.268904E-8 ; 4.07831E-7 ; 2.596903E-7
