Product , Fast (500 keV) 
Product ,  
Product , Yield 
V66 ,7.05862E-18
V67 ,  
Cr66 ,1.47993E-13
Cr67 ,0
Cr68 ,0
Cr69 ,8.44173E-18
Cr70 ,0
Mn66 ,5.96E-11
Mn67 ,1.2E-11
Mn68 ,1.98E-12
Mn69 ,1.76992E-13
Mn70 ,1.33E-14
Mn71 ,0
Mn72 ,9.15713E-17
Mn73 ,6.62938E-18
Fe66 ,0.00000000292
Fe67 ,0.00000000147
Fe68 ,8.74E-10
Fe69 ,2.07E-10
Fe70 ,5.84E-11
Fe71 ,1.13E-11
Fe72 ,1.91991E-12
Fe73 ,1.38993E-13
Fe74 ,0
Fe75 ,2.78053E-16
Fe76 ,0
Co66 ,0.00000000456
Co67 ,0.00000000713
Co68 ,0.00000000983
Co69 ,0.00000000787
Co70 ,0.00000000563
Co71 ,0.00000000395
Co72 ,0.00000000175
Co73 ,4.78E-10
Co74 ,6.23E-11
Co75 ,5.82972E-12
Co76 ,3.24E-13
Co77 ,1.96497E-14
Co78 ,1.37834E-15
Ni66 ,0.00000000132
Ni67 ,0.00000000458
Ni68 ,0.0000000191
Ni69 ,0.0000000334
Ni70 ,0.000000075
Ni71 ,0.000000124
Ni72 ,0.000000184
Ni73 ,0.000000129
Ni74 ,0.0000000617
Ni75 ,0.0000000156
Ni76 ,0.00000000328
Ni77 ,4.1198E-10
Ni78 ,2.88986E-11
Ni79 ,3.90609E-13
Ni80 ,2.33E-14
Ni82 ,0
Cu66 ,1.11E-11
Cu67 ,1.33E-10
Cu68 ,3.54E-10
Cu68m ,9.58E-10
Cu69 ,0.00000000724
Cu70 ,0.00000000786
Cu70m ,0.0000000279
Cu71 ,0.000000178
Cu72 ,0.000000569
Cu73 ,0.00000127
Cu74 ,0.00000146
Cu75 ,0.00000128
Cu76 ,0.000000703
Cu77 ,0.000000326
Cu78 ,0.0000000621
Cu79 ,0.00000000818961
Cu80 ,5.3E-10
Cu81 ,2.8E-11
Cu82 ,6.85E-13
Cu83 ,3.07145E-14
Zn66 ,1.07E-14
Zn67 ,3.43E-13
Zn68 ,1.24E-11
Zn69 ,2.95E-11
Zn69m ,1.44E-10
Zn70 ,0.00000000291
Zn71 ,0.00000000576
Zn71m ,0.0000000281
Zn72 ,0.000000327
Zn73 ,0.00000159
Zn74 ,0.00000553
Zn75 ,0.00001087
Zn76 ,0.0000193
Zn77 ,0.00002189
Zn78 ,0.0000147
Zn79 ,0.00000509
Zn80 ,0.00000123
Zn81 ,0.000000177
Zn82 ,0.0000000166
Zn83 ,6.43969E-10
Zn84 ,2.03E-11
Zn85 ,2.60883E-13
Zn86 ,0
Ga66 ,0
Ga67 ,0
Ga68 ,0
Ga69 ,1.34E-13
Ga70 ,5.98E-12
Ga71 ,2.52E-10
Ga72 ,0.000000002955
Ga72m ,0.000000002955
Ga73 ,0.0000000966
Ga74 ,0.000000385
Ga74m ,0.000000385
Ga75 ,0.00000464
Ga76 ,0.0000179
Ga77 ,0.00006181
Ga78 ,0.0000942
Ga79 ,0.00010752
Ga80 ,0.0000643
Ga81 ,0.00003313
Ga82 ,0.00000823
Ga83 ,0.00000124
Ga84 ,0.000000114
Ga85 ,0.00000000546974
Ga86 ,1.61E-10
Ga87 ,3.267E-12
Ga88 ,1.08264E-13
Ge66 ,0
Ge67 ,0
Ge68 ,0
Ge69 ,0
Ge70 ,0
Ge71 ,7.58E-14
Ge71m ,7.58E-14
Ge72 ,1.29E-11
Ge73 ,4.64E-10
Ge73m ,9.49E-11
Ge74 ,0.0000000159
Ge75 ,0.0000000285
Ge75m ,0.000000209
Ge76 ,0.000003
Ge77 ,0.00002064
Ge77m ,0.00000282
Ge78 ,0.00010869
Ge79 ,0.00013467
Ge79m ,0.00013467
Ge80 ,0.00049565
Ge81 ,0.00058876
Ge82 ,0.00049053
Ge83 ,0.00019109
Ge84 ,0.00006758
Ge85 ,0.00000952
Ge86 ,0.00000113
Ge87 ,0.0000000684967
Ge88 ,0.00000000226989
Ge89 ,1.84097E-11
Ge90 ,1.66665E-12
As69 ,0
As71 ,0
As72 ,0
As73 ,9.63E-14
As74 ,2.01E-12
As74m ,5.45E-12
As75 ,4.14E-10
As76 ,0.0000000137
As77 ,0.000000378
As78 ,0.00000427
As79 ,0.00003414
As80 ,0.00014008
As81 ,0.00050271
As82 ,0.00045665
As82m ,0.00045665
As83 ,0.00113756
As84 ,0.00049914
As84m ,0.00049914
As85 ,0.00052458
As86 ,0.00016879
As87 ,0.00004131
As88 ,0.00000405
As89 ,0.000000385982
As90 ,0.0000000349433
As91 ,1.37357E-10
As92 ,8.06018E-12
As93 ,6.18065E-13
Se72 ,0
Se73 ,0
Se73m ,0
Se74 ,0
Se75 ,5.5E-14
Se76 ,6.96E-12
Se77 ,6.22E-11
Se77m ,4.56E-10
Se78 ,0.0000000216
Se79 ,0.000000394
Se79m ,0.0000000538
Se80 ,0.00000639
Se81 ,0.00000659
Se81m ,0.00004831
Se82 ,0.00031686
Se83 ,0.00074049
Se83m ,0.00015167
Se84 ,0.00231818
Se85 ,0.00154799
Se85m ,0.00154085
Se86 ,0.00334204
Se87 ,0.00214883
Se88 ,0.00080524
Se89 ,0.00021281
Se90 ,0.0000336451
Se91 ,0.00000287986
Se92 ,0.000000168992
Se93 ,0.0000000129585
Se94 ,9.09E-11
Se95 ,3.03985E-12
Se96 ,0
Br75 ,0
Br77 ,0
Br77m ,1.59E-14
Br78 ,2.32E-12
Br79 ,3.84E-11
