Product , Thermal (0.0253 eV) 
Product ,  
Product , Yield 
V66 ,5.29855E-19
V67 ,  
Cr66 ,2.50995E-14
Cr67 ,0
Cr68 ,0
Cr69 ,6.25578E-18
Cr70 ,0
Mn66 ,1.04E-11
Mn67 ,2.68E-12
Mn68 ,5.59E-13
Mn69 ,9.76938E-14
Mn70 ,0
Mn71 ,0
Mn72 ,2.06242E-17
Mn73 ,1.729E-18
Fe66 ,5.34E-10
Fe67 ,3.46E-10
Fe68 ,2.64E-10
Fe69 ,1.24E-10
Fe70 ,4.72E-11
Fe71 ,5.63E-12
Fe72 ,9.76979E-13
Fe73 ,5.99983E-14
Fe74 ,0
Fe75 ,1.74803E-16
Fe76 ,0
Co66 ,8.15E-10
Co67 ,0.00000000165
Co68 ,0.00000000295
Co69 ,0.00000000474
Co70 ,0.00000000463
Co71 ,0.00000000203
Co72 ,9.28E-10
Co73 ,2.18E-10
Co74 ,2.18E-11
Co75 ,2.72983E-12
Co76 ,1.22E-13
Co77 ,6.05151E-15
Co78 ,4.20084E-16
Ni66 ,2.36E-10
Ni67 ,0.00000000107
Ni68 ,0.00000000579
Ni69 ,0.0000000205
Ni70 ,0.0000000636
Ni71 ,0.0000000666
Ni72 ,0.000000103
Ni73 ,0.0000000627
Ni74 ,0.0000000232
Ni75 ,0.00000000796
Ni76 ,0.00000000137
Ni77 ,2.09994E-10
Ni78 ,1.98996E-11
Ni79 ,1.85688E-13
Ni80 ,1.05E-14
Ni82 ,0
Cu66 ,1.84E-12
Cu67 ,2.91E-11
Cu68 ,1.14E-10
Cu68m ,2.66E-10
Cu69 ,0.00000000428
Cu70 ,0.00000000732
Cu70m ,0.000000022
Cu71 ,0.0000000933
Cu72 ,0.000000312
Cu73 ,0.000000613
Cu74 ,0.000000552
Cu75 ,0.000000666
Cu76 ,0.000000302
Cu77 ,0.000000173
Cu78 ,0.000000045
Cu79 ,0.00000000289981
Cu80 ,2.59E-10
Cu81 ,2.27E-11
Cu82 ,3.99E-13
Cu83 ,1.69442E-14
Zn66 ,0
Zn67 ,7.14E-14
Zn68 ,3.43E-12
Zn69 ,1.89E-11
Zn69m ,8.08E-11
Zn70 ,0.00000000235
Zn71 ,0.00000000335
Zn71m ,0.0000000143
Zn72 ,0.00000018
Zn73 ,0.000000777
Zn74 ,0.00000213
Zn75 ,0.0000058
Zn76 ,0.00000861
Zn77 ,0.00001214
Zn78 ,0.00001131
Zn79 ,0.00000193
Zn80 ,0.000000652
Zn81 ,0.000000158
Zn82 ,0.0000000108
Zn83 ,5.87983E-10
Zn84 ,1.88E-11
Zn85 ,3.41282E-13
Zn86 ,0
Ga66 ,0
Ga67 ,0
Ga68 ,0
Ga69 ,6.96E-14
Ga70 ,4.42E-12
Ga71 ,1.21E-10
Ga72 ,0.00000000153
Ga72m ,0.00000000153
Ga73 ,0.0000000446
Ga74 ,0.000000142
Ga74m ,0.000000142
Ga75 ,0.00000239
Ga76 ,0.00000777
Ga77 ,0.00003365
Ga78 ,0.0000717
Ga79 ,0.00004084
Ga80 ,0.00003458
Ga81 ,0.00003033
Ga82 ,0.00000554
Ga83 ,0.00000122
Ga84 ,0.000000112
Ga85 ,0.00000000532966
Ga86 ,1.53E-10
Ga87 ,1.77511E-12
Ga88 ,5.8474E-14
Ge66 ,0
Ge67 ,0
Ge68 ,0
Ge69 ,0
Ge70 ,0
Ge71 ,3.41E-14
Ge71m ,3.41E-14
Ge72 ,6.33E-12
Ge73 ,2E-10
Ge73m ,4.69E-11
Ge74 ,0.00000000568
Ge75 ,0.0000000156
Ge75m ,0.000000104
Ge76 ,0.00000129
Ge77 ,0.00001112
Ge77m ,0.00000166
Ge78 ,0.00008353
Ge79 ,0.000052015
Ge79m ,0.000052015
Ge80 ,0.00027335
Ge81 ,0.00055767
Ge82 ,0.00034552
Ge83 ,0.000206
Ge84 ,0.00007118
Ge85 ,0.00001007
Ge86 ,0.00000118
Ge87 ,0.0000000615982
Ge88 ,0.00000000276994
Ge89 ,2.13862E-11
Ge90 ,1.39593E-12
As69 ,0
As71 ,0
As72 ,0
As73 ,3.78E-14
As74 ,7.19E-13
As74m ,1.68E-12
As75 ,1.91E-10
As76 ,0.00000000546
As77 ,0.000000192
As78 ,0.0000031
As79 ,0.0000126
As80 ,0.00007444
As81 ,0.00046268
As82 ,0.00031477
As82m ,0.00031477
As83 ,0.00124372
As84 ,0.00052431
As84m ,0.00052431
As85 ,0.00056053
As86 ,0.00018059
As87 ,0.00003852
As88 ,0.00000504
As89 ,0.000000333979
As90 ,0.0000000159693
As91 ,8.55857E-11
As92 ,3.63088E-12
As93 ,5.00024E-13
Se72 ,0
Se73 ,0
Se73m ,0
Se74 ,0
Se75 ,2.32E-14
Se76 ,2.57E-12
Se77 ,3.23E-11
Se77m ,2.16E-10
Se78 ,0.000000015
Se79 ,0.000000139
Se79m ,0.0000000208
Se80 ,0.00000332
Se81 ,0.00000649
Se81m ,0.00004346
Se82 ,0.00021823
Se83 ,0.00081594
Se83m ,0.00019139
Se84 ,0.00258754
Se85 ,0.00169403
Se85m ,0.00168639
Se86 ,0.0037035
Se87 ,0.00209575
Se88 ,0.00103051
Se89 ,0.00019748
Se90 ,0.000033564
Se91 ,0.00000296991
Se92 ,0.000000171996
Se93 ,0.0000000173514
Se94 ,8.66E-11
Se95 ,2.80468E-12
Se96 ,0
Br75 ,0
Br77 ,0
Br77m ,0
Br78 ,1.42E-12
Br79 ,1.34E-11
Br79m ,4.49E-11
