Product , Fast (500 keV) 
Product ,  
Product , Yield 
V66 ,1.40767E-18
V67 ,4.98952E-19
Cr66 ,5.54986E-14
Cr67 ,1.62995E-14
Cr68 ,0
Cr69 ,3.34744E-17
Cr70 ,0
Mn66 ,1.89E-11
Mn67 ,2.06E-11
Mn68 ,3.4E-12
Mn69 ,7.37967E-13
Mn70 ,7.47E-14
Mn71 ,0
Mn72 ,1.36201E-16
Mn73 ,1.40808E-17
Fe66 ,7.47E-10
Fe67 ,0.00000000201
Fe68 ,0.00000000121
Fe69 ,7.18E-10
Fe70 ,2.8E-10
Fe71 ,5.65E-11
Fe72 ,5.36986E-12
Fe73 ,4.59986E-13
Fe74 ,2.34E-14
Fe75 ,9.75202E-16
Fe76 ,0
Co66 ,9.14E-10
Co67 ,0.00000000748
Co68 ,0.0000000106
Co69 ,0.0000000215
Co70 ,0.0000000217
Co71 ,0.0000000157
Co72 ,0.0000000041
Co73 ,0.00000000136
Co74 ,1.9E-10
Co75 ,2.1499E-11
Co76 ,1.04E-12
Co77 ,2.43966E-14
Co78 ,1.56746E-15
Ni66 ,1.95E-10
Ni67 ,0.00000000356
Ni68 ,0.0000000156
Ni69 ,0.0000000698
Ni70 ,0.000000223
Ni71 ,0.000000376
Ni72 ,0.000000341
Ni73 ,0.000000296
Ni74 ,0.00000015
Ni75 ,0.0000000469
Ni76 ,0.00000000886
Ni77 ,7.96976E-10
Ni78 ,6.17984E-11
Ni79 ,7.1666E-13
Ni80 ,6E-14
Ni81 ,2.5446E-15
Ni82 ,0
Cu66 ,1.1E-12
Cu67 ,6.96E-11
Cu68 ,2.03E-10
Cu68m ,5.49E-10
Cu69 ,0.000000011
Cu70 ,0.0000000174
Cu70m ,0.0000000618
Cu71 ,0.0000004
Cu72 ,0.00000081
Cu73 ,0.00000226
Cu74 ,0.00000271
Cu75 ,0.00000299
Cu76 ,0.00000149
Cu77 ,0.000000509
Cu78 ,0.000000106
Cu79 ,0.0000000157993
Cu80 ,0.00000000115
Cu81 ,5.60975E-11
Cu82 ,1.72E-12
Cu83 ,5.35684E-14
Zn66 ,0
Zn67 ,1.09E-13
Zn68 ,4.48E-12
Zn69 ,2.95E-11
Zn69m ,1.44E-10
Zn70 ,0.00000000441
Zn71 ,0.00000000894
Zn71m ,0.0000000437
Zn72 ,0.000000342
Zn73 ,0.00000213
Zn74 ,0.00000765
Zn75 ,0.00001904
Zn76 ,0.00003108
Zn77 ,0.00002616
Zn78 ,0.00001904
Zn79 ,0.00000756
Zn80 ,0.00000211
Zn81 ,0.000000287
Zn82 ,0.0000000336
Zn83 ,0.00000000174995
Zn84 ,6.79E-11
Zn85 ,8.84486E-13
Zn86 ,0
Ga66 ,0
Ga67 ,0
Ga68 ,0
Ga69 ,7.98E-14
Ga70 ,5.6E-12
Ga71 ,2.43E-10
Ga72 ,0.000000002065
Ga72m ,0.000000002065
Ga73 ,0.0000000896
Ga74 ,0.000000373
Ga74m ,0.000000373
Ga75 ,0.00000588
Ga76 ,0.00002129
Ga77 ,0.00005523
Ga78 ,0.00008948
Ga79 ,0.00011802
Ga80 ,0.0000827
Ga81 ,0.00004089
Ga82 ,0.00001255
Ga83 ,0.00000251
Ga84 ,0.000000283
Ga85 ,0.0000000194991
Ga86 ,5.2E-10
Ga87 ,5.54051E-12
Ga88 ,1.96566E-13
Ge66 ,0
Ge67 ,0
Ge68 ,0
Ge69 ,0
Ge70 ,0
Ge71 ,4.12E-14
Ge71m ,4.12E-14
Ge72 ,5.44E-12
Ge73 ,2.69E-10
Ge73m ,5.5E-11
Ge74 ,0.0000000097
Ge75 ,0.0000000237
Ge75m ,0.000000174
Ge76 ,0.00000244
Ge77 ,0.00001309
Ge77m ,0.00000179
Ge78 ,0.00007346
Ge79 ,0.00010703
Ge79m ,0.00010703
Ge80 ,0.0004657
Ge81 ,0.00053421
Ge82 ,0.00053949
Ge83 ,0.00027531
Ge84 ,0.00011775
Ge85 ,0.00002361
Ge86 ,0.00000267
Ge87 ,0.000000180994
Ge88 ,0.0000000077498
Ge89 ,4.11853E-11
Ge90 ,2.13175E-12
Ge91 ,2.24815E-13
As69 ,0
As71 ,0
As72 ,0
As73 ,3.17E-14
As74 ,7.01E-13
As74m ,1.9E-12
As75 ,2.04E-10
As76 ,0.00000000687
As77 ,0.000000153
As78 ,0.00000187
As79 ,0.00001833
As80 ,0.00009208
As81 ,0.00032703
As82 ,0.00035594
As82m ,0.00035594
As83 ,0.00113819
As84 ,0.000590235
As84m ,0.000590235
As85 ,0.00086487
As86 ,0.00027853
As87 ,0.00007732
As88 ,0.00001006
As89 ,0.000000907959
As90 ,0.0000000389398
As91 ,0.00000000495621
As92 ,1.31129E-11
As93 ,9.78884E-13
Se72 ,0
Se73 ,0
Se73m ,0
Se74 ,0
Se75 ,1.46E-14
Se76 ,1.94E-12
Se77 ,1.46E-11
Se77m ,1.07E-10
Se78 ,0.00000000551
Se79 ,0.000000128
Se79m ,0.0000000175
Se80 ,0.00000265
Se81 ,0.00000282
Se81m ,0.0000207
Se82 ,0.00016477
Se83 ,0.00049831
Se83m ,0.00010206
Se84 ,0.00172145
Se85 ,0.00168087
Se85m ,0.00166912
Se86 ,0.00367779
Se87 ,0.00274055
Se88 ,0.00137812
Se89 ,0.00036216
Se90 ,0.0000650011
Se91 ,0.00000685504
Se92 ,0.000000516987
Se93 ,0.0000000319777
Se94 ,4.5E-10
Se95 ,5.15961E-12
Se96 ,6.05E-14
Br75 ,0
Br77 ,0
