Product ; Thermal (0.0253 eV) ; Thermal (0.0253 eV) ; Fast (500 keV) ; Fast (500 keV)
Product ;  ;  ;  ; 
Product ; Yield ; Error ; Yield ; Error
V66 ;  ;  ; 1.40767E-18 ; 9.00907E-19
V67 ;  ;  ; 4.98952E-19 ; 3.19329E-19
Cr66 ; 0.0 ; 0.0 ; 5.54986E-14 ; 3.55191E-14
Cr67 ; 0.0 ; 0.0 ; 1.62995E-14 ; 1.04317E-14
Cr68 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Cr69 ; 5.81495E-19 ; 3.72157E-19 ; 3.34744E-17 ; 2.14236E-17
Cr70 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Mn66 ; 3.26E-12 ; 2.0864E-12 ; 1.89E-11 ; 1.2096E-11
Mn67 ; 9.05999E-13 ; 5.7984E-13 ; 2.06E-11 ; 1.3184E-11
Mn68 ; 1.62E-13 ; 1.0368E-13 ; 3.4E-12 ; 2.176E-12
Mn69 ; 1.64994E-14 ; 1.05596E-14 ; 7.37967E-13 ; 4.72299E-13
Mn70 ; 0.0 ; 0.0 ; 7.47E-14 ; 4.7808E-14
Mn71 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Mn72 ; 1.16781E-18 ; 7.47398E-19 ; 1.36201E-16 ; 8.71689E-17
Mn73 ;  ;  ; 1.40808E-17 ; 9.01174E-18
Fe66 ; 2.86E-10 ; 1.8304E-10 ; 7.47E-10 ; 4.7808E-10
Fe67 ; 2.46E-10 ; 1.5744E-10 ; 2.01E-9 ; 1.2864E-9
Fe68 ; 1.36E-10 ; 8.70399E-11 ; 1.21E-9 ; 7.744E-10
Fe69 ; 4.52E-11 ; 2.8928E-11 ; 7.18E-10 ; 4.5952E-10
Fe70 ; 1.5E-11 ; 9.59999E-12 ; 2.8E-10 ; 1.792E-10
Fe71 ; 3.11E-12 ; 1.9904E-12 ; 5.65E-11 ; 3.616E-11
Fe72 ; 4.94988E-14 ; 3.16792E-14 ; 5.36986E-12 ; 3.43671E-12
Fe73 ; 0.0 ; 0.0 ; 4.59986E-13 ; 2.94391E-13
Fe74 ; 0.0 ; 0.0 ; 2.34E-14 ; 1.4976E-14
Fe75 ; 5.46253E-18 ; 3.49602E-18 ; 9.75202E-16 ; 6.24129E-16
Fe76 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Co66 ; 9.90999E-10 ; 6.3424E-10 ; 9.14E-10 ; 5.8496E-10
Co67 ; 2.33E-9 ; 1.4912E-9 ; 7.48E-9 ; 4.7872E-9
Co68 ; 3.6E-9 ; 2.304E-9 ; 1.06E-8 ; 6.784E-9
Co69 ; 3.59E-9 ; 2.2976E-9 ; 2.15E-8 ; 1.376E-8
Co70 ; 3.71E-9 ; 2.3744E-9 ; 2.17E-8 ; 1.3888E-8
Co71 ; 2.48E-9 ; 1.5872E-9 ; 1.57E-8 ; 1.0048E-8
Co72 ; 1.29E-10 ; 8.25599E-11 ; 4.1E-9 ; 2.624E-9
Co73 ; 2.19E-11 ; 1.4016E-11 ; 1.36E-9 ; 8.704E-10
Co74 ; 1.67E-12 ; 1.0688E-12 ; 1.9E-10 ; 1.216E-10
Co75 ; 1.54994E-13 ; 9.91964E-14 ; 2.1499E-11 ; 1.37594E-11
Co76 ; 1.03E-14 ; 6.59199E-15 ; 1.04E-12 ; 6.656E-13
Co77 ; 3.79833E-16 ; 2.43093E-16 ; 2.43966E-14 ; 1.56138E-14
Co78 ; 5.94521E-17 ; 3.80493E-17 ; 1.56746E-15 ; 1.00317E-15
Ni66 ; 3.85E-10 ; 2.464E-10 ; 1.95E-10 ; 1.248E-10
Ni67 ; 2.36E-9 ; 1.5104E-9 ; 3.56E-9 ; 2.2784E-9
Ni68 ; 9.18999E-9 ; 5.8816E-9 ; 1.56E-8 ; 9.984E-9
Ni69 ; 2.43E-8 ; 1.5552E-8 ; 6.98E-8 ; 4.4672E-8
Ni70 ; 6.94999E-8 ; 4.448E-8 ; 2.23E-7 ; 1.4272E-7
Ni71 ; 1.35E-7 ; 8.63999E-8 ; 3.76E-7 ; 2.4064E-7
Ni72 ; 2.15E-8 ; 1.376E-8 ; 3.41E-7 ; 2.1824E-7
Ni73 ; 1.15E-8 ; 7.35999E-9 ; 2.96E-7 ; 1.8944E-7
Ni74 ; 2.83E-9 ; 1.8112E-9 ; 1.5E-7 ; 9.6E-8
Ni75 ; 8.63999E-10 ; 5.5296E-10 ; 4.69E-8 ; 3.0016E-8
Ni76 ; 1.92E-10 ; 1.2288E-10 ; 8.86E-9 ; 5.6704E-9
Ni77 ; 1.60996E-11 ; 1.03037E-11 ; 7.96976E-10 ; 5.10064E-10
Ni78 ; 2.51994E-12 ; 1.61276E-12 ; 6.17984E-11 ; 3.9551E-11
Ni79 ; 3.38677E-14 ; 2.16753E-14 ; 7.1666E-13 ; 4.58662E-13
Ni80 ; 0.0 ; 0.0 ; 6.0E-14 ; 3.84E-14
Ni81 ;  ;  ; 2.5446E-15 ; 1.62854E-15
Ni82 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Cu66 ; 6.15E-12 ; 3.936E-12 ; 1.1E-12 ; 7.04E-13
Cu67 ; 1.1E-10 ; 7.03999E-11 ; 6.96E-11 ; 4.4544E-11
Cu68 ; 3.5E-10 ; 2.24E-10 ; 2.03E-10 ; 1.2992E-10
Cu68m ; 8.15999E-10 ; 5.2224E-10 ; 5.49E-10 ; 3.5136E-10
Cu69 ; 8.21999E-9 ; 5.2608E-9 ; 1.1E-8 ; 7.04E-9
Cu70 ; 1.52E-8 ; 9.72799E-9 ; 1.74E-8 ; 1.1136E-8
Cu70m ; 4.57E-8 ; 2.9248E-8 ; 6.18E-8 ; 3.9552E-8
Cu71 ; 3.07E-7 ; 1.9648E-7 ; 4.0E-7 ; 2.56E-7
Cu72 ; 1.31E-7 ; 8.38399E-8 ; 8.1E-7 ; 5.184E-7
Cu73 ; 1.97E-7 ; 1.2608E-7 ; 2.26E-6 ; 1.4464E-6
Cu74 ; 1.43E-7 ; 9.15199E-8 ; 2.71E-6 ; 1.7344E-6
Cu75 ; 1.35E-7 ; 8.63999E-8 ; 2.99E-6 ; 1.9136E-6
Cu76 ; 9.51999E-8 ; 6.0928E-8 ; 1.49E-6 ; 9.536E-7
Cu77 ; 2.59E-8 ; 1.6576E-8 ; 5.09E-7 ; 3.2576E-7
Cu78 ; 1.34E-8 ; 8.57599E-9 ; 1.06E-7 ; 6.784E-8
Cu79 ; 9.60965E-10 ; 6.15018E-10 ; 1.57993E-8 ; 1.01115E-8
Cu80 ; 6.82999E-11 ; 4.3712E-11 ; 1.15E-9 ; 7.36E-10
Cu81 ; 3.5E-12 ; 2.24E-12 ; 5.60975E-11 ; 3.59024E-11
Cu82 ; 1.03E-13 ; 6.59199E-14 ; 1.72E-12 ; 1.1008E-12
Cu83 ; 3.96347E-15 ; 2.53662E-15 ; 5.35684E-14 ; 3.42838E-14
Zn66 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Zn67 ; 3.84E-13 ; 2.4576E-13 ; 1.09E-13 ; 6.976E-14
Zn68 ; 1.23E-11 ; 7.87199E-12 ; 4.48E-12 ; 2.8672E-12
Zn69 ; 5.0E-11 ; 3.2E-11 ; 2.95E-11 ; 1.888E-11
Zn69m ; 2.13E-10 ; 1.3632E-10 ; 1.44E-10 ; 9.216E-11
Zn70 ; 5.64E-9 ; 3.6096E-9 ; 4.41E-9 ; 2.8224E-9
Zn71 ; 1.49E-8 ; 9.53599E-9 ; 8.94E-9 ; 5.7216E-9
Zn71m ; 6.34E-8 ; 4.0576E-8 ; 4.37E-8 ; 2.7968E-8
Zn72 ; 8.78999E-8 ; 5.6256E-8 ; 3.42E-7 ; 2.1888E-7
Zn73 ; 3.41E-7 ; 2.1824E-7 ; 2.13E-6 ; 1.3632E-6
Zn74 ; 6.5E-7 ; 4.16E-7 ; 7.65E-6 ; 4.896E-6
Zn75 ; 1.66E-6 ; 1.0624E-6 ; 1.904E-5 ; 1.21856E-5
Zn76 ; 3.35E-6 ; 2.144E-6 ; 3.108E-5 ; 1.98912E-5
Zn77 ; 2.72E-6 ; 1.7408E-6 ; 2.616E-5 ; 1.67424E-5
Zn78 ; 4.4E-6 ; 2.816E-6 ; 1.904E-5 ; 1.21856E-5
Zn79 ; 1.01E-6 ; 6.464E-7 ; 7.56E-6 ; 4.8384E-6
Zn80 ; 2.35E-7 ; 1.504E-7 ; 2.11E-6 ; 1.3504E-6
Zn81 ; 3.99E-8 ; 2.5536E-8 ; 2.87E-7 ; 1.8368E-7
Zn82 ; 4.08E-9 ; 2.6112E-9 ; 3.36E-8 ; 2.1504E-8
Zn83 ; 1.67996E-10 ; 1.07517E-10 ; 1.74995E-9 ; 1.11997E-9
Zn84 ; 4.39E-12 ; 2.8096E-12 ; 6.79E-11 ; 4.3456E-11
Zn85 ; 7.50657E-14 ; 4.8042E-14 ; 8.84486E-13 ; 5.66071E-13
Zn86 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Ga66 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Ga67 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Ga68 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Ga69 ; 2.62E-13 ; 1.6768E-13 ; 7.98E-14 ; 5.1072E-14
Ga70 ; 1.8E-11 ; 1.152E-11 ; 5.6E-12 ; 3.584E-12
Ga71 ; 7.73999E-10 ; 4.9536E-10 ; 2.43E-10 ; 1.5552E-10
Ga72 ; 1.3E-9 ; 8.31999E-10 ; 2.065E-9 ; 1.3216E-9
Ga72m ; 1.3E-9 ; 8.31999E-10 ; 2.065E-9 ; 1.3216E-9
Ga73 ; 2.87E-8 ; 1.8368E-8 ; 8.96E-8 ; 5.7344E-8
Ga74 ; 7.39999E-8 ; 4.736E-8 ; 3.73E-7 ; 2.3872E-7
Ga74m ; 7.39999E-8 ; 4.736E-8 ; 3.73E-7 ; 2.3872E-7
Ga75 ; 9.88999E-7 ; 6.3296E-7 ; 5.88E-6 ; 3.7632E-6
Ga76 ; 5.16E-6 ; 3.3024E-6 ; 2.129E-5 ; 1.36256E-5
Ga77 ; 1.107E-5 ; 7.08479E-6 ; 5.523E-5 ; 3.53472E-5
Ga78 ; 4.929E-5 ; 3.15456E-5 ; 8.948E-5 ; 5.72672E-5
Ga79 ; 3.271E-5 ; 2.09344E-5 ; 1.1802E-4 ; 7.55328E-5
Ga80 ; 2.306E-5 ; 1.47584E-5 ; 8.27E-5 ; 5.2928E-5
Ga81 ; 1.232E-5 ; 7.88479E-6 ; 4.089E-5 ; 2.61696E-5
Ga82 ; 4.2E-6 ; 2.688E-6 ; 1.255E-5 ; 8.032E-6
Ga83 ; 5.87E-7 ; 3.7568E-7 ; 2.51E-6 ; 1.6064E-6
Ga84 ; 5.47E-8 ; 3.5008E-8 ; 2.83E-7 ; 1.8112E-7
Ga85 ; 2.12992E-9 ; 1.36315E-9 ; 1.94991E-8 ; 1.24794E-8
Ga86 ; 6.18E-11 ; 3.9552E-11 ; 5.2E-10 ; 3.328E-10
Ga87 ; 7.4551E-13 ; 4.77127E-13 ; 5.54051E-12 ; 3.54592E-12
Ga88 ; 2.57154E-14 ; 1.64578E-14 ; 1.96566E-13 ; 1.25802E-13
Ge66 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Ge67 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Ge68 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Ge69 ; 0.0 ; 0.0 ; 0.0 ; 0.0
