Product ; Thermal (0.0253 eV) ; Thermal (0.0253 eV) ; Fast (500 keV) ; Fast (500 keV) ; High (14 MeV) ; High (14 MeV)
Product ;  ;  ;  ;  ;  ; 
Product ; Yield ; Error ; Yield ; Error ; Yield ; Error
V66 ; 1.03317E-18 ; 6.61232E-19 ; 1.05374E-16 ; 6.74393E-17 ; 1.6471E-16 ; 1.05414E-16
V67 ;  ;  ; 1.28487E-17 ; 8.22317E-18 ; 3.56778E-17 ; 2.28338E-17
V68 ;  ;  ; 6.56308E-19 ; 4.20037E-19 ; 3.66465E-18 ; 2.34537E-18
Cr66 ; 3.9899E-14 ; 2.55353E-14 ; 2.88989E-12 ; 1.84953E-12 ; 8.26836E-13 ; 5.29175E-13
Cr67 ; 0.0 ; 0.0 ; 2.98987E-13 ; 1.91352E-13 ; 1.51964E-13 ; 9.72572E-14
Cr68 ; 0.0 ; 0.0 ; 1.79993E-14 ; 1.15196E-14 ; 1.83963E-14 ; 1.17737E-14
Cr69 ; 5.0096E-18 ; 3.20614E-18 ; 2.45014E-16 ; 1.56809E-16 ; 1.07964E-15 ; 6.90972E-16
Cr70 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Cr71 ;  ;  ; 1.90721E-18 ; 1.22061E-18 ; 1.79054E-17 ; 1.14594E-17
Mn66 ; 9.39E-12 ; 6.0096E-12 ; 6.06E-10 ; 3.8784E-10 ; 8.42E-11 ; 5.3888E-11
Mn67 ; 3.25E-12 ; 2.08E-12 ; 2.18E-10 ; 1.3952E-10 ; 3.86E-11 ; 2.4704E-11
Mn68 ; 7.4E-13 ; 4.736E-13 ; 3.54E-11 ; 2.2656E-11 ; 1.16E-11 ; 7.424E-12
Mn69 ; 1.09995E-13 ; 7.03968E-14 ; 3.51976E-12 ; 2.25264E-12 ; 2.83892E-12 ; 1.81691E-12
Mn70 ; 1.61E-14 ; 1.0304E-14 ; 3.75E-13 ; 2.4E-13 ; 4.93E-13 ; 3.1552E-13
Mn71 ; 0.0 ; 0.0 ; 2.73981E-14 ; 1.75348E-14 ; 4.70821E-14 ; 3.01326E-14
Mn72 ; 2.82246E-17 ; 1.80637E-17 ; 6.67246E-16 ; 4.27038E-16 ; 1.82236E-15 ; 1.16631E-15
Mn73 ; 3.59748E-18 ; 2.30239E-18 ; 6.14503E-17 ; 3.93282E-17 ; 2.69931E-16 ; 1.72756E-16
Fe66 ; 2.39E-10 ; 1.5296E-10 ; 1.33E-8 ; 8.512E-9 ; 8.5E-10 ; 5.44E-10
Fe67 ; 2.11E-10 ; 1.3504E-10 ; 1.2E-8 ; 7.68E-9 ; 9.19E-10 ; 5.8816E-10
Fe68 ; 1.66E-10 ; 1.0624E-10 ; 6.29E-9 ; 4.0256E-9 ; 6.52E-10 ; 4.1728E-10
Fe69 ; 6.76E-11 ; 4.3264E-11 ; 1.68E-9 ; 1.0752E-9 ; 3.95E-10 ; 2.528E-10
Fe70 ; 3.62E-11 ; 2.3168E-11 ; 6.28E-10 ; 4.0192E-10 ; 1.68E-10 ; 1.0752E-10
Fe71 ; 4.7E-12 ; 3.008E-12 ; 1.24E-10 ; 7.936E-11 ; 4.1E-11 ; 2.624E-11
Fe72 ; 1.08997E-12 ; 6.97582E-13 ; 1.82993E-11 ; 1.17116E-11 ; 9.14818E-12 ; 5.85484E-12
Fe73 ; 1.17996E-13 ; 7.55177E-14 ; 1.42994E-12 ; 9.15161E-13 ; 1.14973E-12 ; 7.35827E-13
Fe74 ; 0.0 ; 0.0 ; 1.22E-13 ; 7.808E-14 ; 1.63E-13 ; 1.0432E-13
Fe75 ; 2.57311E-16 ; 1.64679E-16 ; 3.39678E-15 ; 2.17394E-15 ; 7.22297E-15 ; 4.6227E-15
Fe76 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Co66 ; 2.18E-10 ; 1.3952E-10 ; 1.31E-8 ; 8.384E-9 ; 1.0E-9 ; 6.4E-10
Co67 ; 5.83E-10 ; 3.7312E-10 ; 3.41E-8 ; 2.1824E-8 ; 2.42E-9 ; 1.5488E-9
Co68 ; 1.05E-9 ; 6.72E-10 ; 4.07E-8 ; 2.6048E-8 ; 3.8E-9 ; 2.432E-9
