Product , Thermal (0.0253 eV) 
Product ,  
Product , Yield 
V66 ,1.03317E-18
V67 ,  
V68 ,  
Cr66 ,3.9899E-14
Cr67 ,0
Cr68 ,0
Cr69 ,5.0096E-18
Cr70 ,0
Cr71 ,  
Mn66 ,9.39E-12
Mn67 ,3.25E-12
Mn68 ,7.4E-13
Mn69 ,1.09995E-13
Mn70 ,1.61E-14
Mn71 ,0
Mn72 ,2.82246E-17
Mn73 ,3.59748E-18
Fe66 ,2.39E-10
Fe67 ,2.11E-10
Fe68 ,1.66E-10
Fe69 ,6.76E-11
Fe70 ,3.62E-11
Fe71 ,4.7E-12
Fe72 ,1.08997E-12
Fe73 ,1.17996E-13
Fe74 ,0
Fe75 ,2.57311E-16
Fe76 ,0
Co66 ,2.18E-10
Co67 ,5.83E-10
Co68 ,0.00000000105
Co69 ,0.00000000141
Co70 ,0.0000000019
Co71 ,8.87E-10
Co72 ,5.72E-10
Co73 ,2.26E-10
Co74 ,4.02E-11
Co75 ,5.64974E-12
Co76 ,3.4E-13
Co77 ,2.14934E-14
Co78 ,2.15698E-15
Co79 ,3.2269E-16
Ni66 ,3.06E-11
Ni67 ,1.94E-10
Ni68 ,0.00000000103
Ni69 ,0.00000000314
Ni70 ,0.0000000126
Ni71 ,0.0000000141
Ni72 ,0.0000000304
Ni73 ,0.0000000306
Ni74 ,0.0000000198
Ni75 ,0.00000000755
Ni76 ,0.00000000173
Ni77 ,7.04979E-10
Ni78 ,8.32979E-11
Ni79 ,1.05841E-11
Ni80 ,1.12E-13
Ni81 ,5.19177E-15
Ni82 ,0
Cu66 ,1.2E-13
Cu67 ,2.7E-12
Cu68 ,1.08E-11
Cu68m ,2.52E-11
Cu69 ,3.55E-10
Cu70 ,8.11E-10
Cu70m ,0.00000000243
Cu71 ,0.0000000109
Cu72 ,0.0000000534
Cu73 ,0.000000163
Cu74 ,0.000000256
Cu75 ,0.000000323
Cu76 ,0.000000196
Cu77 ,0.000000294
Cu78 ,0.000000095
Cu79 ,0.00000000983942
Cu80 ,0.00000000138
Cu81 ,1.13995E-10
Cu82 ,4.04E-12
Cu83 ,1.44509E-13
Cu84 ,6.00743E-15
Zn66 ,0
Zn67 ,0
Zn68 ,1.34E-13
Zn69 ,6.85E-13
Zn69m ,2.92E-12
Zn70 ,1.13E-10
Zn71 ,1.82E-10
Zn71m ,7.76E-10
Zn72 ,0.000000015
Zn73 ,0.000000102
Zn74 ,0.000000485
Zn75 ,0.00000136
Zn76 ,0.00000259
Zn77 ,0.00000963
Zn78 ,0.00001044
Zn79 ,0.00000292
Zn80 ,0.00000146
Zn81 ,0.000000343
Zn82 ,0.0000000453
Zn83 ,0.00000000473986
Zn84 ,2.31994E-10
Zn85 ,2.77805E-12
Zn86 ,7.03E-14
Ga66 ,0
Ga67 ,0
Ga68 ,0
Ga69 ,0
Ga70 ,9.55E-14
Ga71 ,3.01E-12
Ga72 ,6.35E-11
Ga72m ,6.35E-11
Ga73 ,0.00000000293
Ga74 ,0.00000001725
Ga74m ,0.00000001725
Ga75 ,0.000000296
Ga76 ,0.00000129
Ga77 ,0.0000144
Ga78 ,0.000035
Ga79 ,0.00003125
Ga80 ,0.00003833
Ga81 ,0.0000315
Ga82 ,0.00001099
Ga83 ,0.00000429
Ga84 ,0.00000062
Ga85 ,0.0000000609972
Ga86 ,0.00000000232
Ga87 ,1.75301E-11
Ga88 ,8.07896E-13
Ga89 ,7.53488E-14
Ge66 ,0
Ge67 ,0
Ge68 ,0
Ge69 ,0
Ge70 ,0
Ge71 ,0
Ge71m ,0
Ge72 ,1.04E-13
Ge73 ,5.29E-12
Ge73m ,1.24E-12
Ge74 ,2.82E-10
Ge75 ,8.17E-10
Ge75m ,0.00000000547
Ge76 ,0.0000000936
Ge77 ,0.00000222
Ge77m ,0.000000332
Ge78 ,0.00001875
Ge79 ,0.00001897
Ge79m ,0.00001897
Ge80 ,0.00013672
Ge81 ,0.00026167
Ge82 ,0.00028811
Ge83 ,0.00028783
Ge84 ,0.00015212
Ge85 ,0.00004258
Ge86 ,0.00000649
Ge87 ,0.000000574983
Ge88 ,0.0000000311992
Ge89 ,0.00000000247142
Ge90 ,4.30146E-12
Ge91 ,5.97106E-13
As69 ,0
As71 ,0
As72 ,0
As73 ,0
As74 ,1.55E-14
As74m ,3.61E-14
As75 ,4.23E-12
As76 ,1.77E-10
As77 ,0.0000000175
As78 ,0.00000033
As79 ,0.00000224
As80 ,0.0000189
As81 ,0.00011096
As82 ,0.00013449
As82m ,0.00013449
As83 ,0.00081509
As84 ,0.000521955
As84m ,0.000521955
As85 ,0.00099496
As86 ,0.00041964
As87 ,0.00014712
As88 ,0.00002449
As89 ,0.00000229753
As90 ,0.0000000802173
As91 ,0.0000000131106
As92 ,4.19484E-11
As93 ,2.45146E-12
As94 ,6.83604E-14
Se72 ,0
Se73 ,0
Se73m ,0
Se74 ,0
Se75 ,0
Se76 ,2.97E-14
Se77 ,1.1E-12
Se77m ,7.38E-12
Se78 ,5.85E-10
Se79 ,0.00000000963
Se79m ,0.00000000144
Se80 ,0.000000326
Se81 ,0.000000647
Se81m ,0.00000433
Se82 ,0.00003877
Se83 ,0.00022518
Se83m ,0.00005282
Se84 ,0.00111029
Se85 ,0.0012234
Se85m ,0.00120587
Se86 ,0.0033226
Se87 ,0.00307512
Se88 ,0.00189337
Se89 ,0.00052046
Se90 ,0.00013116
Se91 ,0.0000182069
Se92 ,0.00000161996
Se93 ,0.0000000804071
