Product , Th232  Fast (500 keV) 
Product ,  
Product , Yield 
Ti66 ,1.81562E-20
V66 ,9.64206E-16
V67 ,5.95247E-18
V68 ,7.11979E-19
V69 ,1.604E-19
Cr66 ,3.17896E-12
Cr67 ,5.55982E-13
Cr68 ,7.82975E-14
Cr69 ,1.49819E-14
Cr70 ,0
Cr71 ,2.78272E-18
Cr72 ,  
Mn66 ,5.14988E-10
Mn67 ,3.81991E-10
Mn68 ,1.62996E-10
Mn69 ,2.80844E-11
Mn70 ,2.28995E-12
Mn71 ,1.73993E-13
Mn72 ,1.66401E-15
Mn73 ,1.03847E-16
Mn74 ,4.37372E-18
Fe66 ,0.00000000742983
Fe67 ,0.0000000146997
Fe68 ,0.0000000240995
Fe69 ,0.0000000123997
Fe70 ,0.00000000416991
Fe71 ,9.99977E-10
Fe72 ,1.82994E-10
Fe73 ,9.69968E-12
Fe74 ,4.80985E-13
Fe75 ,5.08567E-15
Fe76 ,0
Fe77 ,6.45139E-17
Co66 ,0.00000000321993
Co67 ,0.0000000210995
Co68 ,0.0000000813982
Co69 ,0.000000148997
Co70 ,0.000000132997
Co71 ,0.000000128997
Co72 ,0.0000000686984
Co73 ,0.0000000156996
Co74 ,0.00000000238995
Co75 ,3.17988E-10
Co76 ,2.07995E-11
Co77 ,4.03381E-12
Co78 ,1.49125E-14
Co79 ,1.84945E-15
Ni66 ,1.61996E-10
Ni67 ,0.00000000281994
Ni68 ,0.0000000367992
Ni69 ,0.000000161996
Ni70 ,0.000000465989
Ni71 ,0.00000110997
Ni72 ,0.00000208995
Ni73 ,0.00000133997
Ni74 ,0.000000802982
Ni75 ,0.000000325993
Ni76 ,0.0000000926979
Ni77 ,0.0000000112957
Ni78 ,0.00000000163995
Ni79 ,1.72745E-10
Ni80 ,2.33995E-12
Ni81 ,4.78181E-14
Ni82 ,0
Cu66 ,1.48997E-13
Cu67 ,1.09998E-11
Cu68 ,1.09998E-10
Cu68m ,2.96993E-10
Cu69 ,0.00000000687984
Cu70 ,0.0000000109998
Cu70m ,0.0000000391991
Cu71 ,0.000000408991
Cu72 ,0.00000178996
Cu73 ,0.00000379991
Cu74 ,0.00000558987
Cu75 ,0.00000841981
Cu76 ,0.00000681985
Cu77 ,0.00000342992
Cu78 ,0.00000154997
Cu79 ,0.00000032382
Cu80 ,0.0000000344992
Cu81 ,0.00000000298988
Cu82 ,9.09979E-11
Cu83 ,1.06631E-12
Cu84 ,3.25528E-14
Zn66 ,0
Zn67 ,0
Zn68 ,3.29993E-13
Zn69 ,2.94993E-12
Zn69m ,1.43997E-11
Zn70 ,5.11988E-10
Zn71 ,0.00000000203995
Zn71m ,0.00000000996978
Zn72 ,0.000000191996
Zn73 ,0.00000103998
Zn74 ,0.00000501989
Zn75 ,0.0000179896
Zn76 ,0.0000491789
Zn77 ,0.0000636286
Zn78 ,0.000109188
Zn79 ,0.0000686085
Zn80 ,0.0000328193
Zn81 ,0.00000921979
Zn82 ,0.00000137997
Zn83 ,0.0000000995967
Zn84 ,0.00000000357989
Zn85 ,1.47932E-11
Zn86 ,5.23988E-13
Zn87 ,4.7786E-14
Ga66 ,0
Ga67 ,0
Ga68 ,0
Ga69 ,0
Ga70 ,8.43981E-14
Ga71 ,8.6598E-12
Ga72 ,2.29495E-10
Ga72m ,2.29495E-10
Ga73 ,0.00000000922979
Ga74 ,0.0000000609986
Ga74m ,0.0000000609986
Ga75 ,0.00000160996
Ga76 ,0.0000110398
Ga77 ,0.0000474689
Ga78 ,0.000194576
Ga79 ,0.0004324
Ga80 ,0.000580267
Ga81 ,0.000657445
Ga82 ,0.000322263
Ga83 ,0.000106668
Ga84 ,0.0000130097
Ga85 ,0.000000924964
Ga86 ,0.0000000317993
Ga87 ,0.00000000298788
Ga88 ,3.228E-12
Ga89 ,1.85516E-13
Ge66 ,0
Ge67 ,0
Ge68 ,0
Ge69 ,0
Ge70 ,0
Ge71 ,0
Ge71m ,0
Ge72 ,6.53985E-14
Ge73 ,4.11991E-12
Ge73m ,8.42981E-13
Ge74 ,2.32995E-10
Ge75 ,0.00000000112997
Ge75m ,0.00000000826981
Ge76 ,0.000000260994
Ge77 ,0.00000273994
Ge77m ,0.000000372992
Ge78 ,0.000045999
Ge79 ,0.000128977
Ge79m ,0.000128977
Ge80 ,0.00117951
Ge81 ,0.00326986
Ge82 ,0.00641465
Ge83 ,0.00619135
Ge84 ,0.00323928
Ge85 ,0.000773033
Ge86 ,0.000119507
Ge87 ,0.00000836682
Ge88 ,0.000000354989
Ge89 ,0.0000000173278
Ge90 ,8.46148E-12
Ge91 ,7.71084E-13
Ge92 ,4.80169E-14
As69 ,0
As71 ,0
As72 ,0
As73 ,0
As74 ,0
As74m ,0
As75 ,1.19997E-12
As76 ,1.05998E-10
As77 ,0.00000000543988
As78 ,0.000000241995
As79 ,0.00000556987
As80 ,0.0000747983
As81 ,0.000760163
As82 ,0.00187787
As82m ,0.00187883
As83 ,0.0126662
As84 ,0.00865663
As84m ,0.00865663
As85 ,0.0165978
As86 ,0.0074772
As87 ,0.00230478
As88 ,0.000323283
As89 ,0.0000324819
As90 ,0.000000449357
As91 ,0.000000048213
As92 ,0.00000000254999
As93 ,1.86601E-12
As94 ,6.41963E-14
Se72 ,0
Se73 ,0
Se73m ,0
Se74 ,0
Se75 ,0
Se76 ,0
Se77 ,5.70987E-14
Se77m ,4.18991E-13
Se78 ,8.53981E-11
Se79 ,0.00000000610986
Se79m ,8.32981E-10
Se80 ,0.000000406991
