Product ; Th227  Thermal (0.0253 eV) ; Th227  Thermal (0.0253 eV) ; Th229  Thermal (0.0253 eV) ; Th229  Thermal (0.0253 eV) ; Th232  Fast (500 keV) ; Th232  Fast (500 keV) ; Th232  High (14 MeV) ; Th232  High (14 MeV)
Product ;  ;  ;  ;  ;  ;  ;  ; 
Product ; Yield ; Error ; Yield ; Error ; Yield ; Error ; Yield ; Error
Ti66 ;  ;  ;  ;  ; 1.81562E-20 ; 1.162E-20 ; 1.41803E-15 ; 9.07539E-16
V66 ;  ;  ;  ;  ; 9.64206E-16 ; 6.17092E-16 ; 6.59927E-12 ; 4.22353E-12
V67 ;  ;  ;  ;  ; 5.95247E-18 ; 3.80958E-18 ; 9.44913E-14 ; 6.04744E-14
V68 ;  ;  ;  ;  ; 7.11979E-19 ; 4.55667E-19 ; 2.74701E-14 ; 1.75809E-14
V69 ;  ;  ;  ;  ; 1.604E-19 ; 1.02656E-19 ; 8.35098E-15 ; 5.34462E-15
Cr66 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 3.17896E-12 ; 2.03454E-12 ; 3.2334E-9 ; 2.06938E-9
Cr67 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 5.55982E-13 ; 3.55828E-13 ; 6.56906E-10 ; 4.2042E-10
Cr68 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 7.82975E-14 ; 5.01104E-14 ; 1.90973E-10 ; 1.22222E-10
Cr69 ;  ;  ; 7.25255E-19 ; 4.64163E-19 ; 1.49819E-14 ; 9.58843E-15 ; 5.80561E-11 ; 3.71559E-11
Cr70 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 1.57E-12 ; 1.0048E-12
Cr71 ;  ;  ;  ;  ; 2.78272E-18 ; 1.78094E-18 ; 1.10638E-13 ; 7.08082E-14
Cr72 ;  ;  ;  ;  ;  ;  ; 2.07453E-14 ; 1.3277E-14
Mn66 ; 6.97001E-13 ; 4.4608E-13 ; 1.20001E-12 ; 7.68004E-13 ; 5.14988E-10 ; 3.29593E-10 ; 1.61E-7 ; 1.0304E-7
Mn67 ; 1.35E-13 ; 8.64001E-14 ; 5.00003E-13 ; 3.20002E-13 ; 3.81991E-10 ; 2.44474E-10 ; 8.52E-8 ; 5.4528E-8
Mn68 ; 1.01E-14 ; 6.46401E-15 ; 8.37004E-14 ; 5.35683E-14 ; 1.62996E-10 ; 1.04318E-10 ; 6.42E-8 ; 4.1088E-8
Mn69 ; 0.0 ; 0.0 ; 2.14994E-14 ; 1.37596E-14 ; 2.80844E-11 ; 1.7974E-11 ; 1.90419E-8 ; 1.21868E-8
Mn70 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 2.28995E-12 ; 1.46557E-12 ; 3.82E-9 ; 2.4448E-9
Mn71 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 1.73993E-13 ; 1.11356E-13 ; 5.14889E-10 ; 3.29529E-10
Mn72 ;  ;  ; 1.56155E-17 ; 9.99395E-18 ; 1.66401E-15 ; 1.06497E-15 ; 9.65449E-11 ; 6.17887E-11
Mn73 ;  ;  ; 1.07998E-18 ; 6.91185E-19 ; 1.03847E-16 ; 6.64622E-17 ; 1.18078E-12 ; 7.557E-13
Mn74 ;  ;  ;  ;  ; 4.37372E-18 ; 2.79918E-18 ; 1.13907E-13 ; 7.29007E-14
Fe66 ; 2.57E-10 ; 1.6448E-10 ; 1.79001E-10 ; 1.14561E-10 ; 7.42983E-9 ; 4.75509E-9 ; 7.39E-7 ; 4.7296E-7
Fe67 ; 1.13E-10 ; 7.23201E-11 ; 1.46001E-10 ; 9.34405E-11 ; 1.46997E-8 ; 9.40779E-9 ; 9.42E-7 ; 6.0288E-7
Fe68 ; 6.08001E-11 ; 3.8912E-11 ; 1.30001E-10 ; 8.32004E-11 ; 2.40995E-8 ; 1.54237E-8 ; 1.73E-6 ; 1.1072E-6
Fe69 ; 1.23E-11 ; 7.87201E-12 ; 7.06004E-11 ; 4.51842E-11 ; 1.23997E-8 ; 7.93582E-9 ; 1.31E-6 ; 8.384E-7
Fe70 ; 1.74E-12 ; 1.1136E-12 ; 2.41001E-11 ; 1.54241E-11 ; 4.16991E-9 ; 2.66874E-9 ; 6.74E-7 ; 4.3136E-7
Fe71 ; 9.67001E-14 ; 6.18881E-14 ; 6.60003E-12 ; 4.22402E-12 ; 9.99977E-10 ; 6.39986E-10 ; 2.44E-7 ; 1.5616E-7
Fe72 ; 0.0 ; 0.0 ; 1.34999E-12 ; 8.63995E-13 ; 1.82994E-10 ; 1.17116E-10 ; 4.73034E-8 ; 3.02742E-8
Fe73 ; 0.0 ; 0.0 ; 6.90993E-14 ; 4.42235E-14 ; 9.69968E-12 ; 6.20779E-12 ; 8.20882E-9 ; 5.25364E-9
Fe74 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 4.80985E-13 ; 3.0783E-13 ; 7.91886E-10 ; 5.06807E-10
Fe75 ;  ;  ; 7.18509E-17 ; 4.59846E-17 ; 5.08567E-15 ; 3.25483E-15 ; 2.0237E-11 ; 1.29517E-11
Fe76 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 1.3E-12 ; 8.32E-13
Fe77 ;  ;  ;  ;  ; 6.45139E-17 ; 4.12889E-17 ; 2.72664E-13 ; 1.74505E-13
Co66 ; 3.23E-10 ; 2.0672E-10 ; 7.39004E-11 ; 4.72962E-11 ; 3.21993E-9 ; 2.06075E-9 ; 3.65E-7 ; 2.336E-7
Co67 ; 8.12001E-10 ; 5.1968E-10 ; 2.68001E-10 ; 1.71521E-10 ; 2.10995E-8 ; 1.35037E-8 ; 1.08E-6 ; 6.912E-7
Co68 ; 8.95001E-10 ; 5.728E-10 ; 4.31002E-10 ; 2.75841E-10 ; 8.13982E-8 ; 5.20948E-8 ; 4.5E-6 ; 2.88E-6
Co69 ; 1.24E-9 ; 7.93601E-10 ; 1.16001E-9 ; 7.42404E-10 ; 1.48997E-7 ; 9.53578E-8 ; 8.11E-6 ; 5.1904E-6
Co70 ; 4.09E-10 ; 2.6176E-10 ; 8.12004E-10 ; 5.19683E-10 ; 1.32997E-7 ; 8.51181E-8 ; 9.92E-6 ; 6.3488E-6
Co71 ; 1.71E-10 ; 1.0944E-10 ; 1.24001E-9 ; 7.93604E-10 ; 1.28997E-7 ; 8.25581E-8 ; 9.0E-6 ; 5.76E-6
Co72 ; 2.9E-11 ; 1.856E-11 ; 5.62003E-10 ; 3.59682E-10 ; 6.86984E-8 ; 4.3967E-8 ; 4.53E-6 ; 2.8992E-6
Co73 ; 2.19E-12 ; 1.4016E-12 ; 1.74001E-10 ; 1.11361E-10 ; 1.56996E-8 ; 1.00478E-8 ; 2.13E-6 ; 1.3632E-6
Co74 ; 7.12001E-14 ; 4.5568E-14 ; 1.68001E-11 ; 1.07521E-11 ; 2.38995E-9 ; 1.52957E-9 ; 5.85E-7 ; 3.744E-7
Co75 ; 0.0 ; 0.0 ; 2.12994E-12 ; 1.36316E-12 ; 3.17988E-10 ; 2.03512E-10 ; 9.41798E-8 ; 6.0275E-8
Co76 ; 0.0 ; 0.0 ; 1.02001E-13 ; 6.52803E-14 ; 2.07995E-11 ; 1.33117E-11 ; 8.8E-9 ; 5.632E-9
Co77 ; 5.35121E-18 ; 3.42477E-18 ; 1.15812E-14 ; 7.41199E-15 ; 4.03381E-12 ; 2.58164E-12 ; 1.26893E-9 ; 8.12118E-10
Co78 ;  ;  ; 1.07342E-15 ; 6.86991E-16 ; 1.49125E-14 ; 9.54397E-15 ; 1.11031E-11 ; 7.10598E-12
Co79 ;  ;  ;  ;  ; 1.84945E-15 ; 1.18365E-15 ; 2.26919E-12 ; 1.45228E-12
Ni66 ; 2.71E-10 ; 1.7344E-10 ; 4.80003E-11 ; 3.07202E-11 ; 1.61996E-10 ; 1.03678E-10 ; 1.79E-8 ; 1.1456E-8
Ni67 ; 1.21E-9 ; 7.74401E-10 ; 3.02002E-10 ; 1.93281E-10 ; 2.81994E-9 ; 1.80476E-9 ; 1.31E-7 ; 8.384E-8
Ni68 ; 7.02001E-9 ; 4.4928E-9 ; 2.11001E-9 ; 1.35041E-9 ; 3.67992E-8 ; 2.35515E-8 ; 1.27E-6 ; 8.128E-7
Ni69 ; 1.83E-8 ; 1.1712E-8 ; 9.54005E-9 ; 6.10563E-9 ; 1.61996E-7 ; 1.03678E-7 ; 5.35E-6 ; 3.424E-6
Ni70 ; 3.57E-8 ; 2.2848E-8 ; 3.12002E-8 ; 1.99681E-8 ; 4.65989E-7 ; 2.98233E-7 ; 1.483E-5 ; 9.4912E-6
Ni71 ; 3.28E-8 ; 2.0992E-8 ; 9.03005E-8 ; 5.77923E-8 ; 1.10997E-6 ; 7.10384E-7 ; 3.145E-5 ; 2.0128E-5
Ni72 ; 3.94E-8 ; 2.5216E-8 ; 2.13001E-7 ; 1.36321E-7 ; 2.08995E-6 ; 1.33757E-6 ; 3.781E-5 ; 2.41984E-5
Ni73 ; 7.05001E-9 ; 4.512E-9 ; 1.43001E-7 ; 9.15205E-8 ; 1.33997E-6 ; 8.57581E-7 ; 4.5E-5 ; 2.88E-5
Ni74 ; 1.74E-9 ; 1.1136E-9 ; 8.07004E-8 ; 5.16483E-8 ; 8.02982E-7 ; 5.13908E-7 ; 3.299E-5 ; 2.11136E-5
Ni75 ; 2.39E-10 ; 1.5296E-10 ; 2.35001E-8 ; 1.50401E-8 ; 3.25993E-7 ; 2.08635E-7 ; 1.499E-5 ; 9.5936E-6
Ni76 ; 2.67E-11 ; 1.7088E-11 ; 6.67003E-9 ; 4.26882E-9 ; 9.26979E-8 ; 5.93267E-8 ; 4.16E-6 ; 2.6624E-6
Ni77 ; 1.3E-12 ; 8.31997E-13 ; 7.40992E-10 ; 4.74235E-10 ; 1.12957E-8 ; 7.22926E-9 ; 6.21731E-7 ; 3.97908E-7
Ni78 ; 3.69E-14 ; 2.3616E-14 ; 9.27994E-11 ; 5.93916E-11 ; 1.63995E-9 ; 1.04957E-9 ; 7.71889E-8 ; 4.94009E-8
Ni79 ; 3.51154E-15 ; 2.24738E-15 ; 6.71283E-13 ; 4.29621E-13 ; 1.72745E-10 ; 1.10557E-10 ; 1.57755E-8 ; 1.00963E-8
Ni80 ; 0.0 ; 0.0 ; 3.89002E-14 ; 2.48961E-14 ; 2.33995E-12 ; 1.49757E-12 ; 2.92E-10 ; 1.8688E-10
Ni81 ;  ;  ;  ;  ; 4.78181E-14 ; 3.06036E-14 ; 1.54463E-11 ; 9.88564E-12
Ni82 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 1.95E-13 ; 1.248E-13
Cu66 ; 7.76001E-13 ; 4.9664E-13 ; 7.27004E-14 ; 4.65282E-14 ; 1.48997E-13 ; 9.53578E-14 ; 7.72E-11 ; 4.9408E-11
Cu67 ; 2.23E-11 ; 1.4272E-11 ; 2.37001E-12 ; 1.51681E-12 ; 1.09998E-11 ; 7.03984E-12 ; 1.38E-9 ; 8.832E-10
