Product ;  ; 
Product ;  ; 
Product ; Yield ; Error
V66 ; 1.96075E-14 ; 1.25488E-14
V67 ; 1.06487E-15 ; 6.81517E-16
Cr66 ; 3.72032E-10 ; 2.38101E-10
Cr67 ; 1.4801E-11 ; 9.47264E-12
Cr68 ; 5.0507E-13 ; 3.23245E-13
Cr69 ; 2.22213E-14 ; 1.42216E-14
Cr70 ; 0.0 ; 0.0
Mn66 ; 1.69024E-7 ; 1.08175E-7
Mn67 ; 2.46034E-8 ; 1.57462E-8
Mn68 ; 2.07029E-9 ; 1.32498E-9
Mn69 ; 1.38997E-10 ; 8.89582E-11
Mn70 ; 4.74066E-12 ; 3.03402E-12
Mn71 ; 1.4002E-13 ; 8.96125E-14
Mn72 ; 4.84916E-15 ; 3.10346E-15
Fe66 ; 1.36119E-5 ; 8.71162E-6
Fe67 ; 4.54063E-6 ; 2.90601E-6
Fe68 ; 1.36019E-6 ; 8.70522E-7
Fe69 ; 2.26032E-7 ; 1.4466E-7
Fe70 ; 2.92041E-8 ; 1.86906E-8
Fe71 ; 2.1203E-9 ; 1.35699E-9
Fe72 ; 9.2008E-11 ; 5.88851E-11
Fe73 ; 2.48035E-12 ; 1.58742E-12
Fe74 ; 4.71066E-14 ; 3.01482E-14
Fe76 ; 0.0 ; 0.0
Co66 ; 3.38447E-5 ; 2.16606E-5
Co67 ; 3.5755E-5 ; 2.28832E-5
Co68 ; 2.32432E-5 ; 1.48757E-5
Co69 ; 1.34919E-5 ; 8.63481E-6
Co70 ; 4.18058E-6 ; 2.67557E-6
Co71 ; 1.09015E-6 ; 6.97697E-7
Co72 ; 1.21017E-7 ; 7.74508E-8
Co73 ; 1.25017E-8 ; 8.00112E-9
Co74 ; 6.04084E-10 ; 3.86614E-10
Co75 ; 2.75038E-11 ; 1.76025E-11
Co76 ; 4.97069E-13 ; 3.18124E-13
Ni66 ; 2.18731E-5 ; 1.39988E-5
Ni67 ; 4.63965E-5 ; 2.96937E-5
Ni68 ; 9.16628E-5 ; 5.86642E-5
Ni69 ; 1.11746E-4 ; 7.15172E-5
Ni70 ; 1.14156E-4 ; 7.30598E-5
Ni71 ; 6.60392E-5 ; 4.22651E-5
Ni72 ; 2.68137E-5 ; 1.71608E-5
Ni73 ; 6.69093E-6 ; 4.2822E-6
Ni74 ; 1.21017E-6 ; 7.74508E-7
Ni75 ; 1.38019E-7 ; 8.83323E-8
Ni76 ; 9.85137E-9 ; 6.30488E-9
Ni77 ; 3.74052E-10 ; 2.39393E-10
Ni78 ; 9.98139E-12 ; 6.38809E-12
Ni79 ; 3.86874E-13 ; 2.47599E-13
Ni80 ; 0.0 ; 0.0
Ni82 ; 0.0 ; 0.0
Cu66 ; 4.59064E-7 ; 2.93801E-7
Cu67 ; 3.20045E-6 ; 2.04829E-6
Cu68 ; 3.97055E-6 ; 2.54115E-6
Cu68m ; 9.27129E-6 ; 5.93363E-6
Cu69 ; 5.07771E-5 ; 3.24973E-5
Cu70 ; 2.65537E-5 ; 1.69944E-5
Cu70m ; 7.96711E-5 ; 5.09895E-5
Cu71 ; 1.88306E-4 ; 1.20516E-4
Cu72 ; 1.67293E-4 ; 1.07068E-4
Cu73 ; 1.4055E-4 ; 8.99518E-5
Cu74 ; 5.87582E-5 ; 3.76052E-5
Cu75 ; 2.42334E-5 ; 1.55094E-5
Cu76 ; 4.36061E-6 ; 2.79079E-6
Cu77 ; 6.4209E-7 ; 4.10937E-7
Cu78 ; 4.45062E-8 ; 2.8484E-8
