Product ,  , 
Product ,  , 
Product , Yield , Error
V66 ,4.00477E-19,2.56305E-19
V67 ,0.00000E+00,0.00000E+00
Cr66 ,2.04996E-14,1.31197E-14
Cr67 ,0.00000E+00,0.00000E+00
Cr68 ,0.00000E+00,0.00000E+00
Cr69 ,6.51068E-18,4.16684E-18
Cr70 ,0.00000E+00,0.00000E+00
Mn66 ,1.11000E-11,7.10400E-12
Mn67 ,5.01000E-12,3.20640E-12
Mn68 ,7.96000E-13,5.09440E-13
Mn69 ,1.07993E-13,6.91158E-14
Mn70 ,1.04000E-14,6.65600E-15
Mn71 ,0.00000E+00,0.00000E+00
Mn72 ,4.94247E-17,3.16318E-17
Fe66 ,1.08000E-09,6.91200E-10
Fe67 ,1.15000E-09,7.36000E-10
Fe68 ,7.43000E-10,4.75520E-10
Fe69 ,2.53000E-10,1.61920E-10
Fe70 ,1.02000E-10,6.52800E-11
Fe71 ,2.19000E-11,1.40160E-11
Fe72 ,2.52995E-12,1.61917E-12
Fe73 ,1.08000E-13,6.91200E-14
Fe74 ,0.00000E+00,0.00000E+00
Fe75 ,3.35783E-16,2.14901E-16
Fe76 ,0.00000E+00,0.00000E+00
Co66 ,1.91000E-09,1.22240E-09
Co67 ,7.13000E-09,4.56320E-09
Co68 ,1.01000E-08,6.46400E-09
Co69 ,1.32000E-08,8.44800E-09
Co70 ,1.28000E-08,8.19200E-09
Co71 ,1.16000E-08,7.42400E-09
Co72 ,3.38000E-09,2.16320E-09
Co73 ,6.14000E-10,3.92960E-10
Co74 ,5.51000E-11,3.52640E-11
Co75 ,5.56966E-12,3.56458E-12
Co76 ,1.71000E-13,1.09440E-13
Co77 ,6.90856E-15,4.42148E-15
Co78 ,0.00000E+00,0.00000E+00
Ni66 ,9.80000E-10,6.27200E-10
Ni67 ,7.41000E-09,4.74240E-09
Ni68 ,3.52000E-08,2.25280E-08
Ni69 ,9.39000E-08,6.00960E-08
Ni70 ,3.23000E-07,2.06720E-07
Ni71 ,6.75000E-07,4.32000E-07
Ni72 ,7.66000E-07,4.90240E-07
Ni73 ,3.37000E-07,2.15680E-07
Ni74 ,1.25000E-07,8.00000E-08
Ni75 ,3.31000E-08,2.11840E-08
Ni76 ,4.35000E-09,2.78400E-09
Ni77 ,2.59993E-10,1.66396E-10
Ni78 ,9.88000E-12,6.32320E-12
Ni79 ,1.76030E-13,1.12659E-13
Ni80 ,0.00000E+00,0.00000E+00
Ni82 ,0.00000E+00,0.00000E+00
Cu66 ,9.07000E-12,5.80480E-12
Cu67 ,2.60000E-10,1.66400E-10
Cu68 ,7.23000E-10,4.62720E-10
Cu68m ,1.95000E-09,1.24800E-09
Cu69 ,2.47000E-08,1.58080E-08
Cu70 ,3.76000E-08,2.40640E-08
Cu70m ,1.33000E-07,8.51200E-08
Cu71 ,1.23000E-06,7.87200E-07
Cu72 ,2.89000E-06,1.84960E-06
Cu73 ,4.62000E-06,2.95680E-06
Cu74 ,3.91000E-06,2.50240E-06
Cu75 ,4.21000E-06,2.69440E-06
Cu76 ,1.35000E-06,8.64000E-07
Cu77 ,3.49000E-07,2.23360E-07
Cu78 ,3.48000E-08,2.22720E-08
Cu79 ,2.91982E-09,1.86869E-09
Cu80 ,1.45000E-10,9.28000E-11
Cu81 ,4.56000E-12,2.91840E-12
Cu82 ,4.71000E-14,3.01440E-14
Cu83 ,  ,  
Zn66 ,1.50000E-14,9.60000E-15
Zn67 ,1.07000E-12,6.84800E-13
Zn68 ,4.42000E-11,2.82880E-11
Zn69 ,1.62000E-10,1.03680E-10
Zn69m ,7.91000E-10,5.06240E-10
Zn70 ,2.46000E-08,1.57440E-08
Zn71 ,6.57000E-08,4.20480E-08
Zn71m ,3.21000E-07,2.05440E-07
Zn72 ,3.10000E-06,1.98400E-06
Zn73 ,9.91000E-06,6.34240E-06
Zn74 ,2.84400E-05,1.82016E-05
Zn75 ,6.62300E-05,4.23872E-05
Zn76 ,7.87300E-05,5.03872E-05
Zn77 ,4.84000E-05,3.09760E-05
Zn78 ,1.99800E-05,1.27872E-05
Zn79 ,4.27000E-06,2.73280E-06
Zn80 ,9.52000E-07,6.09280E-07
Zn81 ,8.44000E-08,5.40160E-08
Zn82 ,4.27000E-09,2.73280E-09
Zn83 ,1.13000E-10,7.23200E-11
Zn84 ,1.85000E-12,1.18400E-12
Zn85 ,5.93799E-14,3.80031E-14
Zn86 ,0.00000E+00,0.00000E+00
Ga66 ,0.00000E+00,0.00000E+00
Ga67 ,0.00000E+00,0.00000E+00
Ga68 ,0.00000E+00,0.00000E+00
Ga69 ,8.67000E-13,5.54880E-13
Ga70 ,5.52000E-11,3.53280E-11
Ga71 ,3.56000E-09,2.27840E-09
Ga72 ,3.27500E-08,2.09600E-08
Ga72m ,3.27500E-08,2.09600E-08
Ga73 ,7.67000E-07,4.90880E-07
Ga74 ,2.30000E-06,1.47200E-06
Ga74m ,2.30000E-06,1.47200E-06
Ga75 ,3.70600E-05,2.37184E-05
Ga76 ,8.84000E-05,5.65760E-05
Ga77 ,1.91360E-04,1.22470E-04
Ga78 ,1.74330E-04,1.11571E-04
Ga79 ,1.44650E-04,9.25760E-05
Ga80 ,8.05900E-05,5.15776E-05
Ga81 ,3.19100E-05,2.04224E-05
Ga82 ,4.58000E-06,2.93120E-06
Ga83 ,5.64000E-07,3.60960E-07
Ga84 ,2.62000E-08,1.67680E-08
Ga85 ,9.84941E-10,6.30362E-10
Ga86 ,1.53000E-11,9.79200E-12
Ga87 ,4.35771E-13,2.78893E-13
Ga88 ,  ,  
Ge66 ,0.00000E+00,0.00000E+00
Ge67 ,0.00000E+00,0.00000E+00
Ge68 ,0.00000E+00,0.00000E+00
Ge69 ,0.00000E+00,0.00000E+00
Ge70 ,2.03000E-14,1.29920E-14
Ge71 ,1.72000E-12,1.10080E-12
Ge71m ,1.72000E-12,1.10080E-12
Ge72 ,2.64000E-10,1.68960E-10
Ge73 ,6.23000E-09,3.98720E-09
Ge73m ,1.28000E-09,8.19200E-10
Ge74 ,1.77000E-07,1.13280E-07
Ge75 ,3.98000E-07,2.54720E-07
Ge75m ,2.92000E-06,1.86880E-06
Ge76 ,2.83900E-05,1.81696E-05
Ge77 ,1.14090E-04,7.30176E-05
Ge77m ,1.55600E-05,9.95840E-06
Ge78 ,4.05930E-04,2.59795E-04
Ge79 ,3.48990E-04,2.23354E-04
Ge79m ,3.48990E-04,2.23354E-04
Ge80 ,1.43116E-03,9.15942E-04
Ge81 ,1.35591E-03,8.67782E-04
Ge82 ,8.44250E-04,5.40320E-04
Ge83 ,2.74310E-04,1.75558E-04
Ge84 ,5.78300E-05,3.70112E-05
Ge85 ,6.04000E-06,3.86560E-06
Ge86 ,4.42000E-07,2.82880E-07
Ge87 ,1.63996E-08,1.04957E-08
Ge88 ,4.29000E-10,2.74560E-10
Ge89 ,5.81742E-12,3.72315E-12
Ge90 ,6.80421E-13,4.35470E-13
As69 ,0.00000E+00,0.00000E+00
As71 ,0.00000E+00,0.00000E+00
As72 ,1.31000E-14,8.38400E-15
As73 ,1.59000E-12,1.01760E-12
