Product ,  , 
Product ,  , 
Product , Yield , Error
V66 ,2.39192E-13,1.53083E-13
V67 ,6.23590E-14,3.99098E-14
Cr66 ,9.37760E-10,6.00167E-10
Cr67 ,1.80938E-10,1.15800E-10
Cr68 ,1.31000E-11,8.38400E-12
Cr69 ,1.18930E-12,7.61152E-13
Cr70 ,4.19000E-14,2.68160E-14
Mn66 ,1.26000E-07,8.06400E-08
Mn67 ,5.78000E-08,3.69920E-08
Mn68 ,1.01000E-08,6.46400E-09
Mn69 ,1.59881E-09,1.02324E-09
Mn70 ,1.94000E-10,1.24160E-10
Mn71 ,1.64000E-11,1.04960E-11
Mn72 ,7.31857E-13,4.68389E-13
Fe66 ,1.90000E-06,1.21600E-06
Fe67 ,1.97000E-06,1.26080E-06
Fe68 ,7.91000E-07,5.06240E-07
Fe69 ,3.02000E-07,1.93280E-07
Fe70 ,8.73999E-08,5.59360E-08
Fe71 ,1.78000E-08,1.13920E-08
Fe72 ,2.86927E-09,1.83633E-09
Fe73 ,2.53000E-10,1.61920E-10
Fe74 ,1.77000E-11,1.13280E-11
Fe75 ,2.54213E-12,1.62696E-12
Fe76 ,3.31000E-14,2.11840E-14
Co66 ,3.67000E-06,2.34880E-06
Co67 ,8.17000E-06,5.22880E-06
Co68 ,7.19000E-06,4.60160E-06
Co69 ,6.26000E-06,4.00640E-06
Co70 ,4.13000E-06,2.64320E-06
Co71 ,1.96000E-06,1.25440E-06
Co72 ,7.47000E-07,4.78080E-07
Co73 ,1.61000E-07,1.03040E-07
Co74 ,2.72000E-08,1.74080E-08
Co75 ,3.41746E-09,2.18717E-09
Co76 ,3.04000E-10,1.94560E-10
Co77 ,1.31609E-11,8.42295E-12
Co78 ,9.71560E-13,6.21798E-13
Ni66 ,9.65999E-07,6.18240E-07
Ni67 ,4.61000E-06,2.95040E-06
Ni68 ,8.62000E-06,5.51680E-06
Ni69 ,1.63500E-05,1.04640E-05
Ni70 ,2.33100E-05,1.49184E-05
Ni71 ,2.43200E-05,1.55648E-05
Ni72 ,2.09200E-05,1.33888E-05
Ni73 ,1.06100E-05,6.79040E-06
Ni74 ,4.20000E-06,2.68800E-06
Ni75 ,1.25000E-06,8.00000E-07
Ni76 ,2.68000E-07,1.71520E-07
Ni77 ,3.81868E-08,2.44396E-08
Ni78 ,3.80903E-09,2.43778E-09
Ni79 ,2.25967E-10,1.44619E-10
Ni80 ,7.75000E-12,4.96000E-12
Ni82 ,0.00000E+00,0.00000E+00
Cu66 ,3.12000E-08,1.99680E-08
Cu67 ,3.36000E-07,2.15040E-07
Cu68 ,2.50000E-07,1.60000E-07
Cu68m ,1.14000E-06,7.29600E-07
Cu69 ,5.82000E-06,3.72480E-06
Cu70 ,2.66000E-06,1.70240E-06
Cu70m ,1.50600E-05,9.63839E-06
Cu71 ,3.93200E-05,2.51648E-05
Cu72 ,7.24300E-05,4.63552E-05
Cu73 ,8.15900E-05,5.22176E-05
Cu74 ,7.18200E-05,4.59648E-05
Cu75 ,4.85900E-05,3.10976E-05
Cu76 ,2.40900E-05,1.54176E-05
Cu77 ,8.27000E-06,5.29280E-06
Cu78 ,2.02000E-06,1.29280E-06
Cu79 ,3.03774E-07,1.94415E-07
Cu80 ,2.84000E-08,1.81760E-08
Cu81 ,1.79000E-09,1.14560E-09
Cu82 ,6.41000E-11,4.10240E-11
Cu83 ,  , 
Zn66 ,1.08000E-10,6.91200E-11
Zn67 ,2.75000E-09,1.76000E-09
Zn68 ,2.65000E-08,1.69600E-08
Zn69 ,2.86000E-08,1.83040E-08
Zn69m ,2.31000E-07,1.47840E-07
Zn70 ,1.77000E-06,1.13280E-06
Zn71 ,9.46999E-07,6.06080E-07
Zn71m ,7.66000E-06,4.90240E-06
Zn72 ,3.41400E-05,2.18496E-05
Zn73 ,8.35200E-05,5.34528E-05
Zn74 ,1.56570E-04,1.00205E-04
Zn75 ,2.28070E-04,1.45965E-04
Zn76 ,2.47890E-04,1.58650E-04
Zn77 ,1.94890E-04,1.24730E-04
Zn78 ,1.11430E-04,7.13152E-05
Zn79 ,4.18800E-05,2.68032E-05
Zn80 ,1.01600E-05,6.50240E-06
Zn81 ,1.73000E-06,1.10720E-06
Zn82 ,1.73000E-07,1.10720E-07
Zn83 ,1.11000E-08,7.10400E-09
Zn84 ,4.05000E-10,2.59200E-10
Zn85 ,3.01785E-11,1.93142E-11
Zn86 ,9.20999E-14,5.89440E-14
Ga66 ,3.67000E-14,2.34880E-14
Ga67 ,2.28000E-12,1.45920E-12
Ga68 ,5.29000E-11,3.38560E-11
Ga69 ,1.27000E-09,8.12800E-10
Ga70 ,2.03000E-08,1.29920E-08
Ga71 ,2.29000E-07,1.46560E-07
Ga72 ,1.03000E-06,6.59200E-07
Ga72m ,1.03000E-06,6.59200E-07
Ga73 ,1.14100E-05,7.30240E-06
Ga74 ,2.32450E-05,1.48768E-05
Ga74m ,2.32450E-05,1.48768E-05
Ga75 ,1.44960E-04,9.27743E-05
Ga76 ,3.35050E-04,2.14432E-04
Ga77 ,5.74080E-04,3.67411E-04
Ga78 ,7.26120E-04,4.64717E-04
Ga79 ,6.43390E-04,4.11769E-04
Ga80 ,3.85890E-04,2.46969E-04
Ga81 ,1.70170E-04,1.08909E-04
Ga82 ,4.59900E-05,2.94336E-05
Ga83 ,8.13000E-06,5.20320E-06
Ga84 ,8.45000E-07,5.40800E-07
Ga85 ,4.05698E-08,2.59647E-08
Ga86 ,1.53000E-09,9.79199E-10
Ga87 ,5.51240E-11,3.52794E-11
Ga88 ,  , 
Ge66 ,0.00000E+00,0.00000E+00
Ge67 ,0.00000E+00,0.00000E+00
Ge68 ,1.02000E-14,6.52800E-15
Ge69 ,6.12000E-13,3.91680E-13
Ge70 ,2.38000E-11,1.52320E-11
Ge71 ,3.22000E-10,2.06080E-10
Ge71m ,3.22000E-10,2.06080E-10
Ge72 ,1.37000E-08,8.76799E-09
Ge73 ,1.62000E-07,1.03680E-07
Ge73m ,2.01000E-08,1.28640E-08
Ge74 ,1.71000E-06,1.09440E-06
Ge75 ,9.59999E-07,6.14400E-07
Ge75m ,1.10400E-05,7.06560E-06
Ge76 ,6.10600E-05,3.90784E-05
Ge77 ,2.14390E-04,1.37210E-04
Ge77m ,1.61400E-05,1.03296E-05
Ge78 ,6.34200E-04,4.05888E-04
Ge79 ,6.34360E-04,4.05990E-04
Ge79m ,6.34360E-04,4.05990E-04
Ge80 ,1.76903E-03,1.13218E-03
Ge81 ,1.90150E-03,1.21696E-03
Ge82 ,1.31477E-03,8.41452E-04
Ge83 ,6.11540E-04,3.91385E-04
Ge84 ,1.74950E-04,1.11968E-04
Ge85 ,2.35900E-05,1.50976E-05
Ge86 ,2.41000E-06,1.54240E-06
Ge87 ,1.59945E-07,1.02365E-07
Ge88 ,8.88999E-09,5.68960E-09
Ge89 ,6.39992E-10,4.09595E-10
Ge90 ,  , 
As69 ,0.00000E+00,0.00000E+00
As71 ,1.77000E-13,1.13280E-13
As72 ,9.21999E-12,5.90080E-12
As73 ,3.03000E-10,1.93920E-10
As74 ,1.22000E-09,7.80800E-10
As74m ,5.56000E-09,3.55840E-09
As75 ,1.12000E-07,7.16800E-08
As76 ,1.33000E-06,8.51200E-07
As77 ,1.17100E-05,7.49440E-06
As78 ,7.33700E-05,4.69568E-05
