Product ,  , 
Product ,  , 
Product , Yield , Error
V66 ,5.17176E-19,3.30993E-19
V67 ,0.00000E+00,0.00000E+00
Cr66 ,2.44989E-14,1.56793E-14
Cr67 ,0.00000E+00,0.00000E+00
Cr68 ,0.00000E+00,0.00000E+00
Cr69 ,1.01806E-17,6.51557E-18
Cr70 ,0.00000E+00,0.00000E+00
Mn66 ,9.66976E-12,6.18864E-12
Mn67 ,5.57986E-12,3.57111E-12
Mn68 ,9.38976E-13,6.00945E-13
Mn69 ,1.58986E-13,1.01751E-13
Mn70 ,1.56996E-14,1.00477E-14
Mn71 ,0.00000E+00,0.00000E+00
Mn72 ,8.21149E-17,5.25535E-17
Fe66 ,8.15980E-10,5.22227E-10
Fe67 ,1.03997E-09,6.65583E-10
Fe68 ,7.40981E-10,4.74228E-10
Fe69 ,2.82993E-10,1.81115E-10
Fe70 ,1.23997E-10,7.93580E-11
Fe71 ,3.25992E-11,2.08635E-11
Fe72 ,3.88982E-12,2.48948E-12
Fe73 ,2.21994E-13,1.42076E-13
Fe74 ,0.00000E+00,0.00000E+00
Fe75 ,6.97914E-16,4.46665E-16
Fe76 ,0.00000E+00,0.00000E+00
Co66 ,1.13997E-09,7.29582E-10
Co67 ,5.26987E-09,3.37272E-09
Co68 ,7.69981E-09,4.92788E-09
Co69 ,1.13997E-08,7.29582E-09
Co70 ,1.11997E-08,7.16782E-09
Co71 ,1.25997E-08,8.06380E-09
Co72 ,3.51991E-09,2.25274E-09
Co73 ,8.94978E-10,5.72786E-10
Co74 ,8.43979E-11,5.40146E-11
Co75 ,1.08990E-11,6.97538E-12
Co76 ,4.01990E-13,2.57274E-13
Co77 ,1.47826E-14,9.46087E-15
Co78 ,6.20611E-16,3.97191E-16
Ni66 ,5.32987E-10,3.41111E-10
Ni67 ,4.73988E-09,3.03352E-09
Ni68 ,2.42994E-08,1.55516E-08
Ni69 ,6.73983E-08,4.31349E-08
Ni70 ,2.42994E-07,1.55516E-07
Ni71 ,5.69986E-07,3.64791E-07
Ni72 ,6.46984E-07,4.14070E-07
Ni73 ,3.70991E-07,2.37434E-07
Ni74 ,1.50996E-07,9.66376E-08
Ni75 ,4.60988E-08,2.95033E-08
Ni76 ,7.37981E-09,4.72308E-09
Ni77 ,5.12972E-10,3.28302E-10
Ni78 ,2.93986E-11,1.88151E-11
Ni79 ,4.57806E-13,2.92996E-13
Ni80 ,0.00000E+00,0.00000E+00
Ni82 ,0.00000E+00,0.00000E+00
Cu66 ,3.91990E-12,2.50874E-12
Cu67 ,1.39996E-10,8.95978E-11
Cu68 ,4.40989E-10,2.82233E-10
Cu68m ,1.02997E-09,6.59183E-10
Cu69 ,1.44996E-08,9.27977E-09
Cu70 ,2.48994E-08,1.59356E-08
Cu70m ,7.47981E-08,4.78708E-08
Cu71 ,8.21979E-07,5.26067E-07
Cu72 ,1.80995E-06,1.15837E-06
Cu73 ,3.89990E-06,2.49594E-06
Cu74 ,3.35992E-06,2.15035E-06
Cu75 ,4.20989E-06,2.69433E-06
Cu76 ,1.48996E-06,9.53576E-07
Cu77 ,4.65988E-07,2.98233E-07
Cu78 ,6.54984E-08,4.19189E-08
Cu79 ,7.14936E-09,4.57559E-09
Cu80 ,2.62993E-10,1.68316E-10
Cu81 ,1.16997E-11,7.48781E-12
Cu82 ,2.88993E-13,1.84955E-13
Cu83 ,7.40571E-15,4.73966E-15
Zn66 ,0.00000E+00,0.00000E+00
Zn67 ,4.94988E-13,3.16792E-13
Zn68 ,2.21994E-11,1.42076E-11
Zn69 ,8.92978E-11,5.71506E-11
Zn69m ,3.80990E-10,2.43834E-10
Zn70 ,1.26997E-08,8.12780E-09
Zn71 ,4.02990E-08,2.57914E-08
Zn71m ,1.71996E-07,1.10077E-07
Zn72 ,1.67996E-06,1.07517E-06
Zn73 ,6.85983E-06,4.39029E-06
Zn74 ,2.09295E-05,1.33949E-05
Zn75 ,5.15087E-05,3.29656E-05
Zn76 ,6.79883E-05,4.35125E-05
Zn77 ,4.69288E-05,3.00344E-05
Zn78 ,2.83293E-05,1.81307E-05
Zn79 ,7.57981E-06,4.85108E-06
Zn80 ,1.29997E-06,8.31979E-07
Zn81 ,1.47996E-07,9.47176E-08
Zn82 ,1.75996E-08,1.12637E-08
Zn83 ,2.56986E-10,1.64471E-10
Zn84 ,1.52996E-11,9.79175E-12
Zn85 ,2.25382E-13,1.44244E-13
Zn86 ,0.00000E+00,0.00000E+00
Ga66 ,0.00000E+00,0.00000E+00
Ga67 ,0.00000E+00,0.00000E+00
Ga68 ,0.00000E+00,0.00000E+00
Ga69 ,3.50991E-13,2.24634E-13
Ga70 ,2.19994E-11,1.40796E-11
Ga71 ,1.54996E-09,9.91975E-10
Ga72 ,1.33497E-08,8.54379E-09
Ga72m ,1.33497E-08,8.54379E-09
Ga73 ,4.21989E-07,2.70073E-07
Ga74 ,1.27997E-06,8.19179E-07
Ga74m ,1.27997E-06,8.19179E-07
Ga75 ,2.24394E-05,1.43612E-05
Ga76 ,5.45286E-05,3.48983E-05
Ga77 ,1.37927E-04,8.82730E-05
Ga78 ,1.70546E-04,1.09149E-04
Ga79 ,1.88415E-04,1.20586E-04
Ga80 ,7.52381E-05,4.81524E-05
Ga81 ,3.83890E-05,2.45690E-05
Ga82 ,1.13297E-05,7.25102E-06
Ga83 ,7.80980E-07,4.99827E-07
Ga84 ,1.18997E-07,7.61581E-08
Ga85 ,3.51969E-09,2.25260E-09
Ga86 ,1.21997E-10,7.80780E-11
Ga87 ,1.03449E-12,6.62076E-13
Ga88 ,2.23758E-14,1.43205E-14
Ge66 ,0.00000E+00,0.00000E+00
Ge67 ,0.00000E+00,0.00000E+00
Ge68 ,0.00000E+00,0.00000E+00
Ge69 ,0.00000E+00,0.00000E+00
Ge70 ,0.00000E+00,0.00000E+00
Ge71 ,6.11985E-13,3.91670E-13
Ge71m ,6.11985E-13,3.91670E-13
Ge72 ,9.24977E-11,5.91985E-11
Ge73 ,2.72993E-09,1.74716E-09
Ge73m ,6.39984E-10,4.09590E-10
Ge74 ,8.48979E-08,5.43346E-08
Ge75 ,2.06995E-07,1.32477E-07
Ge75m ,1.38997E-06,8.89578E-07
Ge76 ,1.43896E-05,9.20937E-06
Ge77 ,6.35684E-05,4.06838E-05
Ge77m ,9.49976E-06,6.07985E-06
Ge78 ,3.27492E-04,2.09595E-04
Ge79 ,5.70241E-04,3.64954E-04
Ge79m ,5.70241E-04,3.64954E-04
Ge80 ,1.80869E-03,1.15756E-03
Ge81 ,1.34454E-03,8.60503E-04
Ge82 ,8.19329E-04,5.24371E-04
Ge83 ,2.47504E-04,1.58402E-04
Ge84 ,1.72596E-04,1.10461E-04
Ge85 ,1.31697E-05,8.42859E-06
Ge86 ,2.17995E-06,1.39516E-06
Ge87 ,3.58981E-08,2.29748E-08
Ge88 ,1.05995E-09,6.78369E-10
Ge89 ,1.00525E-11,6.43362E-12
Ge90 ,2.39315E-12,1.53161E-12
As69 ,0.00000E+00,0.00000E+00
As71 ,0.00000E+00,0.00000E+00
As72 ,0.00000E+00,0.00000E+00
As73 ,5.69986E-13,3.64791E-13
As74 ,1.01997E-11,6.52784E-12
As74m ,2.38994E-11,1.52956E-11
As75 ,2.78993E-09,1.78556E-09
As76 ,5.55986E-08,3.55831E-08
As77 ,1.18997E-06,7.61581E-07
As78 ,1.15797E-05,7.41101E-06
As79 ,9.52376E-05,6.09521E-05
As80 ,4.17920E-04,2.67468E-04
As81 ,2.04937E-03,1.31160E-03
As82 ,1.58740E-03,1.01594E-03
As82m ,1.58740E-03,1.01594E-03
As83 ,4.56856E-03,2.92388E-03
As84 ,7.78315E-04,4.98122E-04
As84m ,7.78315E-04,4.98122E-04
As85 ,1.05135E-03,6.72866E-04
As86 ,4.27509E-04,2.73606E-04
As87 ,3.26192E-05,2.08763E-05
As88 ,2.44994E-06,1.56796E-06
As89 ,1.56986E-07,1.00471E-07
