Product ; Thermal (0.0253 eV) ; Thermal (0.0253 eV) ; Fast (500 keV) ; Fast (500 keV) ; High (14 MeV) ; High (14 MeV)
Product ;  ;  ;  ;  ;  ; 
Product ; Yield ; Error ; Yield ; Error ; Yield ; Error
V66 ; 5.17176E-19 ; 3.30993E-19 ; 4.00477E-19 ; 2.56305E-19 ; 2.39192E-13 ; 1.53083E-13
V67 ;  ;  ;  ;  ; 6.2359E-14 ; 3.99098E-14
Cr66 ; 2.44989E-14 ; 1.56793E-14 ; 2.04996E-14 ; 1.31197E-14 ; 9.3776E-10 ; 6.00167E-10
Cr67 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 1.80938E-10 ; 1.158E-10
Cr68 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 1.31E-11 ; 8.384E-12
Cr69 ; 1.01806E-17 ; 6.51557E-18 ; 6.51068E-18 ; 4.16684E-18 ; 1.1893E-12 ; 7.61152E-13
Cr70 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 4.19E-14 ; 2.6816E-14
Mn66 ; 9.66976E-12 ; 6.18864E-12 ; 1.11E-11 ; 7.104E-12 ; 1.26E-7 ; 8.064E-8
Mn67 ; 5.57986E-12 ; 3.57111E-12 ; 5.01E-12 ; 3.2064E-12 ; 5.78E-8 ; 3.6992E-8
Mn68 ; 9.38976E-13 ; 6.00945E-13 ; 7.96E-13 ; 5.0944E-13 ; 1.01E-8 ; 6.464E-9
Mn69 ; 1.58986E-13 ; 1.01751E-13 ; 1.07993E-13 ; 6.91158E-14 ; 1.59881E-9 ; 1.02324E-9
Mn70 ; 1.56996E-14 ; 1.00477E-14 ; 1.04E-14 ; 6.656E-15 ; 1.94E-10 ; 1.2416E-10
Mn71 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 1.64E-11 ; 1.0496E-11
Mn72 ; 8.21149E-17 ; 5.25535E-17 ; 4.94247E-17 ; 3.16318E-17 ; 7.31857E-13 ; 4.68389E-13
Fe66 ; 8.1598E-10 ; 5.22227E-10 ; 1.08E-9 ; 6.912E-10 ; 1.9E-6 ; 1.216E-6
Fe67 ; 1.03997E-9 ; 6.65583E-10 ; 1.15E-9 ; 7.36E-10 ; 1.97E-6 ; 1.2608E-6
Fe68 ; 7.40981E-10 ; 4.74228E-10 ; 7.43E-10 ; 4.7552E-10 ; 7.91E-7 ; 5.0624E-7
Fe69 ; 2.82993E-10 ; 1.81115E-10 ; 2.53E-10 ; 1.6192E-10 ; 3.02E-7 ; 1.9328E-7
Fe70 ; 1.23997E-10 ; 7.9358E-11 ; 1.02E-10 ; 6.528E-11 ; 8.73999E-8 ; 5.5936E-8
Fe71 ; 3.25992E-11 ; 2.08635E-11 ; 2.19E-11 ; 1.4016E-11 ; 1.78E-8 ; 1.1392E-8
Fe72 ; 3.88982E-12 ; 2.48948E-12 ; 2.52995E-12 ; 1.61917E-12 ; 2.86927E-9 ; 1.83633E-9
Fe73 ; 2.21994E-13 ; 1.42076E-13 ; 1.08E-13 ; 6.912E-14 ; 2.53E-10 ; 1.6192E-10
Fe74 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 1.77E-11 ; 1.1328E-11
Fe75 ; 6.97914E-16 ; 4.46665E-16 ; 3.35783E-16 ; 2.14901E-16 ; 2.54213E-12 ; 1.62696E-12
Fe76 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 3.31E-14 ; 2.1184E-14
Co66 ; 1.13997E-9 ; 7.29582E-10 ; 1.91E-9 ; 1.2224E-9 ; 3.67E-6 ; 2.3488E-6
Co67 ; 5.26987E-9 ; 3.37272E-9 ; 7.13E-9 ; 4.5632E-9 ; 8.17E-6 ; 5.2288E-6
Co68 ; 7.69981E-9 ; 4.92788E-9 ; 1.01E-8 ; 6.464E-9 ; 7.19E-6 ; 4.6016E-6
Co69 ; 1.13997E-8 ; 7.29582E-9 ; 1.32E-8 ; 8.448E-9 ; 6.26E-6 ; 4.0064E-6
Co70 ; 1.11997E-8 ; 7.16782E-9 ; 1.28E-8 ; 8.192E-9 ; 4.13E-6 ; 2.6432E-6
Co71 ; 1.25997E-8 ; 8.0638E-9 ; 1.16E-8 ; 7.424E-9 ; 1.96E-6 ; 1.2544E-6
