Product , High (14 MeV) 
Product ,  
Product , Yield 
V66 ,1.21718E-13
V67 ,2.35751E-14
Cr66 ,3.70878E-10
Cr67 ,6.62764E-11
Cr68 ,4.97E-12
Cr69 ,3.11963E-13
Cr70 ,1.17E-14
Mn66 ,0.0000000645
Mn67 ,0.0000000282
Mn68 ,0.00000000522
Mn69 ,6.89688E-10
Mn70 ,7.68E-11
Mn71 ,5.58E-12
Mn72 ,4.39627E-13
Fe66 ,0.00000116
Fe67 ,0.00000118
Fe68 ,0.00000052
Fe69 ,0.000000166
Fe70 ,0.0000000455
Fe71 ,0.0000000082
Fe72 ,0.00000000133956
Fe73 ,1.12E-10
Fe74 ,7.06E-12
Fe75 ,6.7818E-13
Fe76 ,0
Co66 ,0.00000251
Co67 ,0.00000562
Co68 ,0.00000555
Co69 ,0.00000407
Co70 ,0.00000261
Co71 ,0.00000113
Co72 ,0.000000449
Co73 ,0.0000000924
Co74 ,0.0000000145
Co75 ,0.00000000149932
Co76 ,1.23E-10
Co77 ,6.64938E-12
Co78 ,5.80701E-13
Ni66 ,0.000000704
Ni67 ,0.00000344
Ni68 ,0.00000737
Ni69 ,0.00001177
Ni70 ,0.0000167
Ni71 ,0.00001631
Ni72 ,0.00001503
Ni73 ,0.00000731
Ni74 ,0.00000277
Ni75 ,0.000000719
Ni76 ,0.000000146
Ni77 ,0.0000000186934
Ni78 ,0.00000000176942
Ni79 ,8.2738E-11
Ni80 ,2.87E-12
Ni82 ,0
Cu66 ,0.0000000229
Cu67 ,0.000000258
Cu68 ,0.000000225
Cu68m ,0.00000102
Cu69 ,0.0000044
Cu70 ,0.00000204
Cu70m ,0.00001156
Cu71 ,0.00002881
Cu72 ,0.00005805
Cu73 ,0.00006295
Cu74 ,0.00005444
Cu75 ,0.00003369
Cu76 ,0.00001633
Cu77 ,0.0000052
Cu78 ,0.00000124
Cu79 ,0.000000182917
Cu80 ,0.0000000141
Cu81 ,9E-10
Cu82 ,3.5E-11
Zn66 ,7.47E-11
Zn67 ,0.00000000205
Zn68 ,0.0000000237
Zn69 ,0.0000000215
Zn69m ,0.000000174
Zn70 ,0.00000138
Zn71 ,0.000000721
Zn71m ,0.00000583
Zn72 ,0.00002896
Zn73 ,0.00006815
Zn74 ,0.00012807
Zn75 ,0.00017809
Zn76 ,0.00019407
Zn77 ,0.00014551
Zn78 ,0.00008341
Zn79 ,0.000031
Zn80 ,0.0000063
Zn81 ,0.00000112
Zn82 ,0.000000123
Zn83 ,0.00000000645
Zn84 ,1.83E-10
Zn85 ,1.65476E-11
Zn86 ,5.2E-14
Ga66 ,2.23E-14
Ga67 ,1.53E-12
Ga68 ,4.38E-11
Ga69 ,8.87E-10
Ga70 ,0.0000000152
Ga71 ,0.000000171
Ga72 ,0.000000875
Ga72m ,0.000000875
Ga73 ,0.00000935
Ga74 ,0.000019495
Ga74m ,0.000019495
Ga75 ,0.00012072
Ga76 ,0.00028518
Ga77 ,0.00047609
Ga78 ,0.00061841
Ga79 ,0.00054515
Ga80 ,0.00027576
Ga81 ,0.00013085
Ga82 ,0.00003919
Ga83 ,0.00000586
Ga84 ,0.000000479
Ga85 ,0.0000000365835
Ga86 ,0.00000000108
Ga87 ,5.68931E-11
Ge66 ,0
Ge67 ,0
Ge68 ,0
Ge69 ,3.71E-13
Ge70 ,1.58E-11
Ge71 ,2.2E-10
Ge71m ,2.2E-10
Ge72 ,0.000000011
Ge73 ,0.000000126
Ge73m ,0.0000000155
Ge74 ,0.00000139
Ge75 ,0.000000809
Ge75m ,0.00000931
Ge76 ,0.00005373
Ge77 ,0.00018748
Ge77m ,0.00001411
Ge78 ,0.00058066
Ge79 ,0.00057841
Ge79m ,0.00057841
Ge80 ,0.00136437
Ge81 ,0.00162103
Ge82 ,0.00125203
Ge83 ,0.00050872
Ge84 ,0.00011563
Ge85 ,0.00002438
Ge86 ,0.00000197
Ge87 ,0.000000159943
Ge88 ,0.00000000659
Ge89 ,3.11963E-10
Ge90 ,  
As69 ,0
As71 ,1.03E-13
As72 ,6.46E-12
As73 ,2.06E-10
As74 ,8.95E-10
As74m ,0.00000000408
As75 ,0.0000000901
As76 ,0.00000114
As77 ,0.00001023
As78 ,0.00006863
As79 ,0.0003176
As80 ,0.00087279
As81 ,0.00248484
As82 ,0.00232164
As82m ,0.00232181
As83 ,0.00476856
As84 ,0.00141468
As84m ,0.00141468
As85 ,0.00157062
As86 ,0.00033379
As87 ,0.00007305
As88 ,0.00000839
As89 ,0.000000689688
As90 ,0.00000000921904
As91 ,8.85399E-10
As92 ,5.11804E-11
Se72 ,0
Se73 ,2.39E-14
Se73m ,0
Se74 ,1.63E-12
Se75 ,7.57E-11
Se76 ,0.00000000238
Se77 ,0.00000000427
Se77m ,0.0000000491
Se78 ,0.000000883
Se79 ,0.0000094
Se79m ,0.000000708
Se80 ,0.00006854
Se81 ,0.00003907
Se81m ,0.00044927
Se82 ,0.00222395
Se83 ,0.0049863
Se83m ,0.00061631
Se84 ,0.00799852
Se85 ,0.00558047
Se85m ,0.00556628
Se86 ,0.00586081
Se87 ,0.0032727
Se88 ,0.00100545
Se89 ,0.00021568
Se90 ,0.0000280908
Se91 ,0.00000248911
Se92 ,0.000000155949
Se93 ,0.00000000395605
Se94 ,2.21E-10
Se95 ,  
Se96 ,7.11E-14
Br75 ,0
Br77 ,3.61E-12
Br77m ,2.22E-11
Br78 ,0.00000000109
Br79 ,0.00000000451
Br79m ,0.0000000277
Br80 ,0.0000000854
