Product ; High (14 MeV) ; High (14 MeV) ; Fast (500 keV) ; Fast (500 keV)
Product ;  ;  ;  ; 
Product ; Yield ; Error ; Yield ; Error
V66 ; 1.21718E-13 ; 7.78993E-14 ; 9.71536E-18 ; 6.21783E-18
V67 ; 2.35751E-14 ; 1.50881E-14 ; 9.82825E-19 ; 6.29008E-19
Cr66 ; 3.70878E-10 ; 2.37362E-10 ; 4.79991E-13 ; 3.07194E-13
Cr67 ; 6.62764E-11 ; 4.24169E-11 ; 3.5699E-14 ; 2.28474E-14
Cr68 ; 4.97E-12 ; 3.1808E-12 ; 0.0 ; 0.0
Cr69 ; 3.11963E-13 ; 1.99656E-13 ; 8.36953E-17 ; 5.3565E-17
Cr70 ; 1.17E-14 ; 7.488E-15 ; 0.0 ; 0.0
Mn66 ; 6.45E-8 ; 4.128E-8 ; 1.93E-10 ; 1.2352E-10
Mn67 ; 2.82E-8 ; 1.8048E-8 ; 5.98E-11 ; 3.8272E-11
Mn68 ; 5.22E-9 ; 3.3408E-9 ; 1.04E-11 ; 6.656E-12
Mn69 ; 6.89688E-10 ; 4.414E-10 ; 1.33992E-12 ; 8.57547E-13
Mn70 ; 7.68E-11 ; 4.9152E-11 ; 1.19E-13 ; 7.61601E-14
Mn71 ; 5.58E-12 ; 3.5712E-12 ; 0.0 ; 0.0
Mn72 ; 4.39627E-13 ; 2.81361E-13 ; 1.41682E-16 ; 9.06767E-17
Fe66 ; 1.16E-6 ; 7.424E-7 ; 1.32E-8 ; 8.44801E-9
Fe67 ; 1.18E-6 ; 7.552E-7 ; 9.53001E-9 ; 6.0992E-9
Fe68 ; 5.2E-7 ; 3.328E-7 ; 6.65E-9 ; 4.256E-9
Fe69 ; 1.66E-7 ; 1.0624E-7 ; 2.11E-9 ; 1.3504E-9
Fe70 ; 4.55E-8 ; 2.912E-8 ; 7.91001E-10 ; 5.0624E-10
Fe71 ; 8.2E-9 ; 5.248E-9 ; 1.22E-10 ; 7.80801E-11
Fe72 ; 1.33956E-9 ; 8.57319E-10 ; 6.99986E-12 ; 4.47991E-12
Fe73 ; 1.12E-10 ; 7.168E-11 ; 2.57E-13 ; 1.6448E-13
Fe74 ; 7.06E-12 ; 4.5184E-12 ; 1.49E-14 ; 9.53601E-15
Fe75 ; 6.7818E-13 ; 4.34035E-13 ; 1.17423E-15 ; 7.51509E-16
Fe76 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Co66 ; 2.51E-6 ; 1.6064E-6 ; 1.87E-8 ; 1.1968E-8
Co67 ; 5.62E-6 ; 3.5968E-6 ; 4.65E-8 ; 2.976E-8
Co68 ; 5.55E-6 ; 3.552E-6 ; 7.03001E-8 ; 4.4992E-8
Co69 ; 4.07E-6 ; 2.6048E-6 ; 8.43001E-8 ; 5.3952E-8
Co70 ; 2.61E-6 ; 1.6704E-6 ; 7.45001E-8 ; 4.768E-8
Co71 ; 1.13E-6 ; 7.232E-7 ; 4.66E-8 ; 2.9824E-8
Co72 ; 4.49E-7 ; 2.8736E-7 ; 6.67E-9 ; 4.2688E-9
Co73 ; 9.24E-8 ; 5.9136E-8 ; 1.03E-9 ; 6.592E-10
Co74 ; 1.45E-8 ; 9.28E-9 ; 1.58E-10 ; 1.0112E-10
Co75 ; 1.49932E-9 ; 9.59566E-10 ; 1.87988E-11 ; 1.20313E-11
Co76 ; 1.23E-10 ; 7.872E-11 ; 6.74E-13 ; 4.3136E-13
Co77 ; 6.64938E-12 ; 4.2556E-12 ; 2.37585E-14 ; 1.52054E-14
Co78 ; 5.80701E-13 ; 3.71649E-13 ;  ; 
Ni66 ; 7.04E-7 ; 4.5056E-7 ; 7.06001E-9 ; 4.5184E-9
Ni67 ; 3.44E-6 ; 2.2016E-6 ; 3.58E-8 ; 2.2912E-8
Ni68 ; 7.37E-6 ; 4.7168E-6 ; 1.8E-7 ; 1.152E-7
Ni69 ; 1.177E-5 ; 7.5328E-6 ; 4.38E-7 ; 2.8032E-7
Ni70 ; 1.67E-5 ; 1.0688E-5 ; 1.35E-6 ; 8.64001E-7
Ni71 ; 1.631E-5 ; 1.04384E-5 ; 1.86E-6 ; 1.1904E-6
Ni72 ; 1.503E-5 ; 9.6192E-6 ; 1.02E-6 ; 6.528E-7
Ni73 ; 7.31E-6 ; 4.6784E-6 ; 3.79E-7 ; 2.4256E-7
Ni74 ; 2.77E-6 ; 1.7728E-6 ; 2.45E-7 ; 1.568E-7
Ni75 ; 7.19E-7 ; 4.6016E-7 ; 7.33001E-8 ; 4.6912E-8
Ni76 ; 1.46E-7 ; 9.344E-8 ; 1.18E-8 ; 7.55201E-9
Ni77 ; 1.86934E-8 ; 1.19637E-8 ; 8.62977E-10 ; 5.52305E-10
Ni78 ; 1.76942E-9 ; 1.13243E-9 ; 2.87E-11 ; 1.8368E-11
Ni79 ; 8.2738E-11 ; 5.29523E-11 ; 4.52204E-13 ; 2.89411E-13
Ni80 ; 2.87E-12 ; 1.8368E-12 ; 0.0 ; 0.0
Ni82 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Cu66 ; 2.29E-8 ; 1.4656E-8 ; 5.13E-11 ; 3.2832E-11
Cu67 ; 2.58E-7 ; 1.6512E-7 ; 9.92001E-10 ; 6.3488E-10
Cu68 ; 2.25E-7 ; 1.44E-7 ; 2.96E-9 ; 1.8944E-9
Cu68m ; 1.02E-6 ; 6.528E-7 ; 8.00001E-9 ; 5.12E-9
Cu69 ; 4.4E-6 ; 2.816E-6 ; 9.25001E-8 ; 5.92E-8
Cu70 ; 2.04E-6 ; 1.3056E-6 ; 1.27E-7 ; 8.12801E-8
Cu70m ; 1.156E-5 ; 7.3984E-6 ; 4.5E-7 ; 2.88E-7
Cu71 ; 2.881E-5 ; 1.84384E-5 ; 2.65E-6 ; 1.696E-6
Cu72 ; 5.805E-5 ; 3.7152E-5 ; 2.98E-6 ; 1.9072E-6
Cu73 ; 6.295E-5 ; 4.0288E-5 ; 3.92E-6 ; 2.5088E-6
Cu74 ; 5.444E-5 ; 3.48416E-5 ; 5.85E-6 ; 3.744E-6
Cu75 ; 3.369E-5 ; 2.15616E-5 ; 6.82E-6 ; 4.3648E-6
Cu76 ; 1.633E-5 ; 1.04512E-5 ; 2.83E-6 ; 1.8112E-6
Cu77 ; 5.2E-6 ; 3.328E-6 ; 9.09001E-7 ; 5.8176E-7
Cu78 ; 1.24E-6 ; 7.936E-7 ; 8.41001E-8 ; 5.3824E-8
Cu79 ; 1.82917E-7 ; 1.17067E-7 ; 7.23955E-9 ; 4.63331E-9
Cu80 ; 1.41E-8 ; 9.024E-9 ; 2.65E-10 ; 1.696E-10
Cu81 ; 9.0E-10 ; 5.76E-10 ; 9.61001E-12 ; 6.1504E-12
Cu82 ; 3.5E-11 ; 2.24E-11 ; 1.43E-13 ; 9.15201E-14
Zn66 ; 7.47E-11 ; 4.7808E-11 ; 6.02E-14 ; 3.8528E-14
Zn67 ; 2.05E-9 ; 1.312E-9 ; 2.9E-12 ; 1.856E-12
Zn68 ; 2.37E-8 ; 1.5168E-8 ; 1.3E-10 ; 8.32001E-11
Zn69 ; 2.15E-8 ; 1.376E-8 ; 4.38E-10 ; 2.8032E-10
Zn69m ; 1.74E-7 ; 1.1136E-7 ; 2.14E-9 ; 1.3696E-9
Zn70 ; 1.38E-6 ; 8.832E-7 ; 6.04E-8 ; 3.8656E-8
Zn71 ; 7.21E-7 ; 4.6144E-7 ; 1.02E-7 ; 6.528E-8
Zn71m ; 5.83E-6 ; 3.7312E-6 ; 4.96E-7 ; 3.1744E-7
Zn72 ; 2.896E-5 ; 1.85344E-5 ; 2.3E-6 ; 1.472E-6
Zn73 ; 6.815E-5 ; 4.3616E-5 ; 6.08E-6 ; 3.8912E-6
Zn74 ; 1.2807E-4 ; 8.19648E-5 ; 3.117E-5 ; 1.99488E-5
Zn75 ; 1.7809E-4 ; 1.13978E-4 ; 7.54801E-5 ; 4.83072E-5
Zn76 ; 1.9407E-4 ; 1.24205E-4 ; 1.2003E-4 ; 7.68193E-5
Zn77 ; 1.4551E-4 ; 9.31264E-5 ; 9.33501E-5 ; 5.9744E-5
Zn78 ; 8.341E-5 ; 5.33824E-5 ; 3.745E-5 ; 2.3968E-5
Zn79 ; 3.1E-5 ; 1.984E-5 ; 8.43001E-6 ; 5.3952E-6
Zn80 ; 6.3E-6 ; 4.032E-6 ; 1.37E-6 ; 8.76801E-7
Zn81 ; 1.12E-6 ; 7.168E-7 ; 1.35E-7 ; 8.64001E-8
Zn82 ; 1.23E-7 ; 7.872E-8 ; 9.47001E-9 ; 6.0608E-9
Zn83 ; 6.45E-9 ; 4.128E-9 ; 2.89E-10 ; 1.8496E-10
Zn84 ; 1.83E-10 ; 1.1712E-10 ; 6.15E-12 ; 3.936E-12
Zn85 ; 1.65476E-11 ; 1.05905E-11 ; 1.68015E-13 ; 1.0753E-13
Zn86 ; 5.2E-14 ; 3.328E-14 ; 0.0 ; 0.0
Ga66 ; 2.23E-14 ; 1.4272E-14 ; 0.0 ; 0.0
Ga67 ; 1.53E-12 ; 9.792E-13 ; 0.0 ; 0.0
Ga68 ; 4.38E-11 ; 2.8032E-11 ; 2.19E-14 ; 1.4016E-14
Ga69 ; 8.87E-10 ; 5.6768E-10 ; 1.82E-12 ; 1.1648E-12
Ga70 ; 1.52E-8 ; 9.728E-9 ; 1.05E-10 ; 6.72E-11
Ga71 ; 1.71E-7 ; 1.0944E-7 ; 4.17E-9 ; 2.6688E-9
Ga72 ; 8.75E-7 ; 5.6E-7 ; 1.865E-8 ; 1.1936E-8
Ga72m ; 8.75E-7 ; 5.6E-7 ; 1.865E-8 ; 1.1936E-8
Ga73 ; 9.35E-6 ; 5.984E-6 ; 3.64E-7 ; 2.3296E-7
Ga74 ; 1.9495E-5 ; 1.24768E-5 ; 2.025E-6 ; 1.296E-6
Ga74m ; 1.9495E-5 ; 1.24768E-5 ; 2.025E-6 ; 1.296E-6
Ga75 ; 1.2072E-4 ; 7.72608E-5 ; 3.317E-5 ; 2.12288E-5
Ga76 ; 2.8518E-4 ; 1.82515E-4 ; 1.1113E-4 ; 7.11233E-5
Ga77 ; 4.7609E-4 ; 3.04698E-4 ; 3.0802E-4 ; 1.97133E-4
Ga78 ; 6.1841E-4 ; 3.95782E-4 ; 2.8473E-4 ; 1.82227E-4
Ga79 ; 5.4515E-4 ; 3.48896E-4 ; 2.5212E-4 ; 1.61357E-4
Ga80 ; 2.7576E-4 ; 1.76486E-4 ; 1.0204E-4 ; 6.53056E-5
Ga81 ; 1.3085E-4 ; 8.3744E-5 ; 4.299E-5 ; 2.75136E-5
Ga82 ; 3.919E-5 ; 2.50816E-5 ; 8.23001E-6 ; 5.2672E-6
Ga83 ; 5.86E-6 ; 3.7504E-6 ; 1.16E-6 ; 7.42401E-7
Ga84 ; 4.79E-7 ; 3.0656E-7 ; 6.76E-8 ; 4.3264E-8
Ga85 ; 3.65835E-8 ; 2.34134E-8 ; 2.68983E-9 ; 1.72149E-9
Ga86 ; 1.08E-9 ; 6.912E-10 ; 5.82E-11 ; 3.7248E-11
Ga87 ; 5.68931E-11 ; 3.64116E-11 ; 9.63554E-13 ; 6.16675E-13
Ge66 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Ge67 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Ge68 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Ge69 ; 3.71E-13 ; 2.3744E-13 ; 0.0 ; 0.0
Ge70 ; 1.58E-11 ; 1.0112E-11 ; 2.77E-14 ; 1.7728E-14
