Product ;  ; 
Product ;  ; 
Product ; Yield ; Error
V66 ; 4.48456E-18 ; 2.87012E-18
V67 ; 7.3375E-19 ; 4.696E-19
Cr66 ; 4.02992E-13 ; 2.57915E-13
Cr67 ; 4.87988E-14 ; 3.12313E-14
Cr68 ; 0.0 ; 0.0
Cr69 ; 2.89474E-17 ; 1.85263E-17
Cr70 ; 0.0 ; 0.0
Mn66 ; 9.43992E-11 ; 6.04155E-11
Mn67 ; 5.30995E-11 ; 3.39837E-11
Mn68 ; 6.65994E-12 ; 4.26236E-12
Mn69 ; 8.91963E-13 ; 5.70857E-13
Mn70 ; 5.77995E-14 ; 3.69917E-14
Mn71 ; 0.0 ; 0.0
Mn72 ; 1.19069E-16 ; 7.62042E-17
Mn73 ; 1.25249E-17 ; 8.01592E-18
Fe66 ; 3.94997E-9 ; 2.52798E-9
Fe67 ; 5.13996E-9 ; 3.28957E-9
Fe68 ; 2.84998E-9 ; 1.82398E-9
Fe69 ; 9.56992E-10 ; 6.12475E-10
Fe70 ; 2.81998E-10 ; 1.80478E-10
Fe71 ; 5.14996E-11 ; 3.29597E-11
Fe72 ; 1.06998E-11 ; 6.84786E-12
Fe73 ; 8.3298E-13 ; 5.33107E-13
Fe74 ; 3.48997E-14 ; 2.23358E-14
Fe75 ; 1.10987E-15 ; 7.10314E-16
Fe76 ; 0.0 ; 0.0
Co66 ; 2.68998E-9 ; 1.72159E-9
Co67 ; 1.29999E-8 ; 8.31993E-9
Co68 ; 1.51999E-8 ; 9.72792E-9
Co69 ; 2.07998E-8 ; 1.33119E-8
Co70 ; 1.38999E-8 ; 8.89592E-9
Co71 ; 1.13999E-8 ; 7.29594E-9
Co72 ; 6.01995E-9 ; 3.85277E-9
Co73 ; 2.20998E-9 ; 1.41439E-9
Co74 ; 2.43998E-10 ; 1.56159E-10
Co75 ; 3.41986E-11 ; 2.18871E-11
Co76 ; 3.52997E-12 ; 2.25918E-12
Co77 ; 6.13463E-14 ; 3.92616E-14
Co78 ; 2.85988E-15 ; 1.83032E-15
Ni66 ; 4.94996E-10 ; 3.16797E-10
Ni67 ; 5.02996E-9 ; 3.21917E-9
Ni68 ; 2.17998E-8 ; 1.39519E-8
Ni69 ; 5.96995E-8 ; 3.82077E-8
Ni70 ; 1.45999E-7 ; 9.34392E-8
Ni71 ; 2.56998E-7 ; 1.64479E-7
Ni72 ; 5.62995E-7 ; 3.60317E-7
Ni73 ; 4.94996E-7 ; 3.16797E-7
Ni74 ; 2.47998E-7 ; 1.58719E-7
Ni75 ; 8.86992E-8 ; 5.67675E-8
Ni76 ; 4.35996E-8 ; 2.79038E-8
Ni77 ; 4.0799E-9 ; 2.61114E-9
Ni78 ; 2.56995E-10 ; 1.64477E-10
Ni79 ; 1.51227E-12 ; 9.67855E-13
Ni80 ; 1.27999E-13 ; 8.19193E-14
Ni81 ; 3.03753E-15 ; 1.94402E-15
Ni82 ; 0.0 ; 0.0
Cu66 ; 1.12999E-12 ; 7.23194E-13
Cu67 ; 5.07996E-11 ; 3.25117E-11
Cu68 ; 1.36999E-10 ; 8.76792E-11
Cu68m ; 3.70997E-10 ; 2.37438E-10
Cu69 ; 5.56995E-9 ; 3.56477E-9
Cu70 ; 6.04995E-9 ; 3.87197E-9
Cu70m ; 2.14998E-8 ; 1.37599E-8
Cu71 ; 1.77998E-7 ; 1.13919E-7
Cu72 ; 7.82993E-7 ; 5.01116E-7
Cu73 ; 2.60998E-6 ; 1.67039E-6
Cu74 ; 2.86998E-6 ; 1.83678E-6
Cu75 ; 4.35996E-6 ; 2.79038E-6
Cu76 ; 5.20995E-6 ; 3.33437E-6
Cu77 ; 2.23998E-6 ; 1.43359E-6
Cu78 ; 3.74997E-7 ; 2.39998E-7
Cu79 ; 4.65981E-8 ; 2.98228E-8
Cu80 ; 2.53998E-9 ; 1.62559E-9
Cu81 ; 9.35962E-11 ; 5.99015E-11
Cu82 ; 1.61999E-12 ; 1.03679E-12
Cu83 ; 3.69882E-14 ; 2.36725E-14
Zn66 ; 0.0 ; 0.0
Zn67 ; 4.53996E-14 ; 2.90557E-14
Zn68 ; 2.11998E-12 ; 1.35679E-12
Zn69 ; 9.78992E-12 ; 6.26555E-12
Zn69m ; 4.77996E-11 ; 3.05917E-11
Zn70 ; 1.19999E-9 ; 7.67993E-10
Zn71 ; 3.00997E-9 ; 1.92638E-9
Zn71m ; 1.46999E-8 ; 9.40792E-9
Zn72 ; 3.04997E-7 ; 1.95198E-7
Zn73 ; 2.07998E-6 ; 1.33119E-6
Zn74 ; 8.35993E-6 ; 5.35035E-6
Zn75 ; 2.57198E-5 ; 1.64607E-5
Zn76 ; 1.18929E-4 ; 7.61145E-5
Zn77 ; 1.14539E-4 ; 7.3305E-5
Zn78 ; 8.55893E-5 ; 5.47771E-5
Zn79 ; 2.61998E-5 ; 1.67679E-5
Zn80 ; 7.07994E-6 ; 4.53116E-6
Zn81 ; 7.23994E-7 ; 4.63356E-7
Zn82 ; 6.43994E-8 ; 4.12156E-8
Zn83 ; 2.45994E-9 ; 1.57436E-9
Zn84 ; 7.16994E-11 ; 4.58876E-11
Zn85 ; 7.23685E-13 ; 4.63158E-13
Zn86 ; 0.0 ; 0.0
Ga66 ; 0.0 ; 0.0
Ga67 ; 0.0 ; 0.0
Ga68 ; 0.0 ; 0.0
Ga69 ; 1.07999E-14 ; 6.91194E-15
Ga70 ; 5.64995E-13 ; 3.61597E-13
Ga71 ; 3.83997E-11 ; 2.45758E-11
Ga72 ; 8.09993E-10 ; 5.18396E-10
Ga72m ; 8.09993E-10 ; 5.18396E-10
Ga73 ; 4.74996E-8 ; 3.03997E-8
Ga74 ; 2.11998E-7 ; 1.35679E-7
Ga74m ; 2.11998E-7 ; 1.35679E-7
Ga75 ; 5.01996E-6 ; 3.21277E-6
Ga76 ; 4.68696E-5 ; 2.99965E-5
Ga77 ; 1.64999E-4 ; 1.05599E-4
