Product ;  ; 
Product ;  ; 
Product ; Yield ; Error
V66 ; 3.3253E-13 ; 2.12819E-13
V67 ; 6.34791E-14 ; 4.06266E-14
V68 ; 6.05364E-15 ; 3.87433E-15
Cr66 ; 7.90578E-10 ; 5.0597E-10
Cr67 ; 1.50919E-10 ; 9.65884E-11
Cr68 ; 1.43923E-11 ; 9.21108E-12
Cr69 ; 6.55811E-13 ; 4.19719E-13
Cr70 ; 5.67936E-14 ; 3.63479E-14
Mn66 ; 8.62902E-8 ; 5.52257E-8
Mn67 ; 3.97955E-8 ; 2.54691E-8
Mn68 ; 9.26895E-9 ; 5.93213E-9
Mn69 ; 1.55917E-9 ; 9.97867E-10
Mn70 ; 2.24975E-10 ; 1.43984E-10
Mn71 ; 2.13976E-11 ; 1.36944E-11
Mn72 ; 1.22754E-12 ; 7.85628E-13
Mn73 ; 1.64373E-13 ; 1.05199E-13
Fe66 ; 1.00989E-6 ; 6.46327E-7
Fe67 ; 1.06988E-6 ; 6.84722E-7
Fe68 ; 5.83934E-7 ; 3.73718E-7
Fe69 ; 2.34973E-7 ; 1.50383E-7
Fe70 ; 8.20907E-8 ; 5.2538E-8
Fe71 ; 1.91978E-8 ; 1.22866E-8
Fe72 ; 2.91844E-9 ; 1.8678E-9
Fe73 ; 3.90791E-10 ; 2.50106E-10
Fe74 ; 2.94967E-11 ; 1.88779E-11
Fe75 ; 2.16502E-12 ; 1.38561E-12
Fe76 ; 5.53937E-14 ; 3.5452E-14
Co66 ; 1.48983E-6 ; 9.53492E-7
Co67 ; 3.41961E-6 ; 2.18855E-6
Co68 ; 4.11953E-6 ; 2.6365E-6
Co69 ; 3.73958E-6 ; 2.39333E-6
Co70 ; 3.01966E-6 ; 1.93258E-6
Co71 ; 1.66981E-6 ; 1.06868E-6
Co72 ; 6.08931E-7 ; 3.89716E-7
Co73 ; 1.98977E-7 ; 1.27346E-7
Co74 ; 3.68958E-8 ; 2.36133E-8
Co75 ; 5.14725E-9 ; 3.29424E-9
Co76 ; 4.4195E-10 ; 2.82848E-10
Co77 ; 2.27432E-11 ; 1.45556E-11
Co78 ; 2.24489E-12 ; 1.43673E-12
Ni66 ; 2.83968E-7 ; 1.81739E-7
Ni67 ; 1.42984E-6 ; 9.15096E-7
Ni68 ; 3.71958E-6 ; 2.38053E-6
Ni69 ; 7.30917E-6 ; 4.67787E-6
Ni70 ; 1.28685E-5 ; 8.23587E-6
Ni71 ; 1.58082E-5 ; 1.01173E-5
Ni72 ; 1.31585E-5 ; 8.42145E-6
Ni73 ; 9.99887E-6 ; 6.39927E-6
Ni74 ; 4.4095E-6 ; 2.82208E-6
Ni75 ; 1.48983E-6 ; 9.53492E-7
Ni76 ; 3.19964E-7 ; 2.04777E-7
Ni77 ; 5.40711E-8 ; 3.46055E-8
Ni78 ; 5.33715E-9 ; 3.41578E-9
Ni79 ; 1.9338E-10 ; 1.23763E-10
Ni80 ; 1.85979E-11 ; 1.19027E-11
Ni82 ; 1.01988E-14 ; 6.52726E-15
Cu66 ; 6.40927E-9 ; 4.10194E-9
Cu67 ; 7.22918E-8 ; 4.62668E-8
Cu68 ; 7.69913E-8 ; 4.92744E-8
Cu68m ; 3.5096E-7 ; 2.24615E-7
Cu69 ; 1.85979E-6 ; 1.19027E-6
Cu70 ; 1.06988E-6 ; 6.84722E-7
Cu70m ; 6.07931E-6 ; 3.89076E-6
Cu71 ; 1.89778E-5 ; 1.21458E-5
Cu72 ; 3.42261E-5 ; 2.19047E-5
Cu73 ; 5.71235E-5 ; 3.65591E-5
Cu74 ; 5.64836E-5 ; 3.61495E-5
Cu75 ; 4.3795E-5 ; 2.80288E-5
Cu76 ; 2.25974E-5 ; 1.44624E-5
Cu77 ; 9.35894E-6 ; 5.98972E-6
Cu78 ; 2.34973E-6 ; 1.50383E-6
Cu79 ; 4.59754E-7 ; 2.94243E-7
Cu80 ; 5.51937E-8 ; 3.5324E-8
Cu81 ; 3.46961E-9 ; 2.22055E-9
Cu82 ; 2.20975E-10 ; 1.41424E-10
Cu83 ; 1.85393E-11 ; 1.18651E-11
Zn66 ; 1.38984E-11 ; 8.89499E-12
Zn67 ; 3.61959E-10 ; 2.31654E-10
Zn68 ; 5.40939E-9 ; 3.46201E-9
Zn69 ; 6.09931E-9 ; 3.90356E-9
Zn69m ; 4.93944E-8 ; 3.16124E-8
Zn70 ; 4.90944E-7 ; 3.14204E-7
Zn71 ; 3.21964E-7 ; 2.06057E-7
Zn71m ; 2.6097E-6 ; 1.67021E-6
Zn72 ; 1.16487E-5 ; 7.45516E-6
Zn73 ; 4.21752E-5 ; 2.69921E-5
Zn74 ; 9.00598E-5 ; 5.76383E-5
Zn75 ; 1.51883E-4 ; 9.7205E-5
Zn76 ; 1.7711E-4 ; 1.1335E-4
Zn77 ; 1.69751E-4 ; 1.0864E-4
Zn78 ; 1.03498E-4 ; 6.62389E-5
Zn79 ; 5.01843E-5 ; 3.2118E-5
Zn80 ; 1.52283E-5 ; 9.7461E-6
Zn81 ; 2.50972E-6 ; 1.60622E-6
Zn82 ; 4.23952E-7 ; 2.71329E-7
Zn83 ; 4.40765E-8 ; 2.82089E-8
Zn84 ; 2.23975E-9 ; 1.43344E-9
Zn85 ; 1.02155E-10 ; 6.53793E-11
Zn86 ; 1.08988E-12 ; 6.97521E-13
Ga66 ; 0.0 ; 0.0
Ga67 ; 1.7898E-13 ; 1.14547E-13
