Product , Fast (500 keV) 
Product ,  
Product , Yield 
V66 ,1.87064E-17
V67 ,2.02328E-18
V68 ,  
Cr66 ,6.25013E-13
Cr67 ,6.76014E-14
Cr68 ,0
Cr69 ,4.39974E-17
Cr70 ,0
Mn66 ,1.34007E-10
Mn67 ,5.9603E-11
Mn68 ,1.00005E-11
Mn69 ,1.47003E-12
Mn70 ,9.73049E-14
Mn71 ,0
Mn72 ,4.04058E-16
Mn73 ,3.5617E-17
Fe66 ,0.00000000438022
Fe67 ,0.00000000475024
Fe68 ,0.00000000310015
Fe69 ,0.00000000120006
Fe70 ,3.40017E-10
Fe71 ,6.81034E-11
Fe72 ,1.35003E-11
Fe73 ,1.19002E-12
Fe74 ,8.97045E-14
Fe75 ,2.14001E-15
Fe76 ,0
Co66 ,0.00000000325016
Co67 ,0.0000000116006
Co68 ,0.0000000171009
Co69 ,0.0000000238012
Co70 ,0.0000000173009
Co71 ,0.0000000137007
Co72 ,0.00000000748037
Co73 ,0.00000000292015
Co74 ,6.32032E-10
Co75 ,7.15014E-11
Co76 ,4.12021E-12
Co77 ,1.22115E-13
Co78 ,5.20786E-15
Ni66 ,5.31027E-10
Ni67 ,0.00000000428021
Ni68 ,0.000000020801
Ni69 ,0.0000000622031
Ni70 ,0.000000154008
Ni71 ,0.000000280014
Ni72 ,0.000000580029
Ni73 ,0.00000061003
Ni74 ,0.000000546027
Ni75 ,0.000000172009
Ni76 ,0.0000000429021
Ni77 ,0.00000000408008
Ni78 ,1.74003E-10
Ni79 ,1.18524E-12
Ni80 ,1.00005E-13
Ni81 ,2.75657E-15
Ni82 ,0
Cu66 ,1.52008E-12
Cu67 ,4.79024E-11
Cu68 ,1.54008E-10
Cu68m ,4.16021E-10
Cu69 ,0.0000000060703
Cu70 ,0.00000000754038
Cu70m ,0.0000000267013
Cu71 ,0.00000020401
Cu72 ,0.000000934047
Cu73 ,0.00000352018
Cu74 ,0.00000759038
Cu75 ,0.00000930046
Cu76 ,0.00000617031
Cu77 ,0.00000246012
Cu78 ,0.000000295015
Cu79 ,0.0000000396008
Cu80 ,0.00000000215011
Cu81 ,9.21018E-11
Cu82 ,1.65008E-12
Cu83 ,6.10577E-14
Zn66 ,0
Zn67 ,4.79024E-14
Zn68 ,2.34012E-12
Zn69 ,1.11006E-11
Zn69m ,5.43027E-11
Zn70 ,0.00000000147007
Zn71 ,0.00000000357018
Zn71m ,0.0000000174009
Zn72 ,0.000000344017
Zn73 ,0.00000297015
Zn74 ,0.0000215011
Zn75 ,0.0000589329
Zn76 ,0.000139387
Zn77 ,0.000137227
Zn78 ,0.0000652633
Zn79 ,0.0000236712
Zn80 ,0.00000544027
Zn81 ,0.000000662033
Zn82 ,0.0000000537027
Zn83 ,0.00000000204004
Zn84 ,6.0403E-11
Zn85 ,6.70437E-13
Zn86 ,0
Ga66 ,0
Ga67 ,0
Ga68 ,0
Ga69 ,1.53008E-14
Ga70 ,9.64048E-13
Ga71 ,5.61028E-11
Ga72 ,0.00000000122506
Ga72m ,0.00000000122506
Ga73 ,0.0000000849042
Ga74 ,0.000000740037
Ga74m ,0.000000740037
Ga75 ,0.0000142007
Ga76 ,0.0000742837
Ga77 ,0.000245732
Ga78 ,0.000266003
Ga79 ,0.000352348
Ga80 ,0.00020489
Ga81 ,0.000100675
Ga82 ,0.0000230912
Ga83 ,0.00000387019
Ga84 ,0.000000338017
Ga85 ,0.0000000224004
Ga86 ,5.10025E-10
Ga87 ,1.00865E-11
Ga88 ,4.63919E-13
Ge66 ,0
Ge67 ,0
Ge68 ,0
Ge69 ,0
Ge70 ,0
Ge71 ,0
Ge71m ,0
Ge72 ,2.35012E-12
Ge73 ,1.9401E-10
Ge73m ,3.9802E-11
Ge74 ,0.0000000169008
Ge75 ,0.0000000509025
Ge75m ,0.000000373019
Ge76 ,0.00000843042
Ge77 ,0.0000579329
Ge77m ,0.00000790039
Ge78 ,0.000244152
Ge79 ,0.000355638
Ge79m ,0.000355638
Ge80 ,0.00139997
Ge81 ,0.00160191
Ge82 ,0.00141597
Ge83 ,0.000632892
Ge84 ,0.000234822
Ge85 ,0.0000445122
Ge86 ,0.00000453023
Ge87 ,0.000000337007
Ge88 ,0.0000000155003
Ge89 ,7.03361E-11
Ge90 ,4.77084E-12
Ge91 ,4.90401E-13
As69 ,0
As71 ,0
As72 ,0
As73 ,1.32007E-14
As74 ,7.37037E-13
As74m ,1.9901E-12
As75 ,2.94015E-10
As76 ,0.0000000161008
As77 ,0.000000514026
As78 ,0.00000489024
As79 ,0.0000528226
As80 ,0.000240442
As81 ,0.000928176
As82 ,0.000926556
As82m ,0.000926556
As83 ,0.0029323
As84 ,0.00133628
As84m ,0.00133628
As85 ,0.00200804
As86 ,0.000557838
As87 ,0.000167668
As88 ,0.0000216111
As89 ,0.00000235005
As90 ,0.000000159402
As91 ,0.0000000163851
As92 ,4.39974E-11
As93 ,1.49188E-12
Se72 ,0
Se73 ,0
Se73m ,0
Se74 ,0
Se75 ,1.60008E-14
Se76 ,3.86019E-12
Se77 ,4.21021E-11
Se77m ,3.08015E-10
Se78 ,0.0000000142007
Se79 ,0.000000369018
Se79m ,0.0000000503025
Se80 ,0.00000765038
Se81 ,0.00000890044
Se81m ,0.0000652433
Se82 ,0.000550397
Se83 ,0.00167695
Se83m ,0.000343527
Se84 ,0.00612359
Se85 ,0.00542897
Se85m ,0.00540661
Se86 ,0.0109445
Se87 ,0.00786222
Se88 ,0.00398497
Se89 ,0.00113214
