Product ; Fast (500 keV) ; Fast (500 keV) ; High (14 MeV) ; High (14 MeV)
Product ;  ;  ;  ; 
Product ; Yield ; Error ; Yield ; Error
V66 ; 1.87064E-17 ; 1.19721E-17 ; 1.5715E-13 ; 1.00576E-13
V67 ; 2.02328E-18 ; 1.2949E-18 ; 3.21653E-14 ; 2.05858E-14
V68 ;  ;  ; 3.79857E-15 ; 2.43108E-15
Cr66 ; 6.25013E-13 ; 4.00008E-13 ; 5.12843E-10 ; 3.28219E-10
Cr67 ; 6.76014E-14 ; 4.32649E-14 ; 1.04968E-10 ; 6.71794E-11
Cr68 ; 0.0 ; 0.0 ; 1.23962E-11 ; 7.93357E-12
Cr69 ; 4.39974E-17 ; 2.81584E-17 ; 4.1968E-13 ; 2.68595E-13
Cr70 ; 0.0 ; 0.0 ; 4.38E-14 ; 2.8032E-14
Mn66 ; 1.34007E-10 ; 8.57643E-11 ; 6.01E-8 ; 3.8464E-8
Mn67 ; 5.9603E-11 ; 3.81459E-11 ; 2.99E-8 ; 1.9136E-8
Mn68 ; 1.00005E-11 ; 6.40032E-12 ; 9.0E-9 ; 5.76E-9
Mn69 ; 1.47003E-12 ; 9.40819E-13 ; 1.36958E-9 ; 8.76531E-10
Mn70 ; 9.73049E-14 ; 6.22751E-14 ; 2.06E-10 ; 1.3184E-10
Mn71 ; 0.0 ; 0.0 ; 1.72E-11 ; 1.1008E-11
Mn72 ; 4.04058E-16 ; 2.58597E-16 ; 7.78094E-13 ; 4.9798E-13
Mn73 ; 3.5617E-17 ; 2.27949E-17 ; 9.92529E-14 ; 6.35218E-14
Fe66 ; 4.38022E-9 ; 2.80334E-9 ; 6.95E-7 ; 4.448E-7
Fe67 ; 4.75024E-9 ; 3.04015E-9 ; 7.99E-7 ; 5.1136E-7
Fe68 ; 3.10015E-9 ; 1.9841E-9 ; 5.82E-7 ; 3.7248E-7
Fe69 ; 1.20006E-9 ; 7.68038E-10 ; 2.19E-7 ; 1.4016E-7
Fe70 ; 3.40017E-10 ; 2.17611E-10 ; 8.08E-8 ; 5.1712E-8
Fe71 ; 6.81034E-11 ; 4.35862E-11 ; 1.72E-8 ; 1.1008E-8
Fe72 ; 1.35003E-11 ; 8.64017E-12 ; 2.53922E-9 ; 1.6251E-9
Fe73 ; 1.19002E-12 ; 7.61615E-13 ; 3.23901E-10 ; 2.07296E-10
Fe74 ; 8.97045E-14 ; 5.74109E-14 ; 2.64E-11 ; 1.6896E-11
Fe75 ; 2.14001E-15 ; 1.36961E-15 ; 1.36932E-12 ; 8.76366E-13
Fe76 ; 0.0 ; 0.0 ; 4.21E-14 ; 2.6944E-14
Co66 ; 3.25016E-9 ; 2.0801E-9 ; 9.38E-7 ; 6.0032E-7
Co67 ; 1.16006E-8 ; 7.42437E-9 ; 2.35E-6 ; 1.504E-6
Co68 ; 1.71009E-8 ; 1.09445E-8 ; 3.88E-6 ; 2.4832E-6
Co69 ; 2.38012E-8 ; 1.52328E-8 ; 3.39E-6 ; 2.1696E-6
Co70 ; 1.73009E-8 ; 1.10726E-8 ; 2.91E-6 ; 1.8624E-6
Co71 ; 1.37007E-8 ; 8.76844E-9 ; 1.52E-6 ; 9.728E-7
Co72 ; 7.48037E-9 ; 4.78744E-9 ; 5.55E-7 ; 3.552E-7
Co73 ; 2.92015E-9 ; 1.86889E-9 ; 1.75E-7 ; 1.12E-7
Co74 ; 6.32032E-10 ; 4.045E-10 ; 3.65E-8 ; 2.336E-8
Co75 ; 7.15014E-11 ; 4.57609E-11 ; 4.46863E-9 ; 2.85992E-9
Co76 ; 4.12021E-12 ; 2.63693E-12 ; 3.89E-10 ; 2.4896E-10
Co77 ; 1.22115E-13 ; 7.81538E-14 ; 2.02182E-11 ; 1.29396E-11
Co78 ; 5.20786E-15 ; 3.33303E-15 ; 2.58854E-12 ; 1.65667E-12
Ni66 ; 5.31027E-10 ; 3.39857E-10 ; 1.52E-7 ; 9.728E-8
Ni67 ; 4.28021E-9 ; 2.73934E-9 ; 8.45E-7 ; 5.408E-7
Ni68 ; 2.0801E-8 ; 1.33127E-8 ; 3.1E-6 ; 1.984E-6
Ni69 ; 6.22031E-8 ; 3.981E-8 ; 6.02E-6 ; 3.8528E-6
Ni70 ; 1.54008E-7 ; 9.85649E-8 ; 1.131E-5 ; 7.2384E-6
Ni71 ; 2.80014E-7 ; 1.79209E-7 ; 1.344E-5 ; 8.6016E-6
Ni72 ; 5.80029E-7 ; 3.71219E-7 ; 1.153E-5 ; 7.3792E-6
Ni73 ; 6.1003E-7 ; 3.90419E-7 ; 8.53E-6 ; 5.4592E-6
Ni74 ; 5.46027E-7 ; 3.49457E-7 ; 4.37E-6 ; 2.7968E-6
Ni75 ; 1.72009E-7 ; 1.10085E-7 ; 1.34E-6 ; 8.576E-7
Ni76 ; 4.29021E-8 ; 2.74574E-8 ; 2.97E-7 ; 1.9008E-7
Ni77 ; 4.08008E-9 ; 2.61125E-9 ; 6.59798E-8 ; 4.22271E-8
Ni78 ; 1.74003E-10 ; 1.11362E-10 ; 8.44741E-9 ; 5.40634E-9
Ni79 ; 1.18524E-12 ; 7.58552E-13 ; 2.16886E-10 ; 1.38807E-10
Ni80 ; 1.00005E-13 ; 6.40032E-14 ; 2.62E-11 ; 1.6768E-11
Ni81 ; 2.75657E-15 ; 1.76421E-15 ; 1.83189E-12 ; 1.17241E-12
Ni82 ; 0.0 ; 0.0 ; 1.13E-14 ; 7.232E-15
Cu66 ; 1.52008E-12 ; 9.72849E-13 ; 2.57E-9 ; 1.6448E-9
Cu67 ; 4.79024E-11 ; 3.06575E-11 ; 3.37E-8 ; 2.1568E-8
Cu68 ; 1.54008E-10 ; 9.85649E-11 ; 5.24E-8 ; 3.3536E-8
Cu68m ; 4.16021E-10 ; 2.66253E-10 ; 2.39E-7 ; 1.5296E-7
Cu69 ; 6.0703E-9 ; 3.88499E-9 ; 1.3E-6 ; 8.32E-7
Cu70 ; 7.54038E-9 ; 4.82584E-9 ; 8.03E-7 ; 5.1392E-7
Cu70m ; 2.67013E-8 ; 1.70889E-8 ; 4.55E-6 ; 2.912E-6
Cu71 ; 2.0401E-7 ; 1.30567E-7 ; 1.412E-5 ; 9.0368E-6
Cu72 ; 9.34047E-7 ; 5.9779E-7 ; 2.688E-5 ; 1.72032E-5
Cu73 ; 3.52018E-6 ; 2.25291E-6 ; 4.383E-5 ; 2.80512E-5
Cu74 ; 7.59038E-6 ; 4.85784E-6 ; 5.171E-5 ; 3.30944E-5
Cu75 ; 9.30046E-6 ; 5.9523E-6 ; 3.752E-5 ; 2.40128E-5
Cu76 ; 6.17031E-6 ; 3.949E-6 ; 2.011E-5 ; 1.28704E-5
Cu77 ; 2.46012E-6 ; 1.57448E-6 ; 1.107E-5 ; 7.0848E-6
Cu78 ; 2.95015E-7 ; 1.88809E-7 ; 3.66E-6 ; 2.3424E-6
Cu79 ; 3.96008E-8 ; 2.53445E-8 ; 7.07783E-7 ; 4.52981E-7
Cu80 ; 2.15011E-9 ; 1.37607E-9 ; 8.04E-8 ; 5.1456E-8
Cu81 ; 9.21018E-11 ; 5.89452E-11 ; 5.97817E-9 ; 3.82603E-9
Cu82 ; 1.65008E-12 ; 1.05605E-12 ; 2.8E-10 ; 1.792E-10
Cu83 ; 6.10577E-14 ; 3.90769E-14 ; 1.21003E-11 ; 7.74418E-12
Zn66 ; 0.0 ; 0.0 ; 3.88E-12 ; 2.4832E-12
Zn67 ; 4.79024E-14 ; 3.06575E-14 ; 1.26E-10 ; 8.064E-11
Zn68 ; 2.34012E-12 ; 1.49767E-12 ; 2.72E-9 ; 1.7408E-9
Zn69 ; 1.11006E-11 ; 7.10435E-12 ; 3.26E-9 ; 2.0864E-9
Zn69m ; 5.43027E-11 ; 3.47537E-11 ; 2.64E-8 ; 1.6896E-8
Zn70 ; 1.47007E-9 ; 9.40847E-10 ; 2.87E-7 ; 1.8368E-7
Zn71 ; 3.57018E-9 ; 2.28491E-9 ; 1.94E-7 ; 1.2416E-7
Zn71m ; 1.74009E-8 ; 1.11366E-8 ; 1.57E-6 ; 1.0048E-6
Zn72 ; 3.44017E-7 ; 2.20171E-7 ; 7.65E-6 ; 4.896E-6
Zn73 ; 2.97015E-6 ; 1.90089E-6 ; 2.727E-5 ; 1.74528E-5
Zn74 ; 2.15011E-5 ; 1.37607E-5 ; 7.129E-5 ; 4.56256E-5
Zn75 ; 5.89329E-5 ; 3.77171E-5 ; 1.1528E-4 ; 7.37792E-5
Zn76 ; 1.39387E-4 ; 8.92077E-5 ; 1.401E-4 ; 8.9664E-5
Zn77 ; 1.37227E-4 ; 8.78252E-5 ; 1.7928E-4 ; 1.14739E-4
Zn78 ; 6.52633E-5 ; 4.17685E-5 ; 1.4461E-4 ; 9.25504E-5
Zn79 ; 2.36712E-5 ; 1.51496E-5 ; 7.015E-5 ; 4.4896E-5
Zn80 ; 5.44027E-6 ; 3.48177E-6 ; 2.084E-5 ; 1.33376E-5
Zn81 ; 6.62033E-7 ; 4.23701E-7 ; 4.23E-6 ; 2.7072E-6
Zn82 ; 5.37027E-8 ; 3.43697E-8 ; 5.61E-7 ; 3.5904E-7
Zn83 ; 2.04004E-9 ; 1.30563E-9 ; 3.94879E-8 ; 2.52723E-8
Zn84 ; 6.0403E-11 ; 3.86579E-11 ; 2.32E-9 ; 1.4848E-9
Zn85 ; 6.70437E-13 ; 4.2908E-13 ; 8.88375E-11 ; 5.6856E-11
Zn86 ; 0.0 ; 0.0 ; 1.31E-12 ; 8.384E-13
Ga66 ; 0.0 ; 0.0 ; 0.0 ; 0.0
Ga67 ; 0.0 ; 0.0 ; 3.97E-14 ; 2.5408E-14
Ga68 ; 0.0 ; 0.0 ; 2.21E-12 ; 1.4144E-12
Ga69 ; 1.53008E-14 ; 9.79249E-15 ; 6.15E-11 ; 3.936E-11
Ga70 ; 9.64048E-13 ; 6.16991E-13 ; 1.47E-9 ; 9.408E-10
Ga71 ; 5.61028E-11 ; 3.59058E-11 ; 2.24E-8 ; 1.4336E-8
Ga72 ; 1.22506E-9 ; 7.84039E-10 ; 1.18E-7 ; 7.552E-8
Ga72m ; 1.22506E-9 ; 7.84039E-10 ; 1.18E-7 ; 7.552E-8
Ga73 ; 8.49042E-8 ; 5.43387E-8 ; 1.96E-6 ; 1.2544E-6
Ga74 ; 7.40037E-7 ; 4.73624E-7 ; 5.915E-6 ; 3.7856E-6
Ga74m ; 7.40037E-7 ; 4.73624E-7 ; 5.915E-6 ; 3.7856E-6
Ga75 ; 1.42007E-5 ; 9.08845E-6 ; 4.324E-5 ; 2.76736E-5
Ga76 ; 7.42837E-5 ; 4.75416E-5 ; 1.1688E-4 ; 7.48032E-5
Ga77 ; 2.45732E-4 ; 1.57269E-4 ; 3.3159E-4 ; 2.12218E-4
Ga78 ; 2.66003E-4 ; 1.70242E-4 ; 6.1219E-4 ; 3.91802E-4
Ga79 ; 3.52348E-4 ; 2.25502E-4 ; 6.9498E-4 ; 4.44787E-4
Ga80 ; 2.0489E-4 ; 1.3113E-4 ; 5.0789E-4 ; 3.2505E-4
Ga81 ; 1.00675E-4 ; 6.4432E-5 ; 2.6706E-4 ; 1.70918E-4
Ga82 ; 2.30912E-5 ; 1.47783E-5 ; 9.634E-5 ; 6.16576E-5
Ga83 ; 3.87019E-6 ; 2.47692E-6 ; 1.84E-5 ; 1.1776E-5
Ga84 ; 3.38017E-7 ; 2.16331E-7 ; 2.97E-6 ; 1.9008E-6
