Product ;  ; 
Product ;  ; 
Product ; Yield ; Error
V66 ; 5.51216E-18 ; 3.52778E-18
V67 ; 1.14105E-18 ; 7.30273E-19
Cr66 ; 5.15E-13 ; 3.296E-13
Cr67 ; 7.88998E-14 ; 5.04958E-14
Cr68 ; 0.0 ; 0.0
Cr69 ; 5.4936E-17 ; 3.51591E-17
Cr70 ; 0.0 ; 0.0
Mn66 ; 9.84011E-11 ; 6.29767E-11
Mn67 ; 6.19007E-11 ; 3.96165E-11
Mn68 ; 8.06009E-12 ; 5.15846E-12
Mn69 ; 1.75997E-12 ; 1.12638E-12
Mn70 ; 1.17001E-13 ; 7.48809E-14
Mn71 ; 0.0 ; 0.0
Mn72 ; 9.15126E-17 ; 5.85681E-17
Mn73 ; 2.29946E-17 ; 1.47165E-17
Fe66 ; 2.64003E-9 ; 1.68962E-9
Fe67 ; 4.03005E-9 ; 2.57923E-9
Fe68 ; 2.10002E-9 ; 1.34402E-9
Fe69 ; 1.21001E-9 ; 7.74409E-10
Fe70 ; 3.45004E-10 ; 2.20803E-10
Fe71 ; 7.38008E-11 ; 4.72325E-11
Fe72 ; 8.55001E-12 ; 5.472E-12
Fe73 ; 1.59E-12 ; 1.0176E-12
Fe74 ; 1.27001E-13 ; 8.12809E-14
Fe75 ; 3.30865E-15 ; 2.11753E-15
Fe76 ; 0.0 ; 0.0
Co66 ; 1.54002E-9 ; 9.85611E-10
Co67 ; 7.70009E-9 ; 4.92806E-9
Co68 ; 9.1601E-9 ; 5.86247E-9
Co69 ; 1.88002E-8 ; 1.20321E-8
Co70 ; 1.36002E-8 ; 8.7041E-9
Co71 ; 1.15001E-8 ; 7.36008E-9
Co72 ; 3.67004E-9 ; 2.34883E-9
Co73 ; 2.94003E-9 ; 1.88162E-9
Co74 ; 6.56007E-10 ; 4.19845E-10
Co75 ; 1.05998E-10 ; 6.78387E-11
Co76 ; 6.84008E-12 ; 4.37765E-12
Co77 ; 1.03982E-13 ; 6.65483E-14
Co78 ; 8.38063E-15 ; 5.3636E-15
Co79 ; 1.3204E-15 ; 8.45053E-16
Ni66 ; 1.80002E-10 ; 1.15201E-10
Ni67 ; 2.06002E-9 ; 1.31841E-9
Ni68 ; 8.3901E-9 ; 5.36966E-9
Ni69 ; 3.69004E-8 ; 2.36163E-8
Ni70 ; 9.0501E-8 ; 5.79207E-8
Ni71 ; 1.72002E-7 ; 1.10081E-7
Ni72 ; 2.06002E-7 ; 1.31841E-7
Ni73 ; 4.27005E-7 ; 2.73283E-7
Ni74 ; 3.79004E-7 ; 2.42563E-7
Ni75 ; 1.71002E-7 ; 1.09441E-7
Ni76 ; 4.62005E-8 ; 2.95683E-8
Ni77 ; 7.18998E-9 ; 4.60159E-9
Ni78 ; 7.83001E-10 ; 5.0112E-10
Ni79 ; 9.13008E-11 ; 5.84325E-11
Ni80 ; 4.60005E-13 ; 2.94403E-13
Ni81 ; 1.04566E-14 ; 6.69221E-15
Ni82 ; 0.0 ; 0.0
Cu66 ; 3.22004E-13 ; 2.06082E-13
Cu67 ; 1.47002E-11 ; 9.40811E-12
Cu68 ; 4.19005E-11 ; 2.68163E-11
Cu68m ; 1.13001E-10 ; 7.23208E-11
Cu69 ; 2.47003E-9 ; 1.58082E-9
Cu70 ; 3.09004E-9 ; 1.97762E-9
Cu70m ; 1.10001E-8 ; 7.04008E-9
Cu71 ; 8.8201E-8 ; 5.64486E-8
Cu72 ; 2.31003E-7 ; 1.47842E-7
Cu73 ; 1.65002E-6 ; 1.05601E-6
Cu74 ; 3.36004E-6 ; 2.15042E-6
Cu75 ; 5.79007E-6 ; 3.70564E-6
Cu76 ; 3.98005E-6 ; 2.54723E-6
Cu77 ; 2.58003E-6 ; 1.65122E-6
Cu78 ; 8.15009E-7 ; 5.21606E-7
Cu79 ; 1.0291E-7 ; 6.58623E-8
Cu80 ; 6.72008E-9 ; 4.30085E-9
Cu81 ; 3.34993E-10 ; 2.14396E-10
Cu82 ; 7.02008E-12 ; 4.49285E-12
Cu83 ; 1.13093E-13 ; 7.23794E-14
Cu84 ; 3.33941E-15 ; 2.13722E-15
Zn66 ; 0.0 ; 0.0
Zn67 ; 0.0 ; 0.0
Zn68 ; 3.75004E-13 ; 2.40003E-13
Zn69 ; 2.72003E-12 ; 1.74082E-12
Zn69m ; 1.33002E-11 ; 8.5121E-12
Zn70 ; 3.69004E-10 ; 2.36163E-10
Zn71 ; 9.69011E-10 ; 6.20167E-10
Zn71m ; 4.73005E-9 ; 3.02723E-9
Zn72 ; 5.48006E-8 ; 3.50724E-8
