A ; Fast (500 keV) ; Fast (500 keV) ; High (14 MeV) ; High (14 MeV)
A ;  ;  ;  ; 
A ; Yield (%) ; Error (%) ; Yield (%) ; Error (%)
66 ; 3.70462751E-6 % ; 1.608783252E-6 % ; 7.821795648E-5 % ; 3.231107643E-5 %
67 ; 2.143364415E-5 % ; 9.002792405E-6 % ; 1.38673873E-4 % ; 5.805609451E-5 %
68 ; 2.80312004E-5 % ; 1.16750543E-5 % ; 2.983565155E-4 % ; 1.225258861E-4 %
69 ; 3.591197314E-5 % ; 1.513163183E-5 % ; 5.010403511E-4 % ; 2.081909145E-4 %
70 ; 4.41950777E-5 % ; 1.986971472E-5 % ; 9.012744834E-4 % ; 3.678567315E-4 %
71 ; 4.948808611E-5 % ; 2.172414527E-5 % ; 0.001591616 % ; 6.528906409E-4 %
72 ; 6.054419703E-5 % ; 2.529583875E-5 % ; 0.002705959 % ; 0.001130409 %
73 ; 2.06004115E-4 % ; 8.736879035E-5 % ; 0.005230036 % ; 0.002169048 %
74 ; 2.771875869E-4 % ; 1.154827774E-4 % ; 0.008006282 % ; 0.003284752 %
75 ; 4.622192794E-4 % ; 2.01377918E-4 % ; 0.013869863 % ; 0.005807868 %
76 ; 8.007113201E-4 % ; 3.630345372E-4 % ; 0.021990033 % ; 0.009065874 %
77 ; 0.003301927 % ; 0.001395247 % ; 0.031293326 % ; 0.012936535 %
78 ; 0.01116444 % ; 0.004647325 % ; 0.056993872 % ; 0.023817817 %
79 ; 0.032600765 % ; 0.012866958 % ; 0.132956352 % ; 0.047586592 %
80 ; 0.041071144 % ; 0.017713748 % ; 0.209251813 % ; 0.087194882 %
81 ; 0.085601472 % ; 0.038297818 % ; 0.334513053 % ; 0.138467552 %
82 ; 0.213945808 % ; 0.086474136 % ; 0.453767775 % ; 0.153207886 %
83 ; 0.393645808 % ; 0.171695507 % ; 0.666394584 % ; 0.274002525 %
84 ; 0.624896533 % ; 0.204881274 % ; 0.960786123 % ; 0.326869609 %
