z,n,name,levelEnergy(MeV),decayMode,branchingRatio,branchingRatioUncertainty,massExcess(keV),massExcessUncertainty,halflife,halflifeUnit,halflifeUncertainty
0,1,Neutron,0,B-,100,,8.07E+3,4.40E-4,608.9,s,0.3
1,2,3H,0,B-,100,,1.49E+4,8.00E-5,12.3221,y,0.0106
1,3,4H,0,N,100,,2.46E+4,1.00E+2,3.3,MeV,0.3
1,4,5H,0,2N,100,,3.28E+4,8.94E+1,5.3,MeV,0.4
1,6,7H,0,2N,,,4.91E+4,1.00E+3,0.18,MeV,+0.47-0.13
2,3,5He,0,N,100,,1.12E+4,2.00E+1,719,keV,48
2,4,6He,0,B-,100,,1.75E+4,5.30E-2,807.12,ms,0.17
2,5,7He,0,N,100,,2.60E+4,7.55,195,keV,4
2,6,8He,0,B-,100,,3.16E+4,8.90E-2,119,ms,1.6
2,6,8He,0,B-N,16,1,3.16E+4,8.90E-2,119,ms,1.6
2,7,9He,0,N,100,,4.09E+4,4.68E+1,180,keV,100
2,8,10He,0,2N,100,,4.91E+4,9.28E+1,1.8,MeV,0.3
3,1,4Li,0,P,100,,2.53E+4,2.12E+2,5,MeV,0.5
3,2,5Li,0,P,100,,1.16E+4,5.00E+1,1.23,MeV,0.0
3,5,8Li,0,B-,100,,2.09E+4,4.70E-2,838.79,ms,0.35
3,5,8Li,0,B-A,100,,2.09E+4,4.70E-2,838.79,ms,0.35
3,6,9Li,0,B-,100,,2.49E+4,1.86E-1,178,ms,0.3
3,6,9Li,0,B-A,12.3,0.9,2.49E+4,1.86E-1,178,ms,0.3
3,6,9Li,0,B-N,51,0.9,2.49E+4,1.86E-1,178,ms,0.3
3,7,10Li,0,N,100,,3.30E+4,1.27E+1,0.23,MeV,<=
3,8,11Li,0,B-,100,,4.07E+4,6.15E-1,8.75,ms,0.1
3,8,11Li,0,B-N,84.3,1.3,4.07E+4,6.15E-1,8.75,ms,0.1
3,8,11Li,0,B-2N,4.2,0.3,4.07E+4,6.15E-1,8.75,ms,0.1
3,8,11Li,0,B-3N,1.9,0.2,4.07E+4,6.15E-1,8.75,ms,0.1
3,8,11Li,0,B-A,1.7,0.3,4.07E+4,6.15E-1,8.75,ms,0.1
3,9,12Li,0,N,100,,4.90E+4,3.00E+1,,,
3,10,13Li,0,2N,100,,5.69E+4,7.00E+1,125,keV,+60-40
4,2,6Be,0,2P,100,,1.83E+4,5.44,92,keV,6
4,3,7Be,0,EC,100,,1.57E+4,7.09E-2,53.3,d,0.1
4,4,8Be,0,A,100,,4.94E+3,3.50E-2,5.57,eV,0.25
4,6,10Be,0,B-,100,,1.26E+4,8.10E-2,1.39e+06,y,1.16e+04
4,7,11Be,0,B-,100,,2.01E+4,2.38E-1,13.77,s,0.07
4,7,11Be,0,B-A,3.3,0.1,2.01E+4,2.38E-1,13.77,s,0.07
4,8,12Be,0,B-,100,,2.50E+4,1.90,21.46,ms,0.05
4,8,12Be,0,B-N,0.5,0.03,2.50E+4,1.90,21.46,ms,0.05
4,9,13Be,0,N,,,3.36E+4,1.01E+1,450,keV,30
4,11,15Be,0,N,100,,4.98E+4,1.65E+2,580,keV,200
4,12,16Be,0,2N,100,,5.74E+4,1.65E+2,0.8,MeV,+0.1-0.2
4,10,14Be,0,B-,100,,3.99E+4,1.32E+2,4.65,ms,0.12
4,10,14Be,0,B-N,86,6,3.99E+4,1.32E+2,4.65,ms,0.12
4,10,14Be,0,B-2N,5,2,3.99E+4,1.32E+2,4.65,ms,0.12
4,10,14Be,0,B-A,0.004,,3.99E+4,1.32E+2,4.65,ms,0.12
5,12,17B,0,B-,100,,4.37E+4,2.04E+2,5.07,ms,0.05
5,12,17B,0,B-N,63,1,4.37E+4,2.04E+2,5.07,ms,0.05
5,12,17B,0,B-2N,12,2,4.37E+4,2.04E+2,5.07,ms,0.05
5,12,17B,0,B-3N,3.5,0.7,4.37E+4,2.04E+2,5.07,ms,0.05
5,12,17B,0,B-4N,0.4,0.3,4.37E+4,2.04E+2,5.07,ms,0.05
5,13,18B,0,N,100,,5.17E+4,2.04E+2,,,
5,14,19B,0,B-,100,,5.97E+4,5.25E+2,2.92,ms,0.13
5,14,19B,0,B-N,71.8,,5.97E+4,5.25E+2,2.92,ms,0.13
5,14,19B,0,B-2N,16,,5.97E+4,5.25E+2,2.92,ms,0.13
5,14,19B,0,B-3N,9.1,,5.97E+4,5.25E+2,2.92,ms,0.13
5,15,20B,0,N,100,,6.94E+4,5.46E+2,500,keV,<=
5,16,21B,0,2N,100,,7.83E+4,5.58E+2,600,keV,<=
5,10,15B,0,B-,100,,2.89E+4,2.10E+1,10.18,ms,0.35
5,10,15B,0,B-N,99.68,,2.89E+4,2.10E+1,10.18,ms,0.35
5,10,15B,0,B-2N,1.5,,2.89E+4,2.10E+1,10.18,ms,0.35
5,11,16B,0,N,100,,3.71E+4,2.45E+1,100,keV,<
5,2,7B,0,P,100,,2.76E+4,2.51E+1,801,keV,20
5,3,8B,0,EC+B+,100,,2.29E+4,1.00,772.1,ms,1.1
5,3,8B,0,ECA,100,,2.29E+4,1.00,772.1,ms,1.1
5,4,9B,0,P,100,,1.24E+4,9.03E-1,540,eV,210
5,7,12B,0,B-,100,,1.33E+4,1.32,20.22,ms,0.04
5,7,12B,0,B-A,0.6,0.02,1.33E+4,1.32,20.22,ms,0.04
5,8,13B,0,B-,100,,1.65E+4,1.00,17.16,ms,0.18
5,8,13B,0,B-N,0.266,0.025,1.65E+4,1.00,17.16,ms,0.18
5,9,14B,0,B-,100,,2.36E+4,2.12E+1,12.34,ms,0.27
5,9,14B,0,B-N,6.04,0.23,2.36E+4,2.12E+1,12.34,ms,0.27
6,2,8C,0,2P,100,,3.50E+4,1.82E+1,130,keV,50
6,3,9C,0,EC+B+,100,,2.89E+4,2.13,126.5,ms,0.9
6,3,9C,0,ECP,62,1.9,2.89E+4,2.13,126.5,ms,0.9
6,3,9C,0,ECA,37.9,5.8,2.89E+4,2.13,126.5,ms,0.9
6,4,10C,0,EC+B+,100,,1.56E+4,7.00E-2,19.3015,s,0.0018
6,5,11C,0,EC+B+,100,,1.06E+4,6.00E-2,20.3401,m,0.0041
6,8,14C,0,B-,100,,3.01E+3,3.75E-3,5686,y,22
6,9,15C,0,B-,100,,9.87E+3,8.00E-1,2.451,s,0.004
6,14,20C,0,B-,100,,3.75E+4,2.30E+2,16,ms,3.0
6,14,20C,0,B-N,66,10,3.75E+4,2.30E+2,16,ms,3.0
6,14,20C,0,B-2N,18.6,,3.75E+4,2.30E+2,16,ms,3.0
6,13,19C,0,B-,100,,3.24E+4,9.83E+1,46.3,ms,2.3
6,13,19C,0,B-N,47,3,3.24E+4,9.83E+1,46.3,ms,2.3
6,13,19C,0,B-2N,7,3,3.24E+4,9.83E+1,46.3,ms,2.3
6,16,22C,0,B-,100,,5.36E+4,2.31E+2,6.1,ms,+1.4-1.2
6,16,22C,0,B-N,61,,5.36E+4,2.31E+2,6.1,ms,+1.4-1.2
6,16,22C,0,B-2N,37,,5.36E+4,2.31E+2,6.1,ms,+1.4-1.2
6,10,16C,0,B-,100,,1.36E+4,3.57,750,ms,5
6,10,16C,0,B-N,99.28,0.12,1.36E+4,3.57,750,ms,5
6,12,18C,0,B-,100,,2.49E+4,3.00E+1,92,ms,2
6,12,18C,0,B-N,31.5,1.5,2.49E+4,3.00E+1,92,ms,2
6,12,18C,0,B-2N,,,2.49E+4,3.00E+1,92,ms,2
6,11,17C,0,B-,100,,2.10E+4,1.73E+1,193,ms,5
6,11,17C,0,B-N,28.4,1.3,2.10E+4,1.73E+1,193,ms,5
6,11,17C,0,B-2N,,,2.10E+4,1.73E+1,193,ms,5
7,15,22N,0,B-,100,,3.17E+4,2.07E+2,20.9,ms,2.1
7,15,22N,0,B-N,34,2,3.17E+4,2.07E+2,20.9,ms,2.1
7,15,22N,0,B-2N,12,3,3.17E+4,2.07E+2,20.9,ms,2.1
7,14,21N,0,B-,100,,2.52E+4,1.34E+2,85.3,ms,4.5
7,14,21N,0,B-N,86.5,3.7,2.52E+4,1.34E+2,85.3,ms,4.5
7,14,21N,0,B-2N,,,2.52E+4,1.34E+2,85.3,ms,4.5
7,17,24N,0,N,,,4.69E+4,4.01E+2,52,ns,<
7,16,23N,0,B-,100,,3.67E+4,4.20E+2,14.1,ms,+1.2-1.5
7,16,23N,0,B-N,42,6,3.67E+4,4.20E+2,14.1,ms,+1.2-1.5
7,16,23N,0,B-2N,8,4,3.67E+4,4.20E+2,14.1,ms,+1.2-1.5
7,16,23N,0,B-3N,3.4,,3.67E+4,4.20E+2,14.1,ms,+1.2-1.5
7,11,18N,0,B-,100,,1.31E+4,1.85E+1,619,ms,2
7,11,18N,0,B-A,12.2,0.6,1.31E+4,1.85E+1,619,ms,2
7,11,18N,0,B-N,8.3,1.3,1.31E+4,1.85E+1,619,ms,2
7,11,18N,0,B-2N,,,1.31E+4,1.85E+1,619,ms,2
7,10,17N,0,B-,100,,7.87E+3,1.50E+1,4.171,s,0.003
7,10,17N,0,B-N,95.1,0.7,7.87E+3,1.50E+1,4.171,s,0.003
7,10,17N,0,B-A,0.0025,0.0004,7.87E+3,1.50E+1,4.171,s,0.003
7,13,20N,0,B-,100,,2.17E+4,7.88E+1,136,ms,3
7,13,20N,0,B-N,42.9,1.4,2.17E+4,7.88E+1,136,ms,3
7,13,20N,0,B-2N,4.5,,2.17E+4,7.88E+1,136,ms,3
7,12,19N,0,B-,100,,1.58E+4,1.64E+1,336,ms,3
7,12,19N,0,B-N,41.8,0.9,1.58E+4,1.64E+1,336,ms,3
7,3,10N,0,P,100,,3.88E+4,4.00E+2,2.5,MeV,+2-1.5
7,4,11N,0,P,100,,2.43E+4,5.00,780,keV,10
7,5,12N,0,EC+B+,100,,1.73E+4,1.00,10.996,ms,0.015
7,5,12N,0,ECA,1.93,0.04,1.73E+4,1.00,10.996,ms,0.015
7,6,13N,0,EC+B+,100,,5.34E+3,2.70E-1,9.967,m,0.004
7,9,16N,0,B-,100,,5.68E+3,2.30,7.13,s,0.01
7,9,16N,0,B-A,0.00154,0.00005,5.68E+3,2.30,7.13,s,0.01
8,17,25O,0,N,100,,2.73E+4,1.65E+2,88,keV,6
8,18,26O,0,2N,100,,3.46E+4,1.64E+2,0.0045,ns,+0.0032-0.0034
8,15,23O,0,B-,100,,1.46E+4,1.21E+2,96,ms,8
8,15,23O,0,B-N,7,2,1.46E+4,1.21E+2,96,ms,8
8,16,24O,0,B-,100,,1.85E+4,1.64E+2,72,ms,4
8,16,24O,0,B-N,41,3,1.85E+4,1.64E+2,72,ms,4
8,13,21O,0,B-,100,,8.06E+3,1.20E+1,3.42,s,0.1
8,14,22O,0,B-,100,,9.28E+3,5.69E+1,2.19,s,0.16
8,14,22O,0,B-N,22,,9.28E+3,5.69E+1,2.19,s,0.16
8,11,19O,0,B-,100,,3.33E+3,2.63,26.47,s,0.006
8,12,20O,0,B-,100,,3.79E+3,8.85E-1,13.51,s,0.04
8,20,28O,0+X,2N,,,5.20E+4,6.99E+2,100,ns,<
8,3,11O,0,2P,100,,,,2.31,MeV,0.14
