Janis-endf-friendly-name,z,n,massExcess(keV)
Neutron,0,1,8070
H1,1,0,7280
H2,1,1,13100
H3,1,2,14900
H4,1,3,24600
H5,1,4,32800
H6,1,5,41800
H7,1,6,49100
He3,2,1,14900
He4,2,2,2420
He5,2,3,11200
He6,2,4,17500
He7,2,5,26000
He8,2,6,31600
He9,2,7,40900
He10,2,8,49100
Li4,3,1,25300
Li5,3,2,11600
Li6,3,3,14000
Li7,3,4,14900
Li8,3,5,20900
Li9,3,6,24900
Li10,3,7,33000
Li11,3,8,40700
Li12,3,9,49000
Li13,3,10,56900
Be6,4,2,18300
Be7,4,3,15700
Be8,4,4,4940
Be9,4,5,11300
Be10,4,6,12600
Be11,4,7,20100
Be12,4,8,25000
Be13,4,9,33600
Be15,4,11,49800
Be16,4,12,57400
Be14,4,10,39900
B17,5,12,43700
B18,5,13,51700
B19,5,14,59700
B20,5,15,69400
B21,5,16,78300
B15,5,10,28900
B16,5,11,37100
B7,5,2,27600
B8,5,3,22900
B9,5,4,12400
B10,5,5,12000
B11,5,6,8660
B12,5,7,13300
B13,5,8,16500
B14,5,9,23600
C8,6,2,35000
C9,6,3,28900
C10,6,4,15600
C11,6,5,10600
C12,6,6,0
C13,6,7,3120
C14,6,8,3010
C15,6,9,9870
C20,6,14,37500
C19,6,13,32400
C22,6,16,53600
C16,6,10,13600
C18,6,12,24900
C17,6,11,21000
N22,7,15,31700
N21,7,14,25200
N24,7,17,46900
N23,7,16,36700
N18,7,11,13100
N17,7,10,7870
N20,7,13,21700
N19,7,12,15800
N10,7,3,38800
N11,7,4,24300
N12,7,5,17300
N13,7,6,5340
N14,7,7,2860
N15,7,8,101
N16,7,9,5680
O25,8,17,27300
O26,8,18,34600
O23,8,15,14600
O24,8,16,18500
O18,8,10,-782
O21,8,13,8060
O22,8,14,9280
O19,8,11,3330
O20,8,12,3790
O28,8,20,52000
O11,8,3,
O12,8,4,32000
O13,8,5,23100
O14,8,6,8000
O15,8,7,2850
O16,8,8,-4730
O17,8,9,-808
F27,9,18,25100
F28,9,19,33400
F25,9,16,11300
F26,9,17,18600
F26,9,17,19300
F19,9,10,-1480
F20,9,11,-17.4
F23,9,14,3280
F24,9,15,7540
F21,9,12,-47.6
F22,9,13,2790
F30,9,21,48900
F31,9,22,56800
F29,9,20,40100
F14,9,5,31900
F15,9,6,16500
F16,9,7,10600
F17,9,8,1950
F18,9,9,873
Ne20,10,10,-7040
Ne21,10,11,-5730
Ne22,10,12,-8020
Ne23,10,13,-5150
Ne24,10,14,-5950
Ne25,10,15,-2030
Ne26,10,16,481
Ne27,10,17,7050
Ne28,10,18,11200
Ne29,10,19,18300
Ne30,10,20,23200
